identifier,level,inBundle,sceneFile,lobOverlaySceneFilename,upgradeCost,upgradeTimeInSeconds,achievementRequirements,levelRequired,HP,attacksPerSecond,attackDuration,attackRange,projectileIdentifier,attackEffects,attackPower,specialAttackPower,finalDestructionDamage,heightAttackBonusPercentage,perAttackPercentageAttackIncrease,perNeighborPercentageAttackIncrease,destructionProbabilities,component,upgradeReward,activeAbilityProjectile,activeAbilityProjectileEffects,activeAbilityEffects,activeAbilityDelay,activeAbilityBusyDuration,activeAbilityCost,activeAbilityRange,explosionSceneFile,projectileHitNodeName,bonusLabel1,bonusLabel2,requiredBuilderLevel,constructionSceneFile,customUpgradeSceneFile,powerLevel,h
String,Integer,Integer,String,String,String,Integer,String,Integer,Float,Float,Float,Integer,String,String,Float,Float,Integer,Integer,String,String,String,String,String,String,String,String,Float,Float,Integer,Integer,String,String,LocalizedString,String,Integer,String,String,Integer,String
TrebuchetBossNDEUpgrades_1,1,0,bld_trebuchet_level01.lvl,stru_tower_lobLocators.lvl,piercing:12,990,,1,13982,1.5,1.75,70,trebuchet_ball1,hpReduction:hpReduction25,880,660,0,0,0,,,,experience:28,trebuchet_ball1_special,stun:stun01|hpReduction:hpReduction25,showBattleText:trebuchetShotText,2.6,1.75,1,90,bld_trebuchet_level01_death.lvl,Bone_ArmRotate,Stun Enemy Dragon,,0,,,15,
TrebuchetBossNDEUpgrades_2,2,0,bld_trebuchet_level02.lvl,stru_tower_lobLocators.lvl,piercing:208,3510,,1,17286,1.5,1.75,70,trebuchet_ball2,hpReduction:hpReduction25,1222,916,0,0,0,,,,experience:98,trebuchet_ball2_special,stun:stun01|hpReduction:hpReduction25,showBattleText:trebuchetShotText,2.6,1.75,1,90,bld_trebuchet_level02_death.lvl,Bone_ArmRotate,Stun Enemy Dragon,,0,,,28,
TrebuchetBossNDEUpgrades_3,3,0,bld_trebuchet_level03.lvl,stru_tower_lobLocators.lvl,piercing:463,7200,,1,20522,1.5,1.75,70,trebuchet_ball2,hpReduction:hpReduction25,1722,1291,0,0,0,,,,experience:225,trebuchet_ball3_special,stun:stun01|hpReduction:hpReduction25,showBattleText:trebuchetShotText,2.6,1.75,1,90,bld_trebuchet_level03_death.lvl,Bone_ArmRotate,Stun Enemy Dragon,,1,,,45,
TrebuchetBossNDEUpgrades_4,4,0,bld_trebuchet_level03-2.lvl,stru_tower_lobLocators.lvl,piercing:861,10800,,1,23964,1.5,1.75,70,trebuchet_ball3,hpReduction:hpReduction25,2340,1755,0,0,0,,,,experience:383,trebuchet_ball3_special,stun:stun01|hpReduction:hpReduction25,showBattleText:trebuchetShotText,2.6,1.75,1,90,bld_trebuchet_level03_death.lvl,Bone_ArmRotate,Stun Enemy Dragon,,1,,,66,
TrebuchetBossNDEUpgrades_5,5,0,bld_trebuchet_level03-3.lvl,stru_tower_lobLocators.lvl,piercing:1463,16200,,1,28510,1.5,1.75,70,trebuchet_ball3,hpReduction:hpReduction25,3182,2386,0,0,0,,,,experience:428,trebuchet_ball3_special,stun:stun01|hpReduction:hpReduction25,showBattleText:trebuchetShotText,2.6,1.75,1,90,bld_trebuchet_level03_death.lvl,Bone_ArmRotate,Stun Enemy Dragon,,1,,,104,
TrebuchetBossNDEUpgrades_6,6,0,bld_trebuchet_level03-4.lvl,stru_tower_lobLocators.lvl,piercing:1894,21600,,1,33768,1.5,1.75,70,trebuchet_ball3,hpReduction:hpReduction25,4313,3234,0,0,0,,,,experience:600,trebuchet_ball3_special,stun:stun01|hpReduction:hpReduction25,showBattleText:trebuchetShotText,2.6,1.75,1,90,bld_trebuchet_level03_death.lvl,Bone_ArmRotate,Stun Enemy Dragon,,2,,,165,
TrebuchetBossNDEUpgrades_7,7,0,bld_trebuchet_level04.lvl,stru_tower_lobLocators.lvl,piercing:2698,28800,,1,39784,1.5,1.75,70,trebuchet_ball3,hpReduction:hpReduction25,5824,4368,0,0,0,,,,experience:750,trebuchet_ball4_special,stun:stun01|hpReduction:hpReduction25,showBattleText:trebuchetShotText,2.6,1.75,1,90,bld_trebuchet_level04_death.lvl,Bone_ArmRotate,Stun Enemy Dragon,,2,,,272,
TrebuchetBossNDEUpgrades_8,8,0,bld_trebuchet_level04-2.lvl,stru_tower_lobLocators.lvl,piercing:3714,36000,,1,46628,1.5,1.75,70,trebuchet_ball3,hpReduction:hpReduction25,7834,5875,0,0,0,,,,experience:750,trebuchet_ball4_special,stun:stun01|hpReduction:hpReduction25,showBattleText:trebuchetShotText,2.6,1.75,1,90,bld_trebuchet_level04_death.lvl,Bone_ArmRotate,Stun Enemy Dragon,,3,,,437,
TrebuchetBossNDEUpgrades_9,9,0,bld_trebuchet_level04-3.lvl,stru_tower_lobLocators.lvl,piercing:5703,43200,,1,54370,1.5,1.75,70,trebuchet_ball3,hpReduction:hpReduction25,9269,6952,0,0,0,,,,experience:924,trebuchet_ball4_special,stun:stun01|hpReduction:hpReduction25,showBattleText:trebuchetShotText,2.6,1.75,1,90,bld_trebuchet_level04_death.lvl,Bone_ArmRotate,Stun Enemy Dragon,,3,,,588,
TrebuchetBossNDEUpgrades_10,10,0,bld_trebuchet_level04-4.lvl,stru_tower_lobLocators.lvl,piercing:8712,57600,,1,61074,1.5,1.75,70,trebuchet_ball3,hpReduction:hpReduction25,10411,7808,0,0,0,,,,experience:1264,trebuchet_ball4_special,stun:stun01|hpReduction:hpReduction25,showBattleText:trebuchetShotText,2.6,1.75,1,90,bld_trebuchet_level04_death.lvl,Bone_ArmRotate,Stun Enemy Dragon,,3,,,759,
TrebuchetBossNDEUpgrades_11,11,0,bld_trebuchet_level05.lvl,stru_tower_lobLocators.lvl,piercing:12869,72000,,1,68330,1.5,1.75,70,trebuchet_ball3,hpReduction:hpReduction25,11646,8735,0,0,0,,,,experience:1298,trebuchet_ball5_special,stun:stun01|hpReduction:hpReduction25,showBattleText:trebuchetShotText,2.6,1.75,1,90,bld_trebuchet_level05_death.lvl,Bone_ArmRotate,Stun Enemy Dragon,,4,,,925,
TrebuchetBossNDEUpgrades_12,12,0,bld_trebuchet_level05-2.lvl,stru_tower_lobLocators.lvl,piercing:17819,86400,,1,76144,1.5,1.75,70,trebuchet_ball3,hpReduction:hpReduction25,12975,9731,0,0,0,,,,experience:1667,trebuchet_ball5_special,stun:stun01|hpReduction:hpReduction25,showBattleText:trebuchetShotText,2.6,1.75,1,90,bld_trebuchet_level05_death.lvl,Bone_ArmRotate,Stun Enemy Dragon,,4,,,1161,
TrebuchetBossNDEUpgrades_13,13,0,bld_trebuchet_level05-3.lvl,stru_tower_lobLocators.lvl,piercing:26927,129600,,1,84764,1.5,1.75,70,trebuchet_ball3,hpReduction:hpReduction25,14442,10832,0,0,0,,,,experience:2058,trebuchet_ball5_special,stun:stun01|hpReduction:hpReduction25,showBattleText:trebuchetShotText,2.6,1.75,1,90,bld_trebuchet_level05_death.lvl,Bone_ArmRotate,Stun Enemy Dragon,,5,,,1450,
TrebuchetBossNDEUpgrades_14,14,0,bld_trebuchet_level05-4.lvl,stru_tower_lobLocators.lvl,piercing:38115,172800,,1,94362,1.5,1.75,70,trebuchet_ball3,hpReduction:hpReduction25,16076,12057,0,0,0,,,,experience:2118,trebuchet_ball5_special,stun:stun01|hpReduction:hpReduction25,showBattleText:trebuchetShotText,2.6,1.75,1,90,bld_trebuchet_level05_death.lvl,Bone_ArmRotate,Stun Enemy Dragon,,5,,,1798,
TrebuchetBossNDEUpgrades_15,15,0,bld_trebuchet_level05-5.lvl,stru_tower_lobLocators.lvl,piercing:51677,216000,,1,105050,1.5,1.75,70,trebuchet_ball3,hpReduction:hpReduction25,17894,13420,0,0,0,,,,experience:2546,trebuchet_ball5_special,stun:stun01|hpReduction:hpReduction25,showBattleText:trebuchetShotText,2.6,1.75,1,90,bld_trebuchet_level05_death.lvl,Bone_ArmRotate,Stun Enemy Dragon,,6,,,2211,
TrebuchetBossNDEUpgrades_16,16,0,bld_trebuchet_level05-5.lvl,stru_tower_lobLocators.lvl,piercing:57617,259200,,1,116946,1.5,1.75,70,trebuchet_ball3,hpReduction:hpReduction25,19918,14939,0,0,0,,,,experience:3000,trebuchet_ball5_special,stun:stun01|hpReduction:hpReduction25,showBattleText:trebuchetShotText,2.6,1.75,1,90,bld_trebuchet_level05_death.lvl,Bone_ArmRotate,Stun Enemy Dragon,,6,,,2730,
TrebuchetBossNDEUpgrades_17,17,0,bld_trebuchet_level05-5.lvl,stru_tower_lobLocators.lvl,piercing:77039,302400,,1,130190,1.5,1.75,70,trebuchet_ball3,hpReduction:hpReduction25,22174,16630,0,0,0,,,,experience:3097,trebuchet_ball5_special,stun:stun01|hpReduction:hpReduction25,showBattleText:trebuchetShotText,2.6,1.75,1,90,bld_trebuchet_level05_death.lvl,Bone_ArmRotate,Stun Enemy Dragon,,7,,,3404,
TrebuchetBossNDEUpgrades_18,18,0,bld_trebuchet_level05-5.lvl,stru_tower_lobLocators.lvl,piercing:86400,345600,,1,144934,1.5,1.75,70,trebuchet_ball3,hpReduction:hpReduction25,24685,18513,0,0,0,,,,experience:4000,trebuchet_ball5_special,stun:stun01|hpReduction:hpReduction25,showBattleText:trebuchetShotText,2.6,1.75,1,90,bld_trebuchet_level05_death.lvl,Bone_ArmRotate,Stun Enemy Dragon,,8,,,4212,
TrebuchetBossNDEUpgrades_19,19,0,bld_trebuchet_level05-5.lvl,stru_tower_lobLocators.lvl,piercing:129598,388800,,1,170242,1.5,1.75,70,trebuchet_ball3,hpReduction:hpReduction25,28993,21744,0,0,0,,,,experience:5334,trebuchet_ball5_special,stun:stun01|hpReduction:hpReduction25,showBattleText:trebuchetShotText,2.6,1.75,1,90,bld_trebuchet_level05_death.lvl,Bone_ArmRotate,Stun Enemy Dragon,,9,,,5796,
TrebuchetBossNDEUpgrades_20,20,0,bld_trebuchet_level05-5.lvl,stru_tower_lobLocators.lvl,piercing:154799,432000,,1,199966,1.5,1.75,70,trebuchet_ball3,hpReduction:hpReduction25,34052,25539,0,0,0,,,,experience:7000,trebuchet_ball5_special,stun:stun01|hpReduction:hpReduction25,showBattleText:trebuchetShotText,2.6,1.75,1,90,bld_trebuchet_level05_death.lvl,Bone_ArmRotate,Stun Enemy Dragon,,10,,,8010,
TrebuchetBossNDEUpgrades_21,21,0,bld_trebuchet_level05-5.lvl,stru_tower_lobLocators.lvl,piercing:187199,518400,,1,234884,1.5,1.75,70,trebuchet_ball3,hpReduction:hpReduction25,39995,29996,0,0,0,,,,experience:9143,trebuchet_ball5_special,stun:stun01|hpReduction:hpReduction25,showBattleText:trebuchetShotText,2.6,1.75,1,90,bld_trebuchet_level05_death.lvl,Bone_ArmRotate,Stun Enemy Dragon,,11,,,11040,
