identifier,level,inBundle,sceneFile,lobOverlaySceneFilename,upgradeCost,upgradeTimeInSeconds,achievementRequirements,levelRequired,HP,attacksPerSecond,attackDuration,attackRange,projectileIdentifier,attackEffects,attackPower,specialAttackPower,finalDestructionDamage,heightAttackBonusPercentage,perAttackPercentageAttackIncrease,perNeighborPercentageAttackIncrease,destructionProbabilities,component,upgradeReward,activeAbilityProjectile,activeAbilityProjectileEffects,activeAbilityEffects,activeAbilityDelay,activeAbilityBusyDuration,activeAbilityCost,activeAbilityRange,explosionSceneFile,projectileHitNodeName,bonusLabel1,bonusLabel2,requiredBuilderLevel,constructionSceneFile,customUpgradeSceneFile,powerLevel,h
String,Integer,Integer,String,String,String,Integer,String,Integer,Float,Float,Float,Integer,String,String,Float,Float,Integer,Integer,String,String,String,String,String,String,String,String,Float,Float,Integer,Integer,String,String,LocalizedString,String,Integer,String,String,Integer,String
TrebuchetUpgrades_1,1,0,bld_trebuchet_level01.lvl,stru_tower_lobLocators.lvl,piercing:12,990,,1,6991,0.5,1.75,70,trebuchet_ball1,hpReduction:hpReduction25,880,660,0,0,0,,,,experience:28,trebuchet_ball1_special,stun:stun01|hpReduction:hpReduction25,showBattleText:trebuchetShotText,2.6,1.75,1,90,bld_trebuchet_level01_death.lvl,Bone_ArmRotate,Stun Enemy Dragon,,0,,,15,
TrebuchetUpgrades_2,2,0,bld_trebuchet_level02.lvl,stru_tower_lobLocators.lvl,piercing:208,3510,,1,8643,0.5,1.75,70,trebuchet_ball2,hpReduction:hpReduction25,1222,916,0,0,0,,,,experience:98,trebuchet_ball2_special,stun:stun01|hpReduction:hpReduction25,showBattleText:trebuchetShotText,2.6,1.75,1,90,bld_trebuchet_level02_death.lvl,Bone_ArmRotate,Stun Enemy Dragon,,0,,,28,
TrebuchetUpgrades_3,3,0,bld_trebuchet_level03.lvl,stru_tower_lobLocators.lvl,piercing:463,7200,,1,10261,0.5,1.75,70,trebuchet_ball2,hpReduction:hpReduction25,1722,1291,0,0,0,,,,experience:225,trebuchet_ball3_special,stun:stun01|hpReduction:hpReduction25,showBattleText:trebuchetShotText,2.6,1.75,1,90,bld_trebuchet_level03_death.lvl,Bone_ArmRotate,Stun Enemy Dragon,,1,,,45,
TrebuchetUpgrades_4,4,0,bld_trebuchet_level03-2.lvl,stru_tower_lobLocators.lvl,piercing:861,10800,,1,11982,0.5,1.75,70,trebuchet_ball3,hpReduction:hpReduction25,2340,1755,0,0,0,,,,experience:383,trebuchet_ball3_special,stun:stun01|hpReduction:hpReduction25,showBattleText:trebuchetShotText,2.6,1.75,1,90,bld_trebuchet_level03_death.lvl,Bone_ArmRotate,Stun Enemy Dragon,,1,,,66,
TrebuchetUpgrades_5,5,0,bld_trebuchet_level03-3.lvl,stru_tower_lobLocators.lvl,piercing:1463,16200,,1,14255,0.5,1.75,70,trebuchet_ball3,hpReduction:hpReduction25,3182,2386,0,0,0,,,,experience:428,trebuchet_ball3_special,stun:stun01|hpReduction:hpReduction25,showBattleText:trebuchetShotText,2.6,1.75,1,90,bld_trebuchet_level03_death.lvl,Bone_ArmRotate,Stun Enemy Dragon,,1,,,104,
TrebuchetUpgrades_6,6,0,bld_trebuchet_level03-4.lvl,stru_tower_lobLocators.lvl,piercing:1894,21600,,7,16884,0.5,1.75,70,trebuchet_ball3,hpReduction:hpReduction25,4313,3234,0,0,0,,,,experience:600,trebuchet_ball3_special,stun:stun01|hpReduction:hpReduction25,showBattleText:trebuchetShotText,2.6,1.75,1,90,bld_trebuchet_level03_death.lvl,Bone_ArmRotate,Stun Enemy Dragon,,2,,,165,
TrebuchetUpgrades_7,7,0,bld_trebuchet_level04.lvl,stru_tower_lobLocators.lvl,piercing:2698,28800,,12,19892,0.5,1.75,70,trebuchet_ball3,hpReduction:hpReduction25,5824,4368,0,0,0,,,,experience:750,trebuchet_ball4_special,stun:stun01|hpReduction:hpReduction25,showBattleText:trebuchetShotText,2.6,1.75,1,90,bld_trebuchet_level04_death.lvl,Bone_ArmRotate,Stun Enemy Dragon,,2,,,272,
TrebuchetUpgrades_8,8,0,bld_trebuchet_level04-2.lvl,stru_tower_lobLocators.lvl,piercing:3714,36000,,12,23314,0.5,1.75,70,trebuchet_ball3,hpReduction:hpReduction25,7834,5875,0,0,0,,,,experience:750,trebuchet_ball4_special,stun:stun01|hpReduction:hpReduction25,showBattleText:trebuchetShotText,2.6,1.75,1,90,bld_trebuchet_level04_death.lvl,Bone_ArmRotate,Stun Enemy Dragon,,3,,,437,
TrebuchetUpgrades_9,9,0,bld_trebuchet_level04-3.lvl,stru_tower_lobLocators.lvl,piercing:5703,43200,,17,27185,0.5,1.75,70,trebuchet_ball3,hpReduction:hpReduction25,9269,6952,0,0,0,,,,experience:924,trebuchet_ball4_special,stun:stun01|hpReduction:hpReduction25,showBattleText:trebuchetShotText,2.6,1.75,1,90,bld_trebuchet_level04_death.lvl,Bone_ArmRotate,Stun Enemy Dragon,,3,,,588,
TrebuchetUpgrades_10,10,0,bld_trebuchet_level04-4.lvl,stru_tower_lobLocators.lvl,piercing:8712,57600,,17,30537,0.5,1.75,70,trebuchet_ball3,hpReduction:hpReduction25,10411,7808,0,0,0,,,,experience:1264,trebuchet_ball4_special,stun:stun01|hpReduction:hpReduction25,showBattleText:trebuchetShotText,2.6,1.75,1,90,bld_trebuchet_level04_death.lvl,Bone_ArmRotate,Stun Enemy Dragon,,3,,,759,
