identifier,type,objectType,expansionArea,level,stage,moveable,amount,h
String,String,String,String,Integer,Integer,Integer,Integer,String
1,BUILDING,stable,expansion_057,1,,,,
2,BUILDING,breedingGround,expansion_058,1,,,,
3,BUILDING,research,expansion_059,0,,,,
4,BUILDING,storage,expansion_060,1,,,,
5,BUILDING,incubator,expansion_061,1,,,,
6,BUILDING,builder,expansion_062,0,,,,
7,BUILDING,guild,expansion_064,0,,,,
8,BUILDING,forge,expansion_065,0,,,,
9,DRAGON,T1C1HIdragon,,1,,,,
10,DRAGON,T1C1WFdragon,,1,,,,
11,DRAGON,T1C2HEdragon,,1,,,,
12,CONSUMABLE,repairConsumable,,,,,3,
13,CONSUMABLE,attackConsumable,,,,,3,
14,CONSUMABLE,armorConsumable,,,,,3,
15,CURRENCY,piercing,,,,,270,
16,CURRENCY,food,,,,,460,
17,BUILDING,runeBuilding,loc_runeBuilding,0,,,,
18,BUILDING,salvageDepot,loc_salvageDepot,0,,,,!@#fmedgnedpcdellpb
