identifier,commonIdentifier,level,maxTimes,attackBonusPercentage,immediateAttackMultiplier,numShots,ragePoints,empoweredRagePoints,chargeTime,healAsPercentageOfMaxHP,isEmpowered,cooldown,h
String,String,String,Integer,Integer,Integer,Integer,Float,Float,Float,Float,Integer,Float,String
umbralSpike1,,1,100,1,10000,1,100,100,0,11.5,,,
uproot1,uproot,1,100,1,10000,1,200,200,0,16,1,6,
tidalSurge1,tidalSurge,1,100,1,20,1,100,100,0,11.5,1,4,
solarStrike1,solarStrike,1,100,1,20,1,0,0,0,9,0,6,
umbralSpikeWhite1,umbralSpikeWhite,1,100,1,10000,1,100,100,0,11.5,1,6,
syphonStrike1,syphonStrike,1,100,1,20,1,200,200,0,20,1,2,
ragnarok1,ragnarok,1,100,1,10,1,300,300,0,0,0,,
slice1,slice,1,100,1,3,1,0,0,0,0,0,,
thrust1,thrust,1,100,1,5,1,0,0,0,0,0,,
execute1,execute,1,100,1,12,1,200,0,0,0,0,,
foxfireBolt1,foxfireBolt,1,100,1,15,1,100,100,0,10,1,4,
crestingWave1,crestingWave,1,100,1,15,1,100,100,0,20,1,4,
hydrostrike1,hydrostrike,1,100,1,20,1,0,0,0,20,1,5,
mindSpike1,mindSpike,1,100,1,20,1,100,100,0,15,1,4,
marshBolt1,marshBolt,1,100,1,25,1,100,0,0,0,0,2,
invokeExcavate1,invokeExcavate,1,999,1,25,1,0,0,0,0,0,,
chomp1,chomp,1,100,1,25,1,100,0,0,0,0,4,
devour1,devour,1,100,1,25,1,100,100,0,15,1,3,!@#lchmhmgnglfhnmlh
