identifier,videoFilename,inBundle,title,name,text,iconFilename,h
String,String,Integer,LocalizedString,LocalizedString,LocalizedString,String,String
dragonAttackFireball,hunterbasic.m4v,0,New Attack: Fireball,Fireball Attack,Tap repeatedly to deal damage.,icon_class_hunter_01.png,
dragonAttackFlamethrower,Warriorbasic.m4v,1,How To Attack,Flamethrower Attack,Hold and drag to deal damage.,icon_class_warrior_01.png,
dragonAttackLockon,sorcerer.m4v,0,New Attack: Lock On,Lock On Attack,Swipe to attack up to 3 targets.,icon_class_sorcerer_01.png,
aoeSpell,Fireball.m4v,0,Fireball,Fireball,Deals damage to all buildings in the affected area.,icon_AOE_01.png,
battlecrySpell,Battlecry.m4v,0,Battle Cry,Battle Cry,Increase the damage of this and the next dragon to attack,icon_battlecry_01.png,
chainLightningSpell,chainLightning.m4v,0,Chain Lightning,Chain Lightning,Strikes buildings with lightning that chains randomly,icon_chainlightning_01.png,
chargedShieldSpell,eruptiveShield.m4v,1,Explosive Shield,Explosive Shield,Absorbs damage until depleted then explodes dealing damage to nearby buildings,icon_chargedshield_01.png,
cloakSpell,Cloak.m4v,0,Cloak,Cloak,Dragon becomes invisible and cannot be targeted until it attacks,icon_invisibility_01.png,
curePoisonSpell,CurePoison.m4v,0,Cure Poison,Cure Poison,Removes poison.,icon_cure_01.png,
dodgeSpell,Evasion.m4v,0,Evasion,Evasion,Dragon moves quickly over buildings and have a chance to dodge incoming projectiles,icon_dodge_01.png,
energySyphonSpell,Vampirictouch.m4v,0,Vampiric Touch,Vampiric Touch,When active gain health and rage on building destruction,icon_syphon_01.png,
freezeAttackSpell,Freeze.m4v,0,Freeze,Freeze,Freezes all buildings in the affected area,icon_freeze_01.png,
frenzySpell,Frenzy.m4v,0,Havoc,Havoc,Dragon deals greatly increased damage with its attacks,icon_frenzy_01.png,
healDragonSpell,rejuvenate.m4v,0,Rejuvenate,Rejuvenate,Restores dragon's health over time.,icon_heal_01.png,
healingMarkSpell,Healingmark.m4v,0,Healing Mark,Healing Mark,Places a mark on a building that heals the Dragon that destroys it,icon_healingmark_01.png,
hoverSpell,video.m4v,0,Hover,Hover,Hover,icon_hover_01.png,
hurricaneSpell,Windwall.m4v,0,Wind Wall,Wind Wall,Deflects incoming projectiles,icon_windWall_01.png,
increaseRageGenerationSpell,video.m4v,0,More Rage,More Rage,Rage regenerates at faster rate,icon_rage_increase_01.png,
instantKillSpell,Deathgaze.m4v,0,Death Gaze,Death Gaze,Dragon's next attack deals enough damage to destroy most buildings instantly,icon_instakill_01.png,
invertSpell,Reverseprojectiles.m4v,0,Reverse Projectiles,Reverse Projectiles,Reflects incoming projectiles back onto the attackers,icon_projectile_01.png,
invincibleSpell,Invincibility.m4v,0,Invincibility Shield,Invincibility Shield,Dragon becomes invincible briefly,icon_invincible_01.png,
kamikazeSpell,SelfDestruct.m4v,0,Self Destruct,Self Destruct,Dragon self destructs and deals tremendous damage to every tower in the area,icon_self_destruct_01.png,
lockdownSpell,Lockdown.m4v,0,Lockdown,Lockdown,Disables a building until the next time it takes damage.,icon_lockdown_01.png,
entrapSpell,entrap.m4v,0,Entrap,Entrap,"Disables a building for a short duration, or until it takes damage",icon_lockdown_01.png,
shortCircuitSpell,Elementalmayhem.m4v,0,Elemental Mayhem,Elemental Mayhem,"Causes Storm towers, Lightning towers, Fire/Ice turrets to attack each other.",icon_mayhem_01.png,
speedBoostSpell,video.m4v,0,Speed Up,Speed Up,Speed Up,icon_speed_01.png,
stoneskinSpell,StoneskinShield.m4v,0,Stoneskin Shield,Stoneskin Shield,Greatly reduces damage taken.,icon_stoneskin_01.png,
summonAIBattleDragonSpell,Summonwarrior.m4v,0,Summon Warrior,Summon Warrior,Summons a spectral Warrior Dragon to fight for you.,icon_summon_dragon_01.png,
teleportSpell,video.m4v,0,Teleport,Teleport,Dragon teleports past an entire island,icon_speed_01.png,
intimidatingRoarSpell,IntimidatingRoar.m4v,0,Intimidating Roar,Intimidating Roar,Deals damage to buildings nearby and reduces their damage for entire fight,icon_intimidatingRoar_01.png,
thunderstormSpell,Thunderstorm.m4v,0,Thunderstorm,Thunderstorm,Summons a cloud that brings down lightning bolts which does damage over time,icon_thunderstorm_01.png,
sacrificeSpell,Sacrifice.m4v,0,Sacrifice,Sacrifice,Dragon takes damage and gains rage immediately,icon_sacrifice_01.png,
archerTower,ArrowTower.mp4,,,,,,
cannonTower,CannonTower.mp4,,,,,,
darkFlakTower,darkFlakTower.m4v,,,,,,
fireFlakTower,fireFlakTower.m4v,,,,,,
stormTower,StormTower.mp4,,,,,,
ballista,BallistaTower.mp4,,,,,,
mageTower,RedMageTower.mp4,,,,,,
mageBlueTower,BlueMageTower.mp4,,,,,,
trebuchet,Trebuchet.mp4,,,,,,
lightningTower,LightningTower.mp4,,,,,,
hogFarm,SheepFarm.mp4,,,,,,
woodFarm,LumberMill.mp4,,,,,,
stealEssenceSpell,stealEssence.m4v,0,Steal Essence,Steal Essence,Steal essence from the last tower your dragon destroyed. Generates rage when you steal a new spell,icon_stealEssence_01.png,
iceTurret,IceTurret.mp4,0,,,,,
fluxSpell,spellFlux.m4v,0,Spell Flux,Spell Flux,Explodes one tower and damages nearby towers,icon_flux_01.png,
frozenTombSpell,FrozenTomb3.m4v,0,Frozen Tomb,Frozen Tomb,Freezes towers and gain shield based on the number of hit towers.,icon_frozenTomb_01.png,
galvanicOverloadSpell,GalvanicOverload.m4v,0,Galvanic Overload,Galvanic Overload,High damage to one building.  Killing building allows to recast and gain rage at cost of health.,icon_galvanic_initial_01.png,
seethingSparkSpell,SeethingSpark.m4v,0,Seething Spark,Seething Spark,"First cast increases damage.  Second cast discharges, damaging and stunning buildings",icon_seething_spark_initial_01.png,
risingPhoenixSpell,RisingPhoenix3.m4v,0,Rising Phoenix,Rising Phoenix,"If dragon dies during spell duration, explodes back to life and damages towers.",icon_risingphoenix_01.png,
invertSpellReverse,Reverseprojectiles.m4v,0,Invert,Invert,Reflects incoming projectiles back onto the attackers for short duration,icon_projectile_01.png,
fireTurret,fireTurret.m4v,0,,,,,
heatBlastShieldSpell,heatBlastShield.m4v,0,Heat Shield,Heat Shield,Reduces incoming damage and instantly heals for a small amount. (Mehaten only) If struck by a Spitfire Turret the Solar Energy bar will charge by 25%.,icon_heatshield_01.png,
heatedPiercingBreathSpell,heatedPiercingBreathSpellv2.m4v,0,Heated Breath,Heated Breath,Flamethrower deals more damage for duration. (Mehaten only) Any building destroyed while active will grant 2x Solar Energy.,icon_superheatedbreath_01.png,
nocturnalFissureSpell,nocturnalFissureSpellv2.m4v,0,Nocturnal Fissure,Nocturnal Fissure,"Opens a vortex for 4 seconds which destroys projectiles. If empowered by Nightfall, channels a portion of that damage into health.",icon_nocfissure_01.png,
umbralSpikeSpell,umbralSpikeSpellv2.m4v,0,Umbral Spike,Umbral Spike,A shadowy spike emerges from the ground and pierces the targeted tower destroying it.,icon_umbralspike_01.png,
