identifier,superRegionId,superRegionName,colorString,centerRegionId,size,h
String,Integer,String,String,Integer,Integer,String
superRegion1,1,Verdant Cornucopia,0.592~0.878~0.404,904,20,
superRegion2,2,Jungles of Kerbos,0.592~0.878~0.404,1143,18,
superRegion3,3,The Blooming Crucible,0.592~0.878~0.404,1603,19,
superRegion4,4,The Boneyard,0.278~0.024~0.522,3213,20,
superRegion5,5,Sinking Bog,0.278~0.024~0.522,950,20,
superRegion6,6,Misty Steppes,0.592~0.878~0.404,1208,20,
superRegion7,7,Vinereach    ,0.592~0.878~0.404,800,20,
superRegion8,8,The Keening Wall,0.278~0.024~0.522,1031,20,
superRegion9,9,Lake of the Dead,0.278~0.024~0.522,1077,20,
superRegion10,10,Kharnyx's Haunt,0.278~0.024~0.522,853,20,
superRegion11,11,Bayou Of Sorrows,0.278~0.024~0.522,3153,20,
superRegion12,12,Riverbend Fjord,0.039~0.090~0.569,170,20,
superRegion13,13,Perch of Tarand,0.039~0.090~0.569,289,20,
superRegion14,14,Evergreen Foothills,0.039~0.090~0.569,316,20,
superRegion15,15,Rimelake    ,0.039~0.090~0.569,404,20,
superRegion16,16,The Tarns    ,0.039~0.090~0.569,3193,20,
superRegion17,17,Kastor's Canyon,1.000~0.478~0.173,2053,20,
superRegion18,18,Cliffs of the Crucible,0.455~0.294~0.294,637,20,
superRegion19,19,Celestial Summits,0.455~0.294~0.294,2210,20,
superRegion20,20,Rizar's Ascent,0.455~0.294~0.294,2097,20,
superRegion21,21,The Badlands,1.000~0.478~0.173,1581,20,
superRegion22,22,Arid Tract  ,1.000~0.478~0.173,653,20,
superRegion23,23,Grand Basin,1.000~0.478~0.173,1752,20,
superRegion24,24,Redstone Bluffs,1.000~0.478~0.173,1714,20,
superRegion25,25,Spinal Range,0.455~0.294~0.294,1872,20,
superRegion26,26,Shimmering Dunes,0.890~0.902~0.000,801,20,
superRegion27,27,Fangs Of Mehaten,0.890~0.902~0.000,1514,20,
superRegion28,28,Heart of Hauheset,0.890~0.902~0.000,1250,20,
superRegion29,29,Valley of the Pharaohs,0.890~0.902~0.000,3084,20,
superRegion30,30,Claw of Apophet,0.890~0.902~0.000,1406,20,
superRegion31,31,The Oasis Expanse,0.890~0.902~0.000,1493,20,
superRegion32,32,Bulwark Bosk,0.643~0.220~0.776,1478,20,
superRegion33,33,The Weald  ,0.643~0.220~0.776,1407,20,
superRegion34,34,Shadehallow Forest,0.643~0.220~0.776,1414,20,
superRegion35,35,Loch Vale  ,0.643~0.220~0.776,2582,20,
superRegion36,36,Witch's Bane,0.643~0.220~0.776,3027,20,
superRegion37,37,Algor's Vigil,0.000~0.824~0.824,2691,20,
superRegion38,38,Hyperborean Plains,0.000~0.824~0.824,3020,20,
superRegion39,39,Umbral Range,0.000~0.824~0.824,1926,20,
superRegion40,40,The Great Glacier,0.000~0.824~0.824,2025,18,
superRegion41,41,Hills of Bounty,0.102~0.592~0.000,639,20,
superRegion42,42,Lakewatch  ,0.102~0.592~0.000,1957,20,
superRegion43,43,Mount Maedoch,0.102~0.592~0.000,2259,20,
superRegion44,44,Frigid Highlands,0.102~0.592~0.000,3063,20,
superRegion45,45,Dragon's Eye Pass,0.102~0.592~0.000,2922,20,
superRegion46,46,Molten Valley,0.776~0.000~0.059,2240,20,
superRegion47,47,Flamebreak Geyser,0.776~0.000~0.059,2900,15,
superRegion48,48,The Steam Pools,0.776~0.000~0.059,2943,20,
superRegion49,49,Draco's Teeth,0.776~0.000~0.059,2952,20,
superRegion50,50,The Magma Spires,0.776~0.000~0.059,2838,20,!@#aljikbcbaghdbkgf
