deckId,weight,onlyOnce,Cards,h
String,Integer,Boolean,String,String
1,1,,"sailFaster3,sailFaster3,gold375000,cmCrystalice2400,cmCrystalfire2400,cmCrystalice4900,cmCrystalearth4900,bullhorn3,cmCrystalwind15000,",
2,1,,"cmCrystalearth1200,cmCrystalearth1200,gold375000,sailFaster7,cmCrystalice2400,cmCrystalearth4900,gold1500000,cmCrystaldark11000,cmCrystalearth15000,",
3,1,,"sailFaster3,cmCrystalwind1200,sailFaster3,sailFaster7,gold750000,cmCrystaldark4900,redRiderShard3,craftingScroll360,cmCrystaldark15000,",
4,1,,"cmCrystalfire1200,cmCrystalearth1200,cmCrystalwind1200,cmCrystalice2400,cmCrystaldark2400,gold1500000,redRiderShard3,redRiderShard8,redRiderShard10,",
5,1,,"cmCrystalfire1200,cmCrystalice1200,cmCrystalfire1200,gold750000,cmCrystaldark2400,cmCrystaldark4900,gold1500000,cmCrystalwind11000,redRiderShard10,",
6,1,,"cmCrystalwind1200,cmCrystalearth1200,cmCrystalice1200,cmCrystalearth2400,cmCrystaldark2400,cmCrystalfire4900,gold1500000,cmCrystalfire11000,cmCrystalfire15000,",
7,1,,"gold375000,sailFaster3,cmCrystalice1200,cmCrystalice2400,cmCrystalfire2400,cmCrystaldark4900,craftingScroll160,cmCrystalice11000,cmCrystalice15000,",
8,1,,"cmCrystalfire1200,cmCrystalearth1200,cmCrystalice1200,cmCrystalfire2400,sailFaster7,craftingScroll160,redRiderShard3,cmCrystalice11000,cmCrystalwind15000,",
9,1,,"sailFaster3,cmCrystaldark1200,sailFaster3,cmCrystaldark2400,craftingScroll80,cmCrystalfire4900,cmCrystaldark4900,cmCrystalwind11000,cmCrystalice15000,",
10,1,,"cmCrystalfire1200,cmCrystalearth1200,cmCrystaldark1200,cmCrystalice2400,cmCrystalice2400,cmCrystalfire4900,redRiderShard3,cmCrystalwind11000,cmCrystalfire15000,",
11,1,,"cmCrystalwind1200,cmCrystalearth1200,cmCrystalearth1200,cmCrystalwind2400,cmCrystaldark2400,cmCrystalice4900,cmCrystalearth4900,redRiderShard8,craftingScroll500,",
12,1,,"cmCrystalwind1200,cmCrystaldark1200,cmCrystalice1200,sailFaster7,cmCrystalice2400,gold1500000,craftingScroll160,cmCrystalearth11000,bullhorn4,",
13,1,,"gold375000,cmCrystalice1200,gold375000,craftingScroll80,cmCrystalwind2400,cmCrystalfire4900,cmCrystalwind4900,cmCrystalwind11000,cmCrystalice15000,",
14,1,,"cmCrystaldark1200,cmCrystalice1200,cmCrystaldark1200,redRiderShard2,gold750000,cmCrystalearth4900,redRiderShard3,cmCrystalfire11000,bullhorn4,",
15,1,,"cmCrystalwind1200,cmCrystalearth1200,cmCrystalice1200,gold750000,sailFaster7,cmCrystalwind4900,cmCrystalwind4900,cmCrystalearth11000,cmCrystalice15000,",
16,1,,"cmCrystalfire1200,sailFaster3,cmCrystalice1200,cmCrystalfire2400,cmCrystalearth2400,cmCrystalice4900,cmCrystalfire4900,cmCrystalice11000,cmCrystaldark15000,",
17,1,,"cmCrystalearth1200,cmCrystalfire1200,gold375000,redRiderShard2,gold750000,cmCrystalfire4900,cmCrystalice4900,cmCrystaldark11000,cmCrystalfire15000,",
18,1,,"cmCrystaldark1200,gold375000,cmCrystaldark1200,sailFaster7,cmCrystalice2400,cmCrystaldark4900,cmCrystalwind4900,cmCrystalwind11000,cmCrystalice15000,",
19,1,,"gold375000,cmCrystalwind1200,cmCrystalearth1200,cmCrystalfire2400,craftingScroll80,cmCrystalfire4900,gold1500000,cmCrystalwind11000,cmCrystalice15000,",
20,1,,"cmCrystalice1200,cmCrystalearth1200,cmCrystalfire1200,cmCrystaldark2400,sailFaster7,cmCrystalearth4900,gold1500000,cmCrystaldark11000,cmCrystalearth15000,",
21,1,,"sailFaster3,cmCrystalwind1200,cmCrystalice1200,gold750000,cmCrystaldark2400,cmCrystalearth4900,cmCrystalwind4900,redRiderShard8,cmCrystalearth15000,",
22,1,,"cmCrystalice1200,sailFaster3,cmCrystalice1200,cmCrystalfire2400,gold750000,redRiderShard3,craftingScroll160,cmCrystaldark11000,redRiderShard10,",
23,1,,"cmCrystalearth1200,cmCrystalice1200,cmCrystalice1200,gold750000,craftingScroll80,cmCrystalearth4900,cmCrystalwind4900,craftingScroll360,cmCrystalfire15000,",
24,1,,"cmCrystalfire1200,cmCrystalice1200,cmCrystalwind1200,cmCrystalwind2400,cmCrystalfire2400,cmCrystalice4900,craftingScroll160,cmCrystaldark11000,craftingScroll500,",
25,1,,"sailFaster3,cmCrystalwind1200,cmCrystalfire1200,cmCrystalfire2400,gold750000,cmCrystalfire4900,redRiderShard3,cmCrystalice11000,craftingScroll500,",
26,1,,"sailFaster3,cmCrystalearth1200,cmCrystalfire1200,gold750000,gold750000,gold1500000,craftingScroll160,cmCrystaldark11000,cmCrystalearth15000,",
27,1,,"cmCrystalfire1200,cmCrystalice1200,cmCrystalice1200,cmCrystalice2400,cmCrystalfire2400,cmCrystalice4900,cmCrystalearth4900,cmCrystalfire11000,bullhorn4,",
28,1,,"cmCrystalice1200,sailFaster3,cmCrystalwind1200,craftingScroll80,cmCrystalearth2400,cmCrystalfire4900,redRiderShard3,cmCrystaldark11000,redRiderShard10,",
29,1,,"cmCrystalice1200,cmCrystalfire1200,cmCrystalearth1200,cmCrystalearth2400,cmCrystaldark2400,cmCrystaldark4900,gold1500000,redRiderShard8,craftingScroll500,",
30,1,,"sailFaster3,sailFaster3,sailFaster3,cmCrystalearth2400,cmCrystalice2400,cmCrystalfire4900,redRiderShard3,bullhorn3,bullhorn4,",
31,1,,"cmCrystalwind1200,cmCrystalwind1200,gold375000,cmCrystalfire2400,cmCrystalearth2400,cmCrystalwind4900,cmCrystalwind4900,cmCrystaldark11000,cmCrystaldark15000,",
32,1,,"cmCrystalice1200,cmCrystalice1200,cmCrystalfire1200,cmCrystalwind2400,cmCrystalwind2400,gold1500000,cmCrystalearth4900,redRiderShard8,cmCrystaldark15000,",
33,1,,"cmCrystalearth1200,sailFaster3,cmCrystalearth1200,craftingScroll80,cmCrystalice2400,cmCrystalice4900,cmCrystalfire4900,bullhorn3,cmCrystaldark15000,",
34,1,,"cmCrystaldark1200,cmCrystalwind1200,cmCrystalearth1200,cmCrystalice2400,cmCrystalfire2400,gold1500000,cmCrystalice4900,bullhorn3,bullhorn4,",
35,1,,"cmCrystaldark1200,cmCrystalwind1200,sailFaster3,redRiderShard2,gold750000,gold1500000,cmCrystalfire4900,bullhorn3,cmCrystalwind15000,",
36,1,,"gold375000,cmCrystalwind1200,cmCrystalearth1200,redRiderShard2,cmCrystalfire2400,craftingScroll160,cmCrystalfire4900,cmCrystalwind11000,cmCrystalfire15000,",
37,1,,"cmCrystaldark1200,gold375000,cmCrystalfire1200,cmCrystalfire2400,cmCrystalice2400,cmCrystalearth4900,cmCrystalearth4900,cmCrystaldark11000,redRiderShard10,",
38,1,,"cmCrystalwind1200,gold375000,gold375000,cmCrystalearth2400,sailFaster7,cmCrystaldark4900,cmCrystaldark4900,cmCrystaldark11000,cmCrystalfire15000,",
39,1,,"cmCrystalfire1200,cmCrystalwind1200,cmCrystaldark1200,craftingScroll80,cmCrystalwind2400,cmCrystalice4900,cmCrystaldark4900,cmCrystaldark11000,cmCrystaldark15000,",
40,1,,"cmCrystalfire1200,sailFaster3,gold375000,gold750000,redRiderShard2,cmCrystalice4900,cmCrystaldark4900,cmCrystalearth11000,cmCrystalfire15000,",
41,1,,"cmCrystalwind1200,cmCrystalwind1200,cmCrystalfire1200,sailFaster7,sailFaster7,cmCrystalfire4900,cmCrystalwind4900,cmCrystalearth11000,cmCrystalice15000,",
42,1,,"sailFaster3,cmCrystalearth1200,cmCrystalearth1200,sailFaster7,cmCrystalearth2400,redRiderShard3,cmCrystaldark4900,craftingScroll360,cmCrystalfire15000,",
43,1,,"cmCrystalfire1200,cmCrystalfire1200,gold375000,cmCrystalice2400,cmCrystalearth2400,gold1500000,gold1500000,cmCrystalfire11000,cmCrystaldark15000,",
44,1,,"cmCrystalfire1200,cmCrystalwind1200,cmCrystalwind1200,cmCrystalfire2400,cmCrystalwind2400,redRiderShard3,cmCrystalice4900,cmCrystalfire11000,cmCrystalfire15000,",
45,1,,"cmCrystaldark1200,gold375000,cmCrystalearth1200,cmCrystalfire2400,cmCrystaldark2400,cmCrystaldark4900,redRiderShard3,cmCrystaldark11000,cmCrystaldark15000,",
46,1,,"cmCrystalfire1200,cmCrystalearth1200,cmCrystalfire1200,gold750000,sailFaster7,gold1500000,redRiderShard3,redRiderShard8,craftingScroll500,",
47,1,,"cmCrystaldark1200,gold375000,cmCrystalearth1200,gold750000,sailFaster7,craftingScroll160,gold1500000,cmCrystaldark11000,cmCrystalearth15000,",
48,1,,"gold375000,cmCrystalfire1200,sailFaster3,cmCrystaldark2400,sailFaster7,cmCrystalfire4900,cmCrystalfire4900,cmCrystaldark11000,craftingScroll500,",
49,1,,"cmCrystaldark1200,gold375000,gold375000,cmCrystalice2400,craftingScroll80,craftingScroll160,redRiderShard3,cmCrystaldark11000,redRiderShard10,",
50,1,,"cmCrystalice1200,gold375000,cmCrystalearth1200,sailFaster7,gold750000,cmCrystalfire4900,cmCrystalfire4900,cmCrystaldark11000,craftingScroll500,",
51,1,,"cmCrystalwind1200,cmCrystalfire1200,gold375000,redRiderShard2,sailFaster7,cmCrystalearth4900,cmCrystalice4900,cmCrystaldark11000,cmCrystaldark15000,",
52,1,,"sailFaster3,cmCrystaldark1200,gold375000,cmCrystalice2400,cmCrystaldark2400,redRiderShard3,cmCrystalwind4900,bullhorn3,craftingScroll500,",
53,1,,"sailFaster3,cmCrystaldark1200,sailFaster3,cmCrystalice2400,cmCrystalice2400,cmCrystalfire4900,cmCrystalfire4900,cmCrystalearth11000,bullhorn4,",
54,1,,"gold375000,gold375000,cmCrystalearth1200,cmCrystalearth2400,cmCrystalearth2400,cmCrystalwind4900,cmCrystalwind4900,cmCrystaldark11000,cmCrystalfire15000,",
55,1,,"gold375000,cmCrystalwind1200,gold375000,cmCrystalearth2400,gold750000,craftingScroll160,cmCrystalwind4900,cmCrystaldark11000,redRiderShard10,",
56,1,,"gold375000,cmCrystalfire1200,cmCrystaldark1200,redRiderShard2,cmCrystalfire2400,craftingScroll160,redRiderShard3,redRiderShard8,cmCrystaldark15000,",
57,1,,"cmCrystaldark1200,cmCrystalfire1200,cmCrystalice1200,cmCrystalearth2400,cmCrystalfire2400,craftingScroll160,cmCrystaldark4900,cmCrystalearth11000,redRiderShard10,",
58,1,,"cmCrystalwind1200,gold375000,sailFaster3,sailFaster7,cmCrystalfire2400,redRiderShard3,cmCrystalwind4900,cmCrystalfire11000,cmCrystaldark15000,",
59,1,,"cmCrystalearth1200,cmCrystalwind1200,sailFaster3,redRiderShard2,gold750000,cmCrystalfire4900,cmCrystalfire4900,cmCrystalwind11000,redRiderShard10,",
60,1,,"cmCrystaldark1200,cmCrystalfire1200,gold375000,cmCrystalfire2400,cmCrystalearth2400,cmCrystalice4900,craftingScroll160,cmCrystalfire11000,cmCrystalice15000,",
61,1,,"sailFaster3,cmCrystalice1200,cmCrystalwind1200,sailFaster7,cmCrystalwind2400,cmCrystalwind4900,craftingScroll160,bullhorn3,cmCrystalearth15000,",
62,1,,"cmCrystalearth1200,cmCrystalearth1200,cmCrystalice1200,cmCrystalice2400,craftingScroll80,cmCrystalearth4900,cmCrystalfire4900,craftingScroll360,cmCrystalwind15000,",
63,1,,"cmCrystalfire1200,cmCrystalfire1200,cmCrystalearth1200,redRiderShard2,sailFaster7,cmCrystalwind4900,cmCrystalice4900,redRiderShard8,cmCrystaldark15000,",
64,1,,"cmCrystalearth1200,cmCrystaldark1200,cmCrystaldark1200,redRiderShard2,cmCrystalice2400,gold1500000,cmCrystalwind4900,cmCrystalice11000,cmCrystaldark15000,",
65,1,,"cmCrystalwind1200,gold375000,cmCrystalice1200,redRiderShard2,cmCrystaldark2400,cmCrystalfire4900,cmCrystalearth4900,bullhorn3,cmCrystalearth15000,",
66,1,,"gold375000,sailFaster3,cmCrystalfire1200,gold750000,cmCrystaldark2400,cmCrystalice4900,craftingScroll160,bullhorn3,cmCrystalwind15000,",
67,1,,"cmCrystaldark1200,cmCrystalearth1200,gold375000,gold750000,craftingScroll80,cmCrystalice4900,redRiderShard3,cmCrystalearth11000,cmCrystalwind15000,",
68,1,,"sailFaster3,cmCrystalice1200,cmCrystalearth1200,cmCrystaldark2400,redRiderShard2,cmCrystalice4900,cmCrystalfire4900,cmCrystalearth11000,cmCrystaldark15000,",
69,1,,"cmCrystalfire1200,gold375000,cmCrystaldark1200,cmCrystalfire2400,cmCrystalwind2400,craftingScroll160,cmCrystalearth4900,cmCrystalearth11000,cmCrystalwind15000,",
70,1,,"cmCrystalfire1200,cmCrystalfire1200,cmCrystalwind1200,craftingScroll80,cmCrystalwind2400,redRiderShard3,redRiderShard3,bullhorn3,cmCrystalice15000,",
71,1,,"cmCrystaldark1200,cmCrystalwind1200,cmCrystalearth1200,redRiderShard2,craftingScroll80,cmCrystalearth4900,cmCrystalwind4900,bullhorn3,cmCrystalwind15000,",
72,1,,"sailFaster3,cmCrystalwind1200,cmCrystalearth1200,cmCrystaldark2400,cmCrystalearth2400,cmCrystalfire4900,cmCrystalfire4900,cmCrystaldark11000,cmCrystalwind15000,",
73,1,,"cmCrystaldark1200,cmCrystaldark1200,cmCrystalice1200,cmCrystalice2400,cmCrystalearth2400,cmCrystaldark4900,cmCrystalearth4900,cmCrystalearth11000,cmCrystalfire15000,",
74,1,,"sailFaster3,cmCrystalearth1200,cmCrystaldark1200,redRiderShard2,craftingScroll80,cmCrystalwind4900,gold1500000,cmCrystalwind11000,cmCrystalfire15000,",
75,1,,"cmCrystalearth1200,gold375000,cmCrystalice1200,cmCrystalwind2400,gold750000,craftingScroll160,cmCrystalearth4900,cmCrystalwind11000,cmCrystalfire15000,",
76,1,,"cmCrystalfire1200,gold375000,cmCrystalearth1200,craftingScroll80,redRiderShard2,craftingScroll160,cmCrystalearth4900,cmCrystaldark11000,cmCrystalfire15000,",
77,1,,"cmCrystalice1200,cmCrystalwind1200,sailFaster3,redRiderShard2,cmCrystalwind2400,cmCrystalearth4900,cmCrystalwind4900,cmCrystalfire11000,redRiderShard10,",
78,1,,"cmCrystalearth1200,cmCrystalfire1200,cmCrystalfire1200,cmCrystalearth2400,cmCrystaldark2400,redRiderShard3,cmCrystalice4900,bullhorn3,cmCrystalice15000,",
79,1,,"cmCrystalearth1200,cmCrystalearth1200,sailFaster3,craftingScroll80,gold750000,craftingScroll160,redRiderShard3,cmCrystalearth11000,cmCrystalearth15000,",
80,1,,"gold375000,cmCrystalfire1200,cmCrystalice1200,cmCrystalice2400,sailFaster7,craftingScroll160,cmCrystaldark4900,cmCrystalice11000,cmCrystalice15000,",
81,1,,"cmCrystalice1200,cmCrystalfire1200,cmCrystalwind1200,sailFaster7,cmCrystaldark2400,craftingScroll160,craftingScroll160,cmCrystaldark11000,cmCrystalfire15000,",
82,1,,"cmCrystalice1200,cmCrystalearth1200,cmCrystalice1200,cmCrystalice2400,craftingScroll80,cmCrystalfire4900,cmCrystalwind4900,cmCrystalwind11000,cmCrystaldark15000,",
83,1,,"cmCrystalwind1200,cmCrystalfire1200,sailFaster3,cmCrystalwind2400,cmCrystalfire2400,cmCrystalice4900,cmCrystalwind4900,cmCrystalfire11000,cmCrystalfire15000,",
84,1,,"cmCrystalearth1200,cmCrystalfire1200,gold375000,cmCrystalice2400,cmCrystalice2400,cmCrystalice4900,cmCrystaldark4900,cmCrystalearth11000,cmCrystalfire15000,",
85,1,,"cmCrystalwind1200,cmCrystalwind1200,cmCrystalearth1200,cmCrystalfire2400,cmCrystalfire2400,cmCrystaldark4900,craftingScroll160,redRiderShard8,cmCrystalfire15000,",
86,1,,"gold375000,cmCrystalearth1200,cmCrystalice1200,sailFaster7,cmCrystalearth2400,gold1500000,craftingScroll160,cmCrystaldark11000,cmCrystalfire15000,",
87,1,,"gold375000,sailFaster3,gold375000,cmCrystalice2400,cmCrystalwind2400,cmCrystalice4900,craftingScroll160,redRiderShard8,bullhorn4,",
88,1,,"sailFaster3,cmCrystalearth1200,cmCrystalearth1200,sailFaster7,gold750000,cmCrystalice4900,cmCrystalwind4900,bullhorn3,redRiderShard10,",
89,1,,"cmCrystalfire1200,cmCrystalwind1200,cmCrystalice1200,cmCrystaldark2400,craftingScroll80,cmCrystalice4900,cmCrystalearth4900,cmCrystaldark11000,cmCrystalwind15000,",
90,1,,"cmCrystaldark1200,cmCrystalfire1200,cmCrystaldark1200,sailFaster7,cmCrystalearth2400,gold1500000,cmCrystaldark4900,cmCrystalice11000,cmCrystalearth15000,",
91,1,,"cmCrystalice1200,sailFaster3,cmCrystalwind1200,craftingScroll80,cmCrystalwind2400,cmCrystalwind4900,cmCrystalearth4900,cmCrystaldark11000,bullhorn4,",
92,1,,"cmCrystaldark1200,cmCrystaldark1200,cmCrystalfire1200,cmCrystalearth2400,gold750000,cmCrystalice4900,cmCrystalfire4900,cmCrystalearth11000,cmCrystaldark15000,",
