identifier,level,inBundle,sceneFile,lobOverlaySceneFilename,upgradeCost,upgradeTimeInSeconds,achievementRequirements,HP,destructionProbabilities,component,upgradeReward,showcaseNodeLocation,activeAbilityProjectile,activeAbilityProjectileEffects,activeAbilityEffects,activeAbilityDelay,activeAbilityRange,activeAbilityBattleText,explosionSceneFile,bonusLabel1,bonusLabel2,activeParticleEffectIdentifier,isAutoUpgrading,isAutoCompleting,constructionSceneFile,customUpgradeSceneFile,damageReductionPercentage,levelRequired,h
String,Integer,String,String,String,String,Integer,String,Float,String,String,String,String,String,String,String,Float,Integer,String,String,String,String,String,Integer,Integer,String,String,Integer,Integer,String
WindTotemUpgrades_1,1,0,bld_brazier_lightning_level01.lvl,,elementalEmber:100,990,,6991,,,,,,,,,,,bld_brazier_death.lvl,,,,,,,,1,1,
WindTotemUpgrades_2,2,0,bld_brazier_lightning_level01.lvl,,piercing:145,3510,,8643,,,,,,,,,,,bld_brazier_death.lvl,,,,,,,,1,1,
WindTotemUpgrades_3,3,0,bld_brazier_lightning_level01.lvl,,elementalEmber:200,7200,,10261,,,,,,,,,,,bld_brazier_death.lvl,,,,,,,,2,1,
WindTotemUpgrades_4,4,0,bld_brazier_lightning_level01.lvl,,piercing:861,10800,,11982,,,,,,,,,,,bld_brazier_death.lvl,,,,,,,,2,1,
WindTotemUpgrades_5,5,0,bld_brazier_lightning_level01.lvl,,elementalEmber:300,16200,,14255,,,,,,,,,,,bld_brazier_death.lvl,,,,,,,,3,1,
WindTotemUpgrades_6,6,0,bld_brazier_lightning_level01.lvl,,piercing:1894,21600,,16884,,,,,,,,,,,bld_brazier_death.lvl,,,,,,,,3,7,
WindTotemUpgrades_7,7,0,bld_brazier_lightning_level01.lvl,,elementalEmber:400,28800,,19892,,,,,,,,,,,bld_brazier_death.lvl,,,,,,,,4,7,
WindTotemUpgrades_8,8,0,bld_brazier_lightning_level01.lvl,,piercing:3714,36000,,23314,,,,,,,,,,,bld_brazier_death.lvl,,,,,,,,4,12,
WindTotemUpgrades_9,9,0,bld_brazier_lightning_level01.lvl,,elementalEmber:500,43200,,27185,,,,,,,,,,,bld_brazier_death.lvl,,,,,,,,5,12,
WindTotemUpgrades_10,10,0,bld_brazier_lightning_level01.lvl,,piercing:8712,57600,,30537,,,,,,,,,,,bld_brazier_death.lvl,,,,,,,,5,17,
WindTotemUpgrades_11,11,0,bld_brazier_lightning_level01.lvl,,elementalEmber:600,72000,,34165,,,,,,,,,,,bld_brazier_death.lvl,,,,,,,,6,17,
WindTotemUpgrades_12,12,0,bld_brazier_lightning_level01.lvl,,piercing:17819,86400,,38072,,,,,,,,,,,bld_brazier_death.lvl,,,,,,,,6,21,
WindTotemUpgrades_13,13,0,bld_brazier_lightning_level01.lvl,,elementalEmber:700,129600,,42382,,,,,,,,,,,bld_brazier_death.lvl,,,,,,,,7,21,
WindTotemUpgrades_14,14,0,bld_brazier_lightning_level01.lvl,,piercing:38115,172800,,47181,,,,,,,,,,,bld_brazier_death.lvl,,,,,,,,7,28,
WindTotemUpgrades_15,15,0,bld_brazier_lightning_level02.lvl,,elementalEmber:800,216000,,52525,,,,,,,,,,,bld_brazier_death.lvl,,,,,,,,8,28,
WindTotemUpgrades_16,16,0,bld_brazier_lightning_level02.lvl,,piercing:57617,259200,,58473,,,,,,,,,,,bld_brazier_death.lvl,,,,,,,,8,31,
WindTotemUpgrades_17,17,0,bld_brazier_lightning_level02.lvl,,elementalEmber:900,302400,,65095,,,,,,,,,,,bld_brazier_death.lvl,,,,,,,,9,31,
WindTotemUpgrades_18,18,0,bld_brazier_lightning_level02.lvl,,piercing:86400,345600,,72467,,,,,,,,,,,bld_brazier_death.lvl,,,,,,,,9,37,
WindTotemUpgrades_19,19,0,bld_brazier_lightning_level02.lvl,,elementalEmber:1000,388800,,85121,,,,,,,,,,,bld_brazier_death.lvl,,,,,,,,10,37,
WindTotemUpgrades_20,20,0,bld_brazier_lightning_level02.lvl,,piercing:154799,432000,,99983,,,,,,,,,,,bld_brazier_death.lvl,,,,,,,,10,46,
WindTotemUpgrades_21,21,0,bld_brazier_lightning_level02.lvl,,elementalEmber:1100,518400,,117442,,,,,,,,,,,bld_brazier_death.lvl,,,,,,,,11,46,
WindTotemUpgrades_22,22,0,bld_brazier_lightning_level02.lvl,,piercing:219599,604800,,137949,,,,,,,,,,,bld_brazier_death.lvl,,,,,,,,11,56,
WindTotemUpgrades_23,23,0,bld_brazier_lightning_level02.lvl,,elementalEmber:1200,691200,,162037,,,,,,,,,,,bld_brazier_death.lvl,,,,,,,,12,56,
WindTotemUpgrades_24,24,0,bld_brazier_lightning_level02.lvl,,piercing:269232,864000,,190332,,,,,,,,,,,bld_brazier_death.lvl,,,,,,,,12,64,
WindTotemUpgrades_25,25,0,bld_brazier_lightning_level03.lvl,,elementalEmber:1300,864000,,223569,,,,,,,,,,,bld_brazier_death.lvl,,,,,,,,13,64,
WindTotemUpgrades_26,26,0,bld_brazier_lightning_level03.lvl,,piercing:340800,936000,,277082,,,,,,,,,,,bld_brazier_death.lvl,,,,,,,,13,73,
WindTotemUpgrades_27,27,0,bld_brazier_lightning_level03.lvl,,elementalEmber:1400,1080000,,343405,,,,,,,,,,,bld_brazier_death.lvl,,,,,,,,14,73,
WindTotemUpgrades_28,28,0,bld_brazier_lightning_level03.lvl,,piercing:422592,1152000,,401654,,,,,,,,,,,bld_brazier_death.lvl,,,,,,,,14,85,
WindTotemUpgrades_29,29,0,bld_brazier_lightning_level03.lvl,,elementalEmber:1500,1224000,,443347,,,,,,,,,,,bld_brazier_death.lvl,,,,,,,,15,85,
WindTotemUpgrades_30,30,0,bld_brazier_lightning_level03.lvl,,piercing:504384,1224000,,489370,,,,,,,,,,,bld_brazier_death.lvl,,,,,,,,15,94,
WindTotemUpgrades_31,31,0,bld_brazier_lightning_level03.lvl,,elementalEmber:1600,1370990,,540170,,,,,,,,,,,bld_brazier_death.lvl,,,,,,,,16,94,
WindTotemUpgrades_32,32,0,bld_brazier_lightning_level03.lvl,,piercing:586176,1468800,,596246,,,,,,,,,,,bld_brazier_death.lvl,,,,,,,,16,106,
WindTotemUpgrades_33,33,0,bld_brazier_lightning_level03.lvl,,elementalEmber:1700,1566720,,658141,,,,,,,,,,,bld_brazier_death.lvl,,,,,,,,17,106,
WindTotemUpgrades_34,34,0,bld_brazier_lightning_level03.lvl,,piercing:667968,1664640,,726462,,,,,,,,,,,bld_brazier_death.lvl,,,,,,,,17,118,
WindTotemUpgrades_35,35,0,bld_brazier_lightning_level03.lvl,,elementalEmber:1800,1762560,,801875,,,,,,,,,,,bld_brazier_death.lvl,,,,,,,,18,118,
WindTotemUpgrades_36,36,0,bld_brazier_lightning_level03.lvl,,piercing:668068,2177280,,885119,,,,,,,,,,,bld_brazier_death.lvl,,,,,,,,18,130,
WindTotemUpgrades_37,37,0,bld_brazier_lightning_level03.lvl,,elementalEmber:1900,2177280,,977004,,,,,,,,,,,bld_brazier_death.lvl,,,,,,,,18,130,
WindTotemUpgrades_38,38,0,bld_brazier_lightning_level03.lvl,,piercing:668168,2177280,,1078427,,,,,,,,,,,bld_brazier_death.lvl,,,,,,,,18,142,
WindTotemUpgrades_39,39,0,bld_brazier_lightning_level03.lvl,,elementalEmber:2000,2177280,,1190380,,,,,,,,,,,bld_brazier_death.lvl,,,,,,,,18,142,
WindTotemUpgrades_40,40,0,bld_brazier_lightning_level03.lvl,,piercing:668268,2177280,,1313954,,,,,,,,,,,bld_brazier_death.lvl,,,,,,,,18,151,
WindTotemUpgrades_41,41,0,bld_brazier_lightning_level03.lvl,,elementalEmber:2100,2290604,,1450357,,,,,,,,,,,bld_brazier_death.lvl,,,,,,,,18,151,
WindTotemUpgrades_42,42,0,bld_brazier_lightning_level03.lvl,,piercing:668368,2743903,,1600920,,,,,,,,,,,bld_brazier_death.lvl,,,,,,,,18,163,
WindTotemUpgrades_43,43,0,bld_brazier_lightning_level03.lvl,,elementalEmber:2200,3197201,,1767114,,,,,,,,,,,bld_brazier_death.lvl,,,,,,,,18,163,
WindTotemUpgrades_44,44,0,bld_brazier_lightning_level03.lvl,,piercing:668468,3650500,,1950560,,,,,,,,,,,bld_brazier_death.lvl,,,,,,,,18,175,
WindTotemUpgrades_45,45,0,bld_brazier_lightning_level03.lvl,,elementalEmber:2300,4103799,,2153050,,,,,,,,,,,bld_brazier_death.lvl,,,,,,,,18,175,
WindTotemUpgrades_46,46,0,bld_brazier_lightning_level03.lvl,,piercing:1158720,4177339,,2376560,,,,,,,,,,,bld_brazier_death.lvl,,,,,,,,19,187,
WindTotemUpgrades_47,47,0,bld_brazier_lightning_level03.lvl,,elementalEmber:2400,4314507,,2623276,,,,,,,,,,,bld_brazier_death.lvl,,,,,,,,19,187,
WindTotemUpgrades_48,48,0,bld_brazier_lightning_level03.lvl,,piercing:1240512,4553079,,2895603,,,,,,,,,,,bld_brazier_death.lvl,,,,,,,,19,196,
WindTotemUpgrades_49,49,0,bld_brazier_lightning_level03.lvl,,elementalEmber:2500,4602106,,3196202,,,,,,,,,,,bld_brazier_death.lvl,,,,,,,,19,196,
WindTotemUpgrades_50,50,0,bld_brazier_lightning_level03.lvl,,piercing:1322304,4777719,,3528005,,,,,,,,,,,bld_brazier_death.lvl,,,,,,,,19,208,!@#kmoeodnpjgkppjnp
