identifier,inBundle,shouldZip,numParts,h
String,Integer,Integer,Integer,String
Clouds_01.apvr,0,0,1,
Clouds_01.epvr,0,0,1,
Clouds_01.pvr,0,0,1,
Clover_Tile_01.apvr,0,0,1,
Clover_Tile_01.epvr,0,0,1,
Clover_Tile_01.pvr,0,0,1,
CustomSampler.csv,0,0,1,
DevinneSwash.ttf,0,0,1,
Dot_01.tga,0,0,1,
ForestBiome.apvr,0,0,1,
ForestBiome.epvr,0,0,1,
ForestBiome.pvr,0,0,1,
ForestBiome2_b.tga,0,0,1,
Grass_Tile_04.apvr,0,0,1,
Grass_Tile_04.epvr,0,0,1,
Grass_Tile_04.pvr,0,0,1,
Grass_Tile_04_Height.apvr,0,0,1,
Grass_Tile_04_Height.epvr,0,0,1,
Grass_Tile_04_Height.pvr,0,0,1,
Grass_Tile_04_Normal.apvr,0,0,1,
Grass_Tile_04_Normal.epvr,0,0,1,
Grass_Tile_04_Normal.pvr,0,0,1,
Grass_Tile_05.apvr,0,0,1,
Grass_Tile_05.epvr,0,0,1,
Grass_Tile_05.pvr,0,0,1,
Grid_01.apvr,0,0,1,
Grid_01.epvr,0,0,1,
Grid_01.pvr,0,0,1,
Grunge_01.jpg,0,0,1,
Grunge_01_a.tga,0,0,1,
Grunge_02.jpg,0,0,1,
Grunge_02.tga,0,0,1,
Grunge_02_a.tga,0,0,1,
Grunge_03.tga,0,0,1,
Perlin.apvr,0,0,1,
Perlin.epvr,0,0,1,
Perlin.pvr,0,0,1,
Perlin2.apvr,0,0,1,
Perlin2.epvr,0,0,1,
Perlin2.pvr,0,0,1,
PerlinGray.apvr,0,0,1,
PerlinGray.epvr,0,0,1,
PerlinGray.pvr,0,0,1,
PerlinNormal.apvr,0,0,1,
PerlinNormal.epvr,0,0,1,
PerlinNormal.pvr,0,0,1,
PerlinNormal.tga,0,0,1,
PerlinNormal_a.tga,0,0,1,
Rock_Tile_04.apvr,0,0,1,
Rock_Tile_04.epvr,0,0,1,
Rock_Tile_04.pvr,0,0,1,
Rock_Tile_04_Height.apvr,0,0,1,
Rock_Tile_04_Height.epvr,0,0,1,
Rock_Tile_04_Height.pvr,0,0,1,
Rock_Tile_04_Normal.apvr,0,0,1,
Rock_Tile_04_Normal.epvr,0,0,1,
Rock_Tile_04_Normal.pvr,0,0,1,
Stones_01.jpg,0,0,1,
VolcanoBiome.apvr,0,0,1,
VolcanoBiome.epvr,0,0,1,
VolcanoBiome.pvr,0,0,1,
Water_Froth_01.apvr,0,0,1,
Water_Froth_01.epvr,0,0,1,
Water_Froth_01.pvr,0,0,1,
WorldMap_Snow.apvr,0,0,1,
WorldMap_Snow.epvr,0,0,1,
WorldMap_Snow.pvr,0,0,1,
actors.js,0,1,1,
area.js,0,1,1,
bank.js,0,1,1,
beasts.js,0,1,1,
build_queue.js,0,1,1,
building.js,0,1,1,
cloudshd.apvr,0,0,1,
cloudshd.epvr,0,0,1,
cloudshd.pvr,0,0,1,
compoundcontext.dat,0,1,1,
def_HDR_specular.dds,0,1,1,
dry-dirt2-albedo.apvr,0,0,1,
dry-dirt2-albedo.epvr,0,0,1,
dry-dirt2-albedo.pvr,0,0,1,
dry-dirt2-ao.apvr,0,0,1,
dry-dirt2-ao.epvr,0,0,1,
dry-dirt2-ao.pvr,0,0,1,
dry-dirt2-height2.apvr,0,0,1,
dry-dirt2-height2.epvr,0,0,1,
dry-dirt2-height2.pvr,0,0,1,
dry-dirt2-metalness.apvr,0,0,1,
dry-dirt2-metalness.epvr,0,0,1,
dry-dirt2-metalness.pvr,0,0,1,
dry-dirt2-normal2.apvr,0,0,1,
dry-dirt2-normal2.epvr,0,0,1,
dry-dirt2-normal2.pvr,0,0,1,
dry-dirt2-roughness.apvr,0,0,1,
dry-dirt2-roughness.epvr,0,0,1,
dry-dirt2-roughness.pvr,0,0,1,
fleets.js,0,1,1,
fort.js,0,1,1,
gacha.js,0,1,1,
galleons.js,0,1,1,
glosslut.dds,0,1,1,
graniterockface1_Ambient_Occlusion.apvr,0,0,1,
graniterockface1_Ambient_Occlusion.epvr,0,0,1,
graniterockface1_Ambient_Occlusion.pvr,0,0,1,
graniterockface1_Base_Color.apvr,0,0,1,
graniterockface1_Base_Color.epvr,0,0,1,
graniterockface1_Base_Color.pvr,0,0,1,
graniterockface1_Height.apvr,0,0,1,
graniterockface1_Height.epvr,0,0,1,
graniterockface1_Height.pvr,0,0,1,
graniterockface1_Metallic.apvr,0,0,1,
graniterockface1_Metallic.epvr,0,0,1,
graniterockface1_Metallic.pvr,0,0,1,
graniterockface1_Normal.apvr,0,0,1,
graniterockface1_Normal.epvr,0,0,1,
graniterockface1_Normal.pvr,0,0,1,
graniterockface1_Roughness.apvr,0,0,1,
graniterockface1_Roughness.epvr,0,0,1,
graniterockface1_Roughness.pvr,0,0,1,
hq.js,0,1,1,
incremental_model.js,0,1,1,
infra.js,0,1,1,
log.dat,0,1,1,
map_boarder_worldsEnd.apvr,0,0,1,
map_boarder_worldsEnd.epvr,0,0,1,
map_boarder_worldsEnd.pvr,0,0,1,
mill_sh.xml,0,1,1,
mill_specular.dds,0,1,1,
now.js,0,1,1,
places.js,0,1,1,
poachers.js,0,1,1,
port.js,0,1,1,
prop_wm_Decorations.dat,0,1,1,
prop_wm_Desert.apvr,0,0,1,
prop_wm_Desert.dat,0,1,1,
prop_wm_Desert.epvr,0,0,1,
prop_wm_Desert.pvr,0,0,1,
prop_wm_Desert_01.pod,0,1,1,
prop_wm_Desert_02.pod,0,1,1,
prop_wm_Desert_03.pod,0,1,1,
prop_wm_Desert_04.pod,0,1,1,
prop_wm_Desert_05.pod,0,1,1,
prop_wm_Desert_06.pod,0,1,1,
prop_wm_Desert_07.pod,0,1,1,
prop_wm_Desert_08.pod,0,1,1,
prop_wm_Desert_09.pod,0,1,1,
prop_wm_Desert_10.pod,0,1,1,
prop_wm_Desert_11.pod,0,1,1,
prop_wm_Desert_12.pod,0,1,1,
prop_wm_Desert_13.pod,0,1,1,
prop_wm_Forest.apvr,0,0,1,
prop_wm_Forest.dat,0,1,1,
prop_wm_Forest.epvr,0,0,1,
prop_wm_Forest.pvr,0,0,1,
prop_wm_Forest_01.pod,0,1,1,
prop_wm_Forest_02.pod,0,1,1,
prop_wm_Forest_03.pod,0,1,1,
prop_wm_Forest_04.pod,0,1,1,
prop_wm_Forest_05.pod,0,1,1,
prop_wm_Forest_06.pod,0,1,1,
prop_wm_Forest_07.pod,0,1,1,
prop_wm_Forest_08.pod,0,1,1,
prop_wm_Forest_09.pod,0,1,1,
prop_wm_Forest_10.pod,0,1,1,
prop_wm_Forest_11.pod,0,1,1,
prop_wm_Forest_12.pod,0,1,1,
prop_wm_Generic.apvr,0,0,1,
prop_wm_Generic.dat,0,1,1,
prop_wm_Generic.epvr,0,0,1,
prop_wm_Generic.pvr,0,0,1,
prop_wm_Generic_01.pod,0,1,1,
prop_wm_Generic_02.pod,0,1,1,
prop_wm_Generic_03.pod,0,1,1,
prop_wm_Generic_04.pod,0,1,1,
prop_wm_Generic_05.pod,0,1,1,
prop_wm_Generic_06.pod,0,1,1,
prop_wm_Generic_07.pod,0,1,1,
prop_wm_Generic_08.pod,0,1,1,
prop_wm_Generic_09.pod,0,1,1,
prop_wm_Generic_10.pod,0,1,1,
prop_wm_Snow.apvr,0,0,1,
prop_wm_Snow.dat,0,1,1,
prop_wm_Snow.epvr,0,0,1,
prop_wm_Snow.pvr,0,0,1,
prop_wm_Snow_01.pod,0,1,1,
prop_wm_Snow_02.pod,0,1,1,
prop_wm_Snow_03.pod,0,1,1,
prop_wm_Snow_04.pod,0,1,1,
prop_wm_Snow_05.pod,0,1,1,
prop_wm_Snow_06.pod,0,1,1,
prop_wm_Snow_07.pod,0,1,1,
prop_wm_Snow_08.pod,0,1,1,
prop_wm_Snow_09.pod,0,1,1,
prop_wm_Snow_10.pod,0,1,1,
prop_wm_Snow_11.pod,0,1,1,
prop_wm_Swamp.apvr,0,0,1,
prop_wm_Swamp.dat,0,1,1,
prop_wm_Swamp.epvr,0,0,1,
prop_wm_Swamp.pvr,0,0,1,
prop_wm_Swamp_01.pod,0,1,1,
prop_wm_Swamp_02.pod,0,1,1,
prop_wm_Swamp_03.pod,0,1,1,
prop_wm_Swamp_04.pod,0,1,1,
prop_wm_Swamp_05.pod,0,1,1,
prop_wm_Swamp_06.pod,0,1,1,
prop_wm_Swamp_07.pod,0,1,1,
prop_wm_Swamp_08.pod,0,1,1,
prop_wm_Swamp_09.pod,0,1,1,
prop_wm_Swamp_10.pod,0,1,1,
prop_wm_Volcanic.apvr,0,0,1,
prop_wm_Volcanic.dat,0,1,1,
prop_wm_Volcanic.epvr,0,0,1,
prop_wm_Volcanic.pvr,0,0,1,
prop_wm_Volcanic_01.pod,0,1,1,
prop_wm_Volcanic_02.pod,0,1,1,
prop_wm_Volcanic_03.pod,0,1,1,
prop_wm_Volcanic_04.pod,0,1,1,
prop_wm_Volcanic_05.pod,0,1,1,
prop_wm_Volcanic_06.pod,0,1,1,
prop_wm_Volcanic_07.pod,0,1,1,
prop_wm_Volcanic_08.pod,0,1,1,
prop_wm_Volcanic_09.pod,0,1,1,
prop_wm_Volcanic_10.pod,0,1,1,
prop_wm_Volcanic_11.pod,0,1,1,
prop_wm_Volcanic_12.pod,0,1,1,
prop_wm_Volcanic_13.pod,0,1,1,
prop_wm_Volcanic_14.pod,0,1,1,
prop_wm_beast01.dat,0,1,1,
prop_wm_beast01.pod,0,1,1,
prop_wm_beast01_dif.apvr,0,0,1,
prop_wm_beast01_dif.epvr,0,0,1,
prop_wm_beast01_dif.pvr,0,0,1,
prop_wm_beast01_mat.apvr,0,0,1,
prop_wm_beast01_mat.epvr,0,0,1,
prop_wm_beast01_mat.pvr,0,0,1,
prop_wm_beast01_nrm.apvr,0,0,1,
prop_wm_beast01_nrm.epvr,0,0,1,
prop_wm_beast01_nrm.pvr,0,0,1,
prop_wm_beast01_team.dat,0,1,1,
prop_wm_beast01_team.pod,0,1,1,
prop_wm_beast01_team_dif.apvr,0,0,1,
prop_wm_beast01_team_dif.epvr,0,0,1,
prop_wm_beast01_team_dif.pvr,0,0,1,
prop_wm_beast01_team_mat.apvr,0,0,1,
prop_wm_beast01_team_mat.epvr,0,0,1,
prop_wm_beast01_team_mat.pvr,0,0,1,
prop_wm_beast01_team_nrm.apvr,0,0,1,
prop_wm_beast01_team_nrm.epvr,0,0,1,
prop_wm_beast01_team_nrm.pvr,0,0,1,
prop_wm_beast02.dat,0,1,1,
prop_wm_beast02.pod,0,1,1,
prop_wm_beast02_dif.apvr,0,0,1,
prop_wm_beast02_dif.epvr,0,0,1,
prop_wm_beast02_dif.pvr,0,0,1,
prop_wm_beast02_mat.apvr,0,0,1,
prop_wm_beast02_mat.epvr,0,0,1,
prop_wm_beast02_mat.pvr,0,0,1,
prop_wm_beast02_nrm.apvr,0,0,1,
prop_wm_beast02_nrm.epvr,0,0,1,
prop_wm_beast02_nrm.pvr,0,0,1,
prop_wm_beast02_team.dat,0,1,1,
prop_wm_beast02_team.pod,0,1,1,
prop_wm_beast02_team_dif.apvr,0,0,1,
prop_wm_beast02_team_dif.epvr,0,0,1,
prop_wm_beast02_team_dif.pvr,0,0,1,
prop_wm_beast02_team_mat.apvr,0,0,1,
prop_wm_beast02_team_mat.epvr,0,0,1,
prop_wm_beast02_team_mat.pvr,0,0,1,
prop_wm_beast02_team_nrm.apvr,0,0,1,
prop_wm_beast02_team_nrm.epvr,0,0,1,
prop_wm_beast02_team_nrm.pvr,0,0,1,
prop_wm_beast03.dat,0,1,1,
prop_wm_beast03.pod,0,1,1,
prop_wm_beast03_dif.apvr,0,0,1,
prop_wm_beast03_dif.epvr,0,0,1,
prop_wm_beast03_dif.pvr,0,0,1,
prop_wm_beast03_mat.apvr,0,0,1,
prop_wm_beast03_mat.epvr,0,0,1,
prop_wm_beast03_mat.pvr,0,0,1,
prop_wm_beast03_nrm.apvr,0,0,1,
prop_wm_beast03_nrm.epvr,0,0,1,
prop_wm_beast03_nrm.pvr,0,0,1,
prop_wm_beast03_team.dat,0,1,1,
prop_wm_beast03_team.pod,0,1,1,
prop_wm_beast03_team_dif.apvr,0,0,1,
prop_wm_beast03_team_dif.epvr,0,0,1,
prop_wm_beast03_team_dif.pvr,0,0,1,
prop_wm_beast03_team_mat.apvr,0,0,1,
prop_wm_beast03_team_mat.epvr,0,0,1,
prop_wm_beast03_team_mat.pvr,0,0,1,
prop_wm_beast03_team_nrm.apvr,0,0,1,
prop_wm_beast03_team_nrm.epvr,0,0,1,
prop_wm_beast03_team_nrm.pvr,0,0,1,
prop_wm_beast04.dat,0,1,1,
prop_wm_beast04.pod,0,1,1,
prop_wm_beast04_dif.apvr,0,0,1,
prop_wm_beast04_dif.epvr,0,0,1,
prop_wm_beast04_dif.pvr,0,0,1,
prop_wm_beast04_mat.apvr,0,0,1,
prop_wm_beast04_mat.epvr,0,0,1,
prop_wm_beast04_mat.pvr,0,0,1,
prop_wm_beast04_nrm.apvr,0,0,1,
prop_wm_beast04_nrm.epvr,0,0,1,
prop_wm_beast04_nrm.pvr,0,0,1,
prop_wm_beast04_team.dat,0,1,1,
prop_wm_beast04_team.pod,0,1,1,
prop_wm_beast04_team_dif.apvr,0,0,1,
prop_wm_beast04_team_dif.epvr,0,0,1,
prop_wm_beast04_team_dif.pvr,0,0,1,
prop_wm_beast04_team_mat.apvr,0,0,1,
prop_wm_beast04_team_mat.epvr,0,0,1,
prop_wm_beast04_team_mat.pvr,0,0,1,
prop_wm_beast04_team_nrm.apvr,0,0,1,
prop_wm_beast04_team_nrm.epvr,0,0,1,
prop_wm_beast04_team_nrm.pvr,0,0,1,
prop_wm_beast05.dat,0,1,1,
prop_wm_beast05.pod,0,1,1,
prop_wm_beast05_dif.apvr,0,0,1,
prop_wm_beast05_dif.epvr,0,0,1,
prop_wm_beast05_dif.pvr,0,0,1,
prop_wm_beast05_mat.apvr,0,0,1,
prop_wm_beast05_mat.epvr,0,0,1,
prop_wm_beast05_mat.pvr,0,0,1,
prop_wm_beast05_nrm.apvr,0,0,1,
prop_wm_beast05_nrm.epvr,0,0,1,
prop_wm_beast05_nrm.pvr,0,0,1,
prop_wm_beast05_team.dat,0,1,1,
prop_wm_beast05_team.pod,0,1,1,
prop_wm_beast05_team_dif.apvr,0,0,1,
prop_wm_beast05_team_dif.epvr,0,0,1,
prop_wm_beast05_team_dif.pvr,0,0,1,
prop_wm_beast05_team_mat.apvr,0,0,1,
prop_wm_beast05_team_mat.epvr,0,0,1,
prop_wm_beast05_team_mat.pvr,0,0,1,
prop_wm_beast05_team_nrm.apvr,0,0,1,
prop_wm_beast05_team_nrm.epvr,0,0,1,
prop_wm_beast05_team_nrm.pvr,0,0,1,
prop_wm_castle_forest_lvl01_Diffuse.apvr,0,0,1,
prop_wm_castle_forest_lvl01_Diffuse.epvr,0,0,1,
prop_wm_castle_forest_lvl01_Diffuse.pvr,0,0,1,
prop_wm_castle_forest_lvl01_Material.apvr,0,0,1,
prop_wm_castle_forest_lvl01_Material.epvr,0,0,1,
prop_wm_castle_forest_lvl01_Material.pvr,0,0,1,
prop_wm_castle_forest_lvl01_Normal.apvr,0,0,1,
prop_wm_castle_forest_lvl01_Normal.epvr,0,0,1,
prop_wm_castle_forest_lvl01_Normal.pvr,0,0,1,
prop_wm_castle_forest_lvl02_Diffuse.apvr,0,0,1,
prop_wm_castle_forest_lvl02_Diffuse.epvr,0,0,1,
prop_wm_castle_forest_lvl02_Diffuse.pvr,0,0,1,
prop_wm_castle_forest_lvl02_Material.apvr,0,0,1,
prop_wm_castle_forest_lvl02_Material.epvr,0,0,1,
prop_wm_castle_forest_lvl02_Material.pvr,0,0,1,
prop_wm_castle_forest_lvl02_Normal.apvr,0,0,1,
prop_wm_castle_forest_lvl02_Normal.epvr,0,0,1,
prop_wm_castle_forest_lvl02_Normal.pvr,0,0,1,
prop_wm_castle_forest_lvl03_Diffuse.apvr,0,0,1,
prop_wm_castle_forest_lvl03_Diffuse.epvr,0,0,1,
prop_wm_castle_forest_lvl03_Diffuse.pvr,0,0,1,
prop_wm_castle_forest_lvl03_Material.apvr,0,0,1,
prop_wm_castle_forest_lvl03_Material.epvr,0,0,1,
prop_wm_castle_forest_lvl03_Material.pvr,0,0,1,
prop_wm_castle_forest_lvl03_Normal.apvr,0,0,1,
prop_wm_castle_forest_lvl03_Normal.epvr,0,0,1,
prop_wm_castle_forest_lvl03_Normal.pvr,0,0,1,
prop_wm_controller_LOD00.pod,0,1,1,
prop_wm_controller_lvl01.pod,0,1,1,
prop_wm_controller_lvl01_LOD00.dat,0,1,1,
prop_wm_controller_lvl01_dif_LOD00.apvr,0,0,1,
prop_wm_controller_lvl01_dif_LOD00.epvr,0,0,1,
prop_wm_controller_lvl01_dif_LOD00.pvr,0,0,1,
prop_wm_controller_lvl01_mat_LOD00.apvr,0,0,1,
prop_wm_controller_lvl01_mat_LOD00.epvr,0,0,1,
prop_wm_controller_lvl01_mat_LOD00.pvr,0,0,1,
prop_wm_controller_lvl01_nrm_LOD00.apvr,0,0,1,
prop_wm_controller_lvl01_nrm_LOD00.epvr,0,0,1,
prop_wm_controller_lvl01_nrm_LOD00.pvr,0,0,1,
prop_wm_controller_lvl02.pod,0,1,1,
prop_wm_controller_lvl02_LOD00.dat,0,1,1,
prop_wm_controller_lvl02_dif_LOD00.apvr,0,0,1,
prop_wm_controller_lvl02_dif_LOD00.epvr,0,0,1,
prop_wm_controller_lvl02_dif_LOD00.pvr,0,0,1,
prop_wm_controller_lvl02_mat_LOD00.apvr,0,0,1,
prop_wm_controller_lvl02_mat_LOD00.epvr,0,0,1,
prop_wm_controller_lvl02_mat_LOD00.pvr,0,0,1,
prop_wm_controller_lvl02_nrm_LOD00.apvr,0,0,1,
prop_wm_controller_lvl02_nrm_LOD00.epvr,0,0,1,
prop_wm_controller_lvl02_nrm_LOD00.pvr,0,0,1,
prop_wm_controller_lvl03.pod,0,1,1,
prop_wm_controller_lvl03_LOD00.dat,0,1,1,
prop_wm_controller_lvl03_dif_LOD00.apvr,0,0,1,
prop_wm_controller_lvl03_dif_LOD00.epvr,0,0,1,
prop_wm_controller_lvl03_dif_LOD00.pvr,0,0,1,
prop_wm_controller_lvl04.pod,0,1,1,
prop_wm_controller_lvl04_LOD00.dat,0,1,1,
prop_wm_controller_lvl04_dif_LOD00.apvr,0,0,1,
prop_wm_controller_lvl04_dif_LOD00.epvr,0,0,1,
prop_wm_controller_lvl04_dif_LOD00.pvr,0,0,1,
prop_wm_controller_lvl05.pod,0,1,1,
prop_wm_fighter_LOD00.pod,0,1,1,
prop_wm_fighter_lvl01.pod,0,1,1,
prop_wm_fighter_lvl01_LOD00.dat,0,1,1,
prop_wm_fighter_lvl01_dif_LOD00.apvr,0,0,1,
prop_wm_fighter_lvl01_dif_LOD00.epvr,0,0,1,
prop_wm_fighter_lvl01_dif_LOD00.pvr,0,0,1,
prop_wm_fighter_lvl01_mat_LOD00.apvr,0,0,1,
prop_wm_fighter_lvl01_mat_LOD00.epvr,0,0,1,
