key,value,localizedValue,h
String,String,LocalizedString,String
defaultBaseColonyIdentifier,level03,,
worldMapColonyIdentifier,level09,,
paddingForBuildPreviewCamera,1,,
bottomPaddingForBuildPreviewCamera,6,,
startupScrollZoom,0.5,,
startupScrollPositionX,5,,
startupScrollPositionY,5,,
numLanes,5,,
rateOfScale,24,,
minScale,4,,
maxScale,16,,
scaleOfBuildings,1.1,,
scaleOfBuildingExplosion,1.3,,
gridPointsToShowAttackRewardBehindBy,6,,
fogRangeMultiplier,1,,
buildingAnimateChance,100,,
numFlamethrowerTaps,4,,
durationOfToolTip,3,,
populateDefaultUsernameFromDevice,1,,
maxReplaysToShow,9,,
waterAnimationSpeedX,0,,
waterAnimationSpeedY,0,,
cameraFOV,58,,
maxStoredBuildings,10,,
lightningGroupDistance,200,,
firstIncubatorFreeEggIdentifiers,common|freeEgg,,
nearestTouchMinDistance,100,,
minimumTimeBetweenTaps,0.7,,
numberOfSlowTaps,4,,
numberOfTapsSwitchingBuildings,4,,
minimumTimeWithoutSwitchingBuildings,0.6,,
birdIslandProbability,0.67,,
birdFlockProbability,0.7,,
battleHistorySaveTime,86400,,
battleHistoryComponentRewardMultiplierTime,86400,,
componentPurchaseTicketCost,100,,
scaleOfDragonsInBuildMode,4,,
whaleMinSpawnTime,0.5,,
whaleMaxSpawnTime,5,,
whaleSpawnProbability,0.75,,
ambientSoundBuildModeInnerRadius,150,,
ambientSoundBuildModeOuterRadius,900,,
ambientSoundBattleModeInnerRadius,600,,
ambientSoundBattleModeOuterRadius,900,,
radialDistanceForBirdSoundInner,300,,
radialDistanceForBirdSoundOuter,500,,
radialDistanceForWaveSoundInner,300,,
radialDistanceForWaveSoundOuter,500,,
tapWhaleSpawnProbability,0.5,,
lowBatteryThreshold,0.05,,
shadowIntensity,0.2,,
shadowZThreshold,0.002,,
trapDoorEndpoint,/ext/dragonsong/trapdoor,,
eventDefaultEndpoint,/dragons/event/current,,
eventWebViewTitle,,Conquer the World,
eventDefaultHUDIcon,img_gauntletsHUD.png,,
dungeonDefaultEndpoint,/dragons/event/current,,
dungeonDefaultHUDIcon,img_dungeonHUD.png,,
buildingSelectedEffectIntensity,1.5,,
buildingSelectedEffectMinOpacity,0.1,,
buildingSelectedEffectMaxOpacity,0.8,,
buildingSelectedEffectTransitionTime,0.7,,
fadeTimesLOB,1.5|1.5|2.5|4.5|2.0|2.0|2.5|3.0|1.5|1.5|0,,
fadeTimesLOBBlendFactor,0.75,,
quickResumeBannerButton,255~163~73,,
quickResumeBannerOverlay,255~166~85,,
battleInviteBannerWorldmapAllyAttackButton,21~64~155,,
battleInviteBannerWorldmapAllyAttackOverlay,98~148~255,,
battleInviteBannerWorldmapAllyDefendButton,40~200~225,,
battleInviteBannerWorldmapAllyDefendOverlay,173~232~240,,
battleInviteBannerNormalColorButton,0~185~0,,
battleInviteBannerNormalColorOverlay,170~255~170,,
battleInviteBannerSelfColorButton,243~45~59,,
battleInviteBannerSelfColorOverlay,255~145~115,,
battleInviteBannerWarColorButton,243~45~59,,
battleInviteBannerWarColorOverlay,255~145~115,,
battleInviteBannerEventColorButton,251~227~117,,
battleInviteBannerEventColorOverlay,251~227~117,,!@#pmejjagnlplmpeen
