identifier,level,upgradeCost,upgradeTimeInSeconds,achievementRequirements,HP,fullHealDuration,attackType,abilities,attackPower,battleUseCost,forwardSpeed,spellRageIdentifier,requiredStableLevel,upgradeXP,xpRewardMultiplier,upgradeReward,powerLevel,nextEvolveLevel,tierNumber,rarity,h
String,Integer,String,Integer,Array<String>,Float,Integer,String,String,Float,Map<String:Integer>,Float,String,Integer,Integer,Float,String,Integer,Integer,Integer,Integer,String
augustPlatinumDragon_1,1,food:8813,1,,86236,5255,lockon:T3C3SUdragon_lockon,invertSpell:invert1|risingPhoenix:risingPhoenix1,5784,food:80,4.2,rage3,5,16048,1,experience:0,2968,6,3,4,
augustPlatinumDragon_2,2,food:13431,1,,99750,6730,lockon:T3C3SUdragon_lockon,invertSpell:invert1|risingPhoenix:risingPhoenix1,6764,food:97,4.2,rage3,5,25425,1,experience:0,3999,6,3,4,
augustPlatinumDragon_3,3,food:23746,1,,131111,10086,lockon:T3C3SUdragon_lockon,invertSpell:invert1|risingPhoenix:risingPhoenix1,8825,food:122,4.2,rage3,6,53478,1,experience:0,8918,6,3,4,
augustPlatinumDragon_4,4,food:59652,1,,170458,14786,lockon:T3C3SUdragon_lockon,invertSpell:invert1|risingPhoenix:risingPhoenix1,11304,food:150,4.2,rage3,7,104142,1,experience:0,14855,6,3,4,
augustPlatinumDragon_5,5,food:88334,1,,229345,15840,lockon:T3C3SUdragon_lockon,invertSpell:invert1|risingPhoenix:risingPhoenix1,13328,food:190,4.2,rage3,8,125000,1,experience:0,23590,6,3,4,
augustPlatinumDragon_6,6,augustOrangeStone:1,1,haveOrangeEpic,294956,17280,lockon:T4C3SUdragon_lockon,invertSpell:invert1|risingPhoenix:risingPhoenix1|lightningResist01:lightningResist01,17073,food:276,4.2,rage3,10,175313,1,experience:0,32890,11,4,5,
augustPlatinumDragon_7,7,food:82368,1,,335392,17280,lockon:T4C3SUdragon_lockon,invertSpell:invert1|risingPhoenix:risingPhoenix1|lightningResist01:lightningResist01,19469,food:312,4.2,rage3,11,209256,1,experience:0,42619,11,4,5,
augustPlatinumDragon_8,8,food:128337,1,,407705,17280,lockon:T4C3SUdragon_lockon,invertSpell:invert1|risingPhoenix:risingPhoenix1|lightningResist01:lightningResist01,23665,food:366,4.2,rage3,13,337723,1,experience:0,62985,11,4,5,
augustPlatinumDragon_9,9,food:147271,1,,495035,17280,lockon:T4C3SUdragon_lockon,invertSpell:invert1|risingPhoenix:risingPhoenix1|lightningResist01:lightningResist01,28210,food:420,4.2,rage3,14,501367,1,experience:0,91190,11,4,5,
augustPlatinumDragon_10,10,food:203285,1,,632046,17280,lockon:T4C3SUdragon_lockon,invertSpell:invert1|risingPhoenix:risingPhoenix1|lightningResist01:lightningResist01,32033,food:474,4.2,rage3,16,607915,1,experience:0,132194,11,4,5,
augustPlatinumDragon_11,11,augustGreenStone:1,1,haveGreenLegendary,727580,17280,lockon:T5C3SDdragon_lockon,invertSpell:invert1|risingPhoenix:risingPhoenix1|lightningResist01:lightningResist01|sacrifice:sacrifice1,37112,food:528,4.2,rage3,17,736386,1,experience:0,176280,16,5,5,
augustPlatinumDragon_12,12,food:241883,1,,829843,17280,lockon:T5C3SDdragon_lockon,invertSpell:invert1|risingPhoenix:risingPhoenix1|lightningResist01:lightningResist01|sacrifice:sacrifice1,41935,food:564,4.2,rage3,18,834699,1,experience:0,227211,16,5,5,
