identifier,level,upgradeCost,upgradeTimeInSeconds,achievementRequirements,HP,fullHealDuration,attackType,abilities,attackPower,battleUseCost,forwardSpeed,spellRageIdentifier,requiredStableLevel,upgradeXP,xpRewardMultiplier,upgradeReward,powerLevel,h
String,Integer,String,Integer,Array<String>,Float,Integer,String,String,Float,Map<String:Integer>,Float,String,Integer,Integer,Float,String,Integer,String
chineseDragon02_1,1,food:0,1,,27769,90,lockon:chineseDragon02_lockon,aoeSpell:aoe2|freezeSpell:freeze3|chainLightning:chainLightning3|ballistaResist01:ballistaResist01,2735,food:0,4.2,rage4,30,5984,0,experience:0,281,
chineseDragon02_2,2,food:5607,1,,40597,90,lockon:chineseDragon02_lockon,aoeSpell:aoe2|freezeSpell:freeze3|chainLightning:chainLightning3|ballistaResist01:ballistaResist01,3272,food:0,4.2,rage4,30,11787,0,experience:0,500,
chineseDragon02_3,3,food:8823,1,,48810,90,lockon:chineseDragon02_lockon,aoeSpell:aoe2|freezeSpell:freeze3|chainLightning:chainLightning3|ballistaResist01:ballistaResist01,3995,food:0,4.2,rage4,30,21337,0,experience:0,740,
chineseDragon02_4,4,food:15830,1,,63490,90,lockon:chineseDragon02_lockon,aoeSpell:aoe2|freezeSpell:freeze3|chainLightning:chainLightning3|ballistaResist01:ballistaResist01,5089,food:0,4.2,rage4,30,36130,0,experience:0,1224,
chineseDragon02_5,5,food:27105,1,,89507,90,lockon:chineseDragon02_lockon,aoeSpell:aoe2|freezeSpell:freeze3|chainLightning:chainLightning3|ballistaResist01:ballistaResist01,6036,food:0,4.2,rage4,30,59120,0,experience:0,2727,
chineseDragon02_6,6,food:42182,1,,100981,90,lockon:chineseDragon02_lockon,aoeSpell:aoe2|freezeSpell:freeze3|chainLightning:chainLightning3|ballistaResist01:ballistaResist01,6947,food:0,4.2,rage4,30,93366,0,experience:0,3510,
chineseDragon02_7,7,food:63068,1,,123836,90,lockon:chineseDragon02_lockon,aoeSpell:aoe2|freezeSpell:freeze3|chainLightning:chainLightning3|ballistaResist01:ballistaResist01,8390,food:0,4.2,rage4,30,132389,0,experience:0,5214,
chineseDragon02_8,8,food:88546,1,,151589,90,lockon:chineseDragon02_lockon,aoeSpell:aoe2|freezeSpell:freeze3|chainLightning:chainLightning3|ballistaResist01:ballistaResist01,10270,food:0,4.2,rage4,30,187407,0,experience:0,7812,
chineseDragon02_9,9,food:125770,1,,185281,90,lockon:chineseDragon02_lockon,aoeSpell:aoe2|freezeSpell:freeze3|chainLightning:chainLightning3|ballistaResist01:ballistaResist01,12287,food:0,4.2,rage4,30,264881,0,experience:0,14855,
chineseDragon02_10,10,food:161568,1,,239828,90,lockon:chineseDragon02_lockon,aoeSpell:aoe2|freezeSpell:freeze3|chainLightning:chainLightning3|ballistaResist01:ballistaResist01,13893,food:0,4.2,rage4,30,373840,0,experience:0,21731,
