identifier,level,upgradeCost,upgradeTimeInSeconds,achievementRequirements,HP,fullHealDuration,attackType,abilities,attackPower,battleUseCost,forwardSpeed,spellRageIdentifier,requiredStableLevel,upgradeXP,xpRewardMultiplier,upgradeReward,powerLevel,nextEvolveLevel,tierNumber,rarity,sceneFile,discoveredImage,iconFilename,h
String,Integer,String,Integer,Array<String>,Float,Integer,String,String,Float,Map<String:Integer>,Float,String,Integer,Integer,Float,String,Integer,Integer,Integer,Integer,String,String,String,String
earthEvolvingWarrior_1,1,food:0,1,,239775,16130,flamethrower:earthEvolvingWarrior_flamethrower,chargedShield:shieldBlast1|heatedPiercingBreath:heatedPiercingBreath1,2927,food:180,4.2,rage2,8,48231,1,experience:0,14855,7,4,5,drg_ochreWarrior_v1.lvl,dragon_ochreWarrior_v1_discovered_thumbnail.png,dragonThumbnail_ochreWarrior_v1_discovered.png,
earthEvolvingWarrior_2,2,food:50688,1,,310366,17280,flamethrower:earthEvolvingWarrior_flamethrower,chargedShield:shieldBlast1|heatedPiercingBreath:heatedPiercingBreath1,3310,food:216,4.2,rage2,9,68106,1,experience:0,21731,7,4,5,drg_ochreWarrior_v1.lvl,dragon_ochreWarrior_v1_discovered_thumbnail.png,dragonThumbnail_ochreWarrior_v1_discovered.png,
earthEvolvingWarrior_3,3,food:60192,1,,356614,17280,flamethrower:earthEvolvingWarrior_flamethrower,chargedShield:shieldBlast1|heatedPiercingBreath:heatedPiercingBreath1,3831,food:258,4.2,rage2,10,109112,1,experience:0,28958,7,4,5,drg_ochreWarrior_v1.lvl,dragon_ochreWarrior_v1_discovered_thumbnail.png,dragonThumbnail_ochreWarrior_v1_discovered.png,
earthEvolvingWarrior_4,4,food:72864,1,,408492,17280,flamethrower:earthEvolvingWarrior_flamethrower,chargedShield:shieldBlast1|heatedPiercingBreath:heatedPiercingBreath1,4341,food:294,4.2,rage2,11,157414,1,experience:0,37577,7,4,5,drg_ochreWarrior_v1.lvl,dragon_ochreWarrior_v1_discovered_thumbnail.png,dragonThumbnail_ochreWarrior_v1_discovered.png,
earthEvolvingWarrior_5,5,food:82368,1,,464356,17280,flamethrower:earthEvolvingWarrior_flamethrower,chargedShield:shieldBlast1|heatedPiercingBreath:heatedPiercingBreath1,4948,food:330,4.2,rage2,12,202488,1,experience:0,48667,7,4,5,drg_ochreWarrior_v1.lvl,dragon_ochreWarrior_v1_discovered_thumbnail.png,dragonThumbnail_ochreWarrior_v1_discovered.png,
earthEvolvingWarrior_6,6,food:91872,1,,527618,17280,flamethrower:earthEvolvingWarrior_flamethrower,chargedShield:shieldBlast1|heatedPiercingBreath:heatedPiercingBreath1,5638,food:366,4.2,rage2,13,254271,1,experience:0,62985,7,4,5,drg_ochreWarrior_v1.lvl,dragon_ochreWarrior_v1_discovered_thumbnail.png,dragonThumbnail_ochreWarrior_v1_discovered.png,
earthEvolvingWarrior_7,7,earthEvolvingWarriorGreenStone:1,1,have2GreenEpic,603216,17280,flamethrower:earthEvolvingWarrior_flamethrower,chargedShield:shieldBlast1|heatedPiercingBreath:heatedPiercingBreath1,6371,food:402,4.2,rage2,14,288732,1,experience:0,81371,13,5,5,drg_ochreWarrior_v2.lvl,dragon_ochreWarrior_v2_discovered_thumbnail.png,dragonThumbnail_ochreWarrior_v2_discovered.png,
earthEvolvingWarrior_8,8,food:110880,1,,760848,17280,flamethrower:earthEvolvingWarrior_flamethrower,chargedShield:shieldBlast1|heatedPiercingBreath:heatedPiercingBreath1,7043,food:438,4.2,rage2,15,329839,1,experience:0,113471,13,5,5,drg_ochreWarrior_v2.lvl,dragon_ochreWarrior_v2_discovered_thumbnail.png,dragonThumbnail_ochreWarrior_v2_discovered.png,
earthEvolvingWarrior_9,9,food:120384,1,,817942,17280,flamethrower:earthEvolvingWarrior_flamethrower,chargedShield:shieldBlast1|heatedPiercingBreath:heatedPiercingBreath1,7632,food:474,4.2,rage2,16,374215,1,experience:0,132194,13,5,5,drg_ochreWarrior_v2.lvl,dragon_ochreWarrior_v2_discovered_thumbnail.png,dragonThumbnail_ochreWarrior_v2_discovered.png,
