identifier,level,upgradeCost,upgradeTimeInSeconds,achievementRequirements,HP,fullHealDuration,attackType,abilities,attackPower,battleUseCost,forwardSpeed,spellRageIdentifier,requiredStableLevel,upgradeXP,xpRewardMultiplier,upgradeReward,powerLevel,nextEvolveLevel,tierNumber,rarity,h
String,Integer,String,Integer,Array<String>,Float,Integer,String,String,Float,Map<String:Integer>,Float,String,Integer,Integer,Float,String,Integer,Integer,Integer,Integer,String
ebonSapphireDragon_1,1,food:16979,1,,107072,7442,lockon:Blackblood_lockon,freezeSpell:freeze1|fluxSpell:flux1,7205,food:103,4.2,rage3,6,23263,1,experience:0,3432,6,4,4,
ebonSapphireDragon_2,2,food:24970,1,,139462,11120,lockon:Blackblood_lockon,freezeSpell:freeze1|fluxSpell:flux1,9449,food:128,4.2,rage3,7,45333,1,experience:0,7812,6,4,4,
ebonSapphireDragon_3,3,food:44168,1,,206230,15840,lockon:Blackblood_lockon,freezeSpell:freeze1|fluxSpell:flux1,11836,food:160,4.2,rage3,8,95783,1,experience:0,18824,6,4,4,
ebonSapphireDragon_4,4,food:79536,1,,238546,15840,lockon:Blackblood_lockon,freezeSpell:freeze1|fluxSpell:flux1,13989,food:200,4.2,rage3,9,184501,1,experience:0,25740,6,4,4,
ebonSapphireDragon_5,5,food:95000,1,,308561,15840,lockon:Blackblood_lockon,freezeSpell:freeze1|fluxSpell:flux1,17911,food:260,4.2,rage3,11,224000,1,experience:0,42619,6,4,4,
ebonSapphireDragon_6,6,branch3GreenStone:1,1,have2GreenEpic,358821,17280,lockon:Blackblood_lockon,freezeSpell:freeze1|fluxSpell:flux1|nocturnalFissure:nocturnalFissure1,20769,food:330,4.2,rage3,12,223834,1,experience:0,48667,11,5,5,
ebonSapphireDragon_7,7,food:110376,1,,435976,17280,lockon:Blackblood_lockon,freezeSpell:freeze1|fluxSpell:flux1|nocturnalFissure:nocturnalFissure1,25236,food:384,4.2,rage3,13,271862,1,experience:0,71859,11,5,5,
ebonSapphireDragon_8,8,food:115632,1,,587928,17280,lockon:Blackblood_lockon,freezeSpell:freeze1|fluxSpell:flux1|nocturnalFissure:nocturnalFissure1,29561,food:438,4.2,rage3,15,329844,1,experience:0,113471,11,5,5,
ebonSapphireDragon_9,9,food:140000,1,,657997,17280,lockon:Blackblood_lockon,freezeSpell:freeze1|fluxSpell:flux1|nocturnalFissure:nocturnalFissure1|archerResist01:archerResist01,33442,food:492,4.2,rage3,16,530981,1,experience:0,143712,11,5,5,
ebonSapphireDragon_10,10,food:150000,1,,777088,17280,lockon:Blackblood_lockon,freezeSpell:freeze1|fluxSpell:flux1|nocturnalFissure:nocturnalFissure1|archerResist01:archerResist01,39360,food:546,4.2,rage3,18,786440,1,experience:0,199757,11,5,5,
ebonSapphireDragon_11,11,branch3GoldStone:1,1,haveGoldLegendary,940396,17280,lockon:Blackblood_lockon,freezeSpell:freeze1|fluxSpell:flux1|nocturnalFissure:nocturnalFissure1|archerResist01:archerResist01,47633,food:600,4.2,rage3,18,825000,1,experience:0,292531,16,6,5,
ebonSapphireDragon_12,12,food:182160,1,,1287497,17280,lockon:Blackblood_lockon,freezeSpell:freeze1|fluxSpell:flux1|nocturnalFissure:nocturnalFissure1|archerResist01:archerResist01,65104,food:690,4.2,rage3,18,950000,1,experience:0,547349,16,6,5,
ebonSapphireDragon_13,13,food:210000,1,,1607623,17280,lockon:Blackblood_lockon,freezeSpell:freeze1|fluxSpell:flux1|nocturnalFissure:nocturnalFissure1|archerResist01:archerResist01,81022,food:780,4.2,rage3,18,1204834,1,experience:0,850504,16,6,5,
ebonSapphireDragon_14,14,food:240000,1,,1818811,17280,lockon:Blackblood_lockon,freezeSpell:freeze1|fluxSpell:flux1|nocturnalFissure:nocturnalFissure1|archerResist01:archerResist01,91838,food:870,4.2,rage3,18,1666559,1,experience:0,1090674,16,6,5,
ebonSapphireDragon_15,15,food:300000,1,,2057752,17280,lockon:Blackblood_lockon,freezeSpell:freeze1|fluxSpell:flux1|nocturnalFissure:nocturnalFissure1|archerResist01:archerResist01,103906,food:960,4.2,rage3,18,2225000,1,experience:0,1396122,16,6,5,
ebonSapphireDragon_16,16,branch3PlatinumStone:1,1,havePlatinumLegendary,2215924,17280,lockon:Blackblood_lockon,freezeSpell:freeze1|fluxSpell:flux1|nocturnalFissure:nocturnalFissure1|archerResist01:archerResist01,111895,food:1014,4.2,rage3,23,1249940,1,experience:0,1619027,21,7,5,
ebonSapphireDragon_17,17,food:420000,1,,2445900,17280,lockon:Blackblood_lockon,freezeSpell:freeze1|fluxSpell:flux1|nocturnalFissure:nocturnalFissure1|archerResist01:archerResist01,123510,food:1086,4.2,rage3,24,1832505,1,experience:0,1972653,21,7,5,
ebonSapphireDragon_18,18,food:440000,1,,2633944,17280,lockon:Blackblood_lockon,freezeSpell:freeze1|fluxSpell:flux1|nocturnalFissure:nocturnalFissure1|archerResist01:archerResist01,133007,food:1140,4.2,rage3,25,2413642,1,experience:0,2287584,21,7,5,
ebonSapphireDragon_19,19,food:470000,1,,2907334,17280,lockon:Blackblood_lockon,freezeSpell:freeze1|fluxSpell:flux1|nocturnalFissure:nocturnalFissure1|archerResist01:archerResist01,146814,food:1212,4.2,rage3,26,2700000,1,experience:0,2787130,21,7,5,
ebonSapphireDragon_20,20,food:500000,1,,3209071,17280,lockon:Blackblood_lockon,freezeSpell:freeze1|fluxSpell:flux1|nocturnalFissure:nocturnalFissure1|archerResist01:archerResist01,158038,food:1284,4.2,rage3,26,2950000,1,experience:0,3311685,21,7,5,
ebonSapphireDragon_21,21,branch3SapphireStone:1,1,haveLegendarySapphire,3721450,17280,lockon:Blackblood_lockon,freezeSpell:freeze1|fluxSpell:flux1|nocturnalFissure:nocturnalFissure1|archerResist01:archerResist01,183275,food:1392,4.2,rage3,27,3200000,1,experience:0,4453628,0,8,5,
ebonSapphireDragon_22,22,food:560000,1,,3814476,17280,lockon:Blackblood_lockon,freezeSpell:freeze1|fluxSpell:flux1|nocturnalFissure:nocturnalFissure1|archerResist01:archerResist01,187857,food:1410,4.2,rage3,28,3495641,1,experience:0,4679076,0,8,5,
ebonSapphireDragon_23,23,food:590000,1,,3909825,17280,lockon:Blackblood_lockon,freezeSpell:freeze1|fluxSpell:flux1|nocturnalFissure:nocturnalFissure1|archerResist01:archerResist01,192553,food:1428,4.2,rage3,28,4083036,1,experience:0,4916054,0,8,5,
ebonSapphireDragon_24,24,food:620000,1,,4007557,17280,lockon:Blackblood_lockon,freezeSpell:freeze1|fluxSpell:flux1|nocturnalFissure:nocturnalFissure1|archerResist01:archerResist01,197367,food:1446,4.2,rage3,29,3672602,1,experience:0,5164786,0,8,5,
