identifier,level,upgradeCost,upgradeTimeInSeconds,achievementRequirements,HP,fullHealDuration,attackType,abilities,attackPower,battleUseCost,forwardSpeed,spellRageIdentifier,requiredStableLevel,upgradeXP,xpRewardMultiplier,upgradeReward,powerLevel,nextEvolveLevel,tierNumber,rarity,h
String,Integer,String,Integer,Array<String>,Float,Integer,String,String,Float,Map<String:Integer>,Float,String,Integer,Integer,Float,String,Integer,Integer,Integer,Integer,String
fallEventDragon_1,1,food:0,1,,30656,677,lockon:fallEventDragon_lockon,risingPhoenix:reanimate1,3019,food:30,4.2,rage3,2,913,1,experience:0,226,5,1,5,
fallEventDragon_2,2,food:1813,1,,42756,1597,lockon:fallEventDragon_lockon,risingPhoenix:reanimate1,3758,food:38,4.2,rage3,2,4917,1,experience:0,1436,5,1,5,
fallEventDragon_3,3,food:3626,1,,54856,2517,lockon:fallEventDragon_lockon,risingPhoenix:reanimate1,4498,food:46,4.2,rage3,2,8921,1,experience:0,2647,5,1,5,
fallEventDragon_4,4,food:5439,1,,66954,3437,lockon:fallEventDragon_lockon,risingPhoenix:reanimate1,5237,food:54,4.2,rage3,3,12925,1,experience:0,3858,5,1,5,
fallEventDragon_5,5,fallEventPurpleStone:1,1,have1PurpleDragon,79054,4357,lockon:fallEventDragon_lockon,risingPhoenix:reanimate1|desiccatingSand:desiccatingSand1,5976,food:62,4.2,rage3,3,16929,1,experience:0,5069,10,2,5,
fallEventDragon_6,6,food:10878,1,,91153,5277,lockon:fallEventDragon_lockon,risingPhoenix:reanimate1|desiccatingSand:desiccatingSand1,6715,food:70,4.2,rage3,3,20933,1,experience:0,6280,10,2,5,
fallEventDragon_7,7,food:12691,1,,103253,6197,lockon:fallEventDragon_lockon,risingPhoenix:reanimate1|desiccatingSand:desiccatingSand1,7454,food:78,4.2,rage3,4,24937,1,experience:0,7490,10,2,5,
fallEventDragon_8,8,food:14504,1,,115352,7117,lockon:fallEventDragon_lockon,risingPhoenix:reanimate1|desiccatingSand:desiccatingSand1,8194,food:86,4.2,rage3,4,28941,1,experience:0,8701,10,2,5,
fallEventDragon_9,9,food:16317,1,,127451,8037,lockon:fallEventDragon_lockon,risingPhoenix:reanimate1|desiccatingSand:desiccatingSand1,8933,food:94,4.2,rage3,4,32945,1,experience:0,9912,10,2,5,
fallEventDragon_10,10,fallEventBlueStone:1,1,have1BlueDragon,139550,8957,lockon:fallEventDragon_lockon,risingPhoenix:reanimate1|desiccatingSand:desiccatingSand1,9672,food:102,4.2,rage3,5,36949,1,experience:0,11123,15,3,5,
fallEventDragon_11,11,food:21756,1,,151650,9877,lockon:fallEventDragon_lockon,risingPhoenix:reanimate1|desiccatingSand:desiccatingSand1,10411,food:110,4.2,rage3,5,40953,1,experience:0,12334,15,3,5,
fallEventDragon_12,12,food:25382,1,,163750,10797,lockon:fallEventDragon_lockon,risingPhoenix:reanimate1|desiccatingSand:desiccatingSand1,11150,food:118,4.2,rage3,6,44957,1,experience:0,13544,15,3,5,
fallEventDragon_13,13,food:29008,1,,175849,11717,lockon:fallEventDragon_lockon,risingPhoenix:reanimate1|desiccatingSand:desiccatingSand1,11890,food:126,4.2,rage3,6,48961,1,experience:0,14755,15,3,5,
fallEventDragon_14,14,food:32634,1,,187948,12637,lockon:fallEventDragon_lockon,risingPhoenix:reanimate1|desiccatingSand:desiccatingSand1,12629,food:134,4.2,rage3,7,52965,1,experience:0,15966,15,3,5,
fallEventDragon_15,15,fallEventOrangeStone:1,1,haveOrangeEpic,200047,13562,lockon:fallEventDragon_lockon,risingPhoenix:reanimate1|desiccatingSand:desiccatingSand1,13368,food:140,4.2,rage3,7,56974,1,experience:0,17183,21,4,5,
fallEventDragon_16,16,food:39168,1,,257375,15840,lockon:fallEventDragon_lockon,risingPhoenix:reanimate1|desiccatingSand:desiccatingSand1,14771,food:160,4.2,rage3,8,95783,1,experience:0,24432,21,4,5,
fallEventDragon_17,17,food:58526,1,,275362,15840,lockon:fallEventDragon_lockon,risingPhoenix:reanimate1|desiccatingSand:desiccatingSand1,15952,food:180,4.2,rage3,9,120232,1,experience:0,28205,21,4,5,
fallEventDragon_18,18,food:79536,1,,297706,15840,lockon:fallEventDragon_lockon,risingPhoenix:reanimate1|desiccatingSand:desiccatingSand1,17459,food:200,4.2,rage3,9,184501,1,experience:0,33408,21,4,5,
fallEventDragon_19,19,food:106930,1,,338657,15840,lockon:fallEventDragon_lockon,risingPhoenix:reanimate1|desiccatingSand:desiccatingSand1,19602,food:230,4.2,rage3,10,215866,1,experience:0,42689,21,4,5,
fallEventDragon_20,20,food:112811,1,,385084,15840,lockon:fallEventDragon_lockon,risingPhoenix:reanimate1|desiccatingSand:desiccatingSand1,22352,food:260,4.2,rage3,11,252563,1,experience:0,55316,21,4,5,
fallEventDragon_21,21,fallEventGreenStone:1,1,have2GreenEpic,544098,17280,lockon:fallEventDragon_lockon,risingPhoenix:reanimate1|desiccatingSand:desiccatingSand1|frozenTomb:tectonicTomb1,31494,food:384,4.2,rage3,13,271862,1,experience:0,93268,27,5,5,
fallEventDragon_22,22,food:125562,1,,617803,17280,lockon:fallEventDragon_lockon,risingPhoenix:reanimate1|desiccatingSand:desiccatingSand1|frozenTomb:tectonicTomb1,35206,food:420,4.2,rage3,14,308628,1,experience:0,118357,27,5,5,
fallEventDragon_23,23,food:132468,1,,762953,17280,lockon:fallEventDragon_lockon,risingPhoenix:reanimate1|desiccatingSand:desiccatingSand1|frozenTomb:tectonicTomb1,38470,food:456,4.2,rage3,15,465181,1,experience:0,159685,27,5,5,
fallEventDragon_24,24,food:139753,1,,821180,17280,lockon:fallEventDragon_lockon,risingPhoenix:reanimate1|desiccatingSand:desiccatingSand1|frozenTomb:tectonicTomb1,41736,food:492,4.2,rage3,16,530981,1,experience:0,186527,27,5,5,
