identifier,level,upgradeCost,upgradeTimeInSeconds,achievementRequirements,HP,fullHealDuration,attackType,abilities,attackPower,battleUseCost,forwardSpeed,spellRageIdentifier,requiredStableLevel,upgradeXP,xpRewardMultiplier,upgradeReward,powerLevel,nextEvolveLevel,tierNumber,rarity,h
String,Integer,String,Integer,Array<String>,Float,Integer,String,String,Float,Map<String:Integer>,Float,String,Integer,Integer,Float,String,Integer,Integer,Integer,Integer,String
fallHunterDragon_1,1,food:34272,1,,156900,13562,fireball:fallHunterDragon_fireball,stealEssence:extractEssence1|stoneskin:stoneform1,11796,food:140,4.2,rage1,7,56974,1,experience:0,14319,7,4,5,
fallHunterDragon_2,2,food:39168,1,,201863,15840,fireball:fallHunterDragon_fireball,stealEssence:extractEssence1|stoneskin:stoneform1,13033,food:160,4.2,rage1,8,95783,1,experience:0,20360,7,4,5,
fallHunterDragon_3,3,food:58526,1,,215970,15840,fireball:fallHunterDragon_fireball,stealEssence:extractEssence1|stoneskin:stoneform1,14075,food:180,4.2,rage1,9,120232,1,experience:0,23504,7,4,5,
fallHunterDragon_4,4,food:79536,1,,233495,15840,fireball:fallHunterDragon_fireball,stealEssence:extractEssence1|stoneskin:stoneform1,15404,food:200,4.2,rage1,9,184501,1,experience:0,27840,7,4,5,
fallHunterDragon_5,5,food:106930,1,,265613,15840,fireball:fallHunterDragon_fireball,stealEssence:extractEssence1|stoneskin:stoneform1,17296,food:230,4.2,rage1,10,215866,1,experience:0,35574,7,4,5,
fallHunterDragon_6,6,food:112811,1,,302026,15840,fireball:fallHunterDragon_fireball,stealEssence:extractEssence1|stoneskin:stoneform1,19724,food:260,4.2,rage1,11,252563,1,experience:0,46097,7,4,5,
fallHunterDragon_7,7,fallHunterGreenStone:1,1,have2GreenEpic,426743,17280,fireball:fallHunterDragon_fireball,stealEssence:extractEssence1|stoneskin:stoneform1|sacrifice:sacrifice1,27789,food:384,4.2,rage1,13,271862,1,experience:0,77723,13,5,5,
fallHunterDragon_8,8,food:125562,1,,484553,17280,fireball:fallHunterDragon_fireball,stealEssence:extractEssence1|stoneskin:stoneform1|sacrifice:sacrifice1,31064,food:420,4.2,rage1,14,308628,1,experience:0,98631,13,5,5,
fallHunterDragon_9,9,food:132468,1,,598394,17280,fireball:fallHunterDragon_fireball,stealEssence:extractEssence1|stoneskin:stoneform1|sacrifice:sacrifice1,33944,food:456,4.2,rage1,15,465181,1,experience:0,133071,13,5,5,
