identifier,level,upgradeCost,upgradeTimeInSeconds,achievementRequirements,HP,fullHealDuration,attackType,abilities,attackPower,battleUseCost,forwardSpeed,spellRageIdentifier,requiredStableLevel,upgradeXP,xpRewardMultiplier,upgradeReward,powerLevel,nextEvolveLevel,tierNumber,rarity,sceneFile,discoveredImage,iconFilename,h
String,Integer,String,Integer,Array<String>,Float,Integer,String,String,Float,Map<String:Integer>,Float,String,Integer,Integer,Float,String,Integer,Integer,Integer,Integer,String,String,String,String
fallMythicDragon_1,1,food:34272,1,,215737,13562,flamethrower:fallMythicDragon_flamethrower,frostbite:feralRage1|berserk:fullMoon1,2654,food:140,4.2,rage4,7,56974,1,experience:0,14891,7,4,6,drg_werewolf_v1.lvl,dragon_werwewolf_v1_discovered_thumbnail.png,dragonThumbnail_werewolf_v1_discovered.png,
fallMythicDragon_2,2,food:39168,1,,277561,15840,flamethrower:fallMythicDragon_flamethrower,frostbite:feralRage1|berserk:fullMoon1,2933,food:160,4.2,rage4,8,95783,1,experience:0,21174,7,4,6,drg_werewolf_v1.lvl,dragon_werwewolf_v1_discovered_thumbnail.png,dragonThumbnail_werewolf_v1_discovered.png,
fallMythicDragon_3,3,food:58526,1,,296957,15840,flamethrower:fallMythicDragon_flamethrower,frostbite:feralRage1|berserk:fullMoon1,3168,food:180,4.2,rage4,9,120232,1,experience:0,24444,7,4,6,drg_werewolf_v1.lvl,dragon_werwewolf_v1_discovered_thumbnail.png,dragonThumbnail_werewolf_v1_discovered.png,
fallMythicDragon_4,4,food:79536,1,,321054,15840,flamethrower:fallMythicDragon_flamethrower,frostbite:feralRage1|berserk:fullMoon1,3466,food:200,4.2,rage4,9,184501,1,experience:0,28953,7,4,6,drg_werewolf_v1.lvl,dragon_werwewolf_v1_discovered_thumbnail.png,dragonThumbnail_werewolf_v1_discovered.png,
fallMythicDragon_5,5,food:106930,1,,365218,15840,flamethrower:fallMythicDragon_flamethrower,frostbite:feralRage1|berserk:fullMoon1,3892,food:230,4.2,rage4,10,215866,1,experience:0,36996,7,4,6,drg_werewolf_v1.lvl,dragon_werwewolf_v1_discovered_thumbnail.png,dragonThumbnail_werewolf_v1_discovered.png,
fallMythicDragon_6,6,food:112811,1,,415287,15840,flamethrower:fallMythicDragon_flamethrower,frostbite:feralRage1|berserk:fullMoon1,4439,food:260,4.2,rage4,11,252563,1,experience:0,47940,7,4,6,drg_werewolf_v1.lvl,dragon_werwewolf_v1_discovered_thumbnail.png,dragonThumbnail_werewolf_v1_discovered.png,
fallMythicDragon_7,7,fallMythicGreenStone:1,1,have2GreenEpic,586772,17280,flamethrower:fallMythicDragon_flamethrower,frostbite:feralRage1|berserk:fullMoon1|intimidatingRoar:intimidatingRoar1,6252,food:384,4.2,rage4,13,271862,1,experience:0,80831,13,5,6,drg_werewolf_v2.lvl,dragon_werwewolf_v2_discovered_thumbnail.png,dragonThumbnail_werewolf_v2_discovered.png,
fallMythicDragon_8,8,food:125562,1,,666259,17280,flamethrower:fallMythicDragon_flamethrower,frostbite:feralRage1|berserk:fullMoon1|intimidatingRoar:intimidatingRoar1,6990,food:420,4.2,rage4,14,308628,1,experience:0,102576,13,5,6,drg_werewolf_v2.lvl,dragon_werwewolf_v2_discovered_thumbnail.png,dragonThumbnail_werewolf_v2_discovered.png,
fallMythicDragon_9,9,food:132468,1,,822792,17280,flamethrower:fallMythicDragon_flamethrower,frostbite:feralRage1|berserk:fullMoon1|intimidatingRoar:intimidatingRoar1,7638,food:456,4.2,rage4,15,465181,1,experience:0,138393,13,5,6,drg_werewolf_v2.lvl,dragon_werwewolf_v2_discovered_thumbnail.png,dragonThumbnail_werewolf_v2_discovered.png,
fallMythicDragon_10,10,food:139753,1,,885586,17280,flamethrower:fallMythicDragon_flamethrower,frostbite:feralRage1|berserk:fullMoon1|intimidatingRoar:intimidatingRoar1,8286,food:492,4.2,rage4,16,530981,1,experience:0,161656,13,5,6,drg_werewolf_v2.lvl,dragon_werwewolf_v2_discovered_thumbnail.png,dragonThumbnail_werewolf_v2_discovered.png,
fallMythicDragon_11,11,food:147440,1,,979236,17280,flamethrower:fallMythicDragon_flamethrower,frostbite:feralRage1|berserk:fullMoon1|intimidatingRoar:intimidatingRoar1,9196,food:528,4.2,rage4,17,589581,1,experience:0,198290,13,5,6,drg_werewolf_v2.lvl,dragon_werwewolf_v2_discovered_thumbnail.png,dragonThumbnail_werewolf_v2_discovered.png,
fallMythicDragon_12,12,food:155549,1,,1116872,17280,flamethrower:fallMythicDragon_flamethrower,frostbite:feralRage1|berserk:fullMoon1|intimidatingRoar:intimidatingRoar1,10391,food:564,4.2,rage4,18,648181,1,experience:0,255581,13,5,6,drg_werewolf_v2.lvl,dragon_werwewolf_v2_discovered_thumbnail.png,dragonThumbnail_werewolf_v2_discovered.png,
fallMythicDragon_13,13,fallMythicGoldStone:1,1,haveGoldLegendary,1185463,17280,flamethrower:fallMythicDragon_flamethrower,frostbite:feralRage1|berserk:fullMoon1|intimidatingRoar:intimidatingRoar1|iceTurretResist01:iceTurretResist01,11081,food:582,4.2,rage4,18,706781,1,experience:0,289368,21,6,6,drg_werewolf_v3.lvl,dragon_werwewolf_v3_discovered_thumbnail.png,dragonThumbnail_werewolf_v3_discovered.png,
fallMythicDragon_14,14,food:173130,1,,1433826,17280,flamethrower:fallMythicDragon_flamethrower,frostbite:feralRage1|berserk:fullMoon1|intimidatingRoar:intimidatingRoar1|iceTurretResist01:iceTurretResist01,13402,food:636,4.2,rage4,18,765381,1,experience:0,423308,21,6,6,drg_werewolf_v3.lvl,dragon_werwewolf_v3_discovered_thumbnail.png,dragonThumbnail_werewolf_v3_discovered.png,
fallMythicDragon_15,15,food:182652,1,,1732820,17280,flamethrower:fallMythicDragon_flamethrower,frostbite:feralRage1|berserk:fullMoon1|intimidatingRoar:intimidatingRoar1|iceTurretResist01:iceTurretResist01,16130,food:690,4.2,rage4,18,823981,1,experience:0,615693,21,6,6,drg_werewolf_v3.lvl,dragon_werwewolf_v3_discovered_thumbnail.png,dragonThumbnail_werewolf_v3_discovered.png,
fallMythicDragon_16,16,food:192698,1,,2039350,17280,flamethrower:fallMythicDragon_flamethrower,frostbite:feralRage1|berserk:fullMoon1|intimidatingRoar:intimidatingRoar1|iceTurretResist01:iceTurretResist01,18765,food:744,4.2,rage4,19,882581,1,experience:0,842930,21,6,6,drg_werewolf_v3.lvl,dragon_werwewolf_v3_discovered_thumbnail.png,dragonThumbnail_werewolf_v3_discovered.png,
fallMythicDragon_17,17,food:203296,1,have2LegendaryGold,2217745,17280,flamethrower:fallMythicDragon_flamethrower,frostbite:feralRage1|berserk:fullMoon1|intimidatingRoar:intimidatingRoar1|iceTurretResist01:iceTurretResist01,20615,food:798,4.2,rage4,19,941181,1,experience:0,1007028,21,6,6,drg_werewolf_v3.lvl,dragon_werwewolf_v3_discovered_thumbnail.png,dragonThumbnail_werewolf_v3_discovered.png,
fallMythicDragon_18,18,food:214477,1,,2388213,17280,flamethrower:fallMythicDragon_flamethrower,frostbite:feralRage1|berserk:fullMoon1|intimidatingRoar:intimidatingRoar1|iceTurretResist01:iceTurretResist01,22200,food:852,4.2,rage4,20,999781,1,experience:0,1167758,21,6,6,drg_werewolf_v3.lvl,dragon_werwewolf_v3_discovered_thumbnail.png,dragonThumbnail_werewolf_v3_discovered.png,
fallMythicDragon_19,19,food:226274,1,,2571799,17280,flamethrower:fallMythicDragon_flamethrower,frostbite:feralRage1|berserk:fullMoon1|intimidatingRoar:intimidatingRoar1|iceTurretResist01:iceTurretResist01,23906,food:906,4.2,rage4,21,1044683,1,experience:0,1354218,21,6,6,drg_werewolf_v3.lvl,dragon_werwewolf_v3_discovered_thumbnail.png,dragonThumbnail_werewolf_v3_discovered.png,
fallMythicDragon_20,20,food:238719,1,,2769492,17280,flamethrower:fallMythicDragon_flamethrower,frostbite:feralRage1|berserk:fullMoon1|intimidatingRoar:intimidatingRoar1|iceTurretResist01:iceTurretResist01,25744,food:960,4.2,rage4,22,1117811,1,experience:0,1570447,21,6,6,drg_werewolf_v3.lvl,dragon_werwewolf_v3_discovered_thumbnail.png,dragonThumbnail_werewolf_v3_discovered.png,
fallMythicDragon_21,21,fallMythicPlatinumStone:1,1,havePlatinumLegendary,2909652,17280,flamethrower:fallMythicDragon_flamethrower,frostbite:feralRage1|berserk:fullMoon1|intimidatingRoar:intimidatingRoar1|iceTurretResist01:iceTurretResist01,27047,food:996,4.2,rage4,23,1229592,1,experience:0,1733473,29,7,6,drg_werewolf_v4.lvl,dragon_werwewolf_v4_discovered_thumbnail.png,dragonThumbnail_werewolf_v4_discovered.png,
fallMythicDragon_22,22,food:265700,1,,3133308,17280,flamethrower:fallMythicDragon_flamethrower,frostbite:feralRage1|berserk:fullMoon1|intimidatingRoar:intimidatingRoar1|iceTurretResist01:iceTurretResist01,29127,food:1050,4.2,rage4,24,1352551,1,experience:0,2010247,29,7,6,drg_werewolf_v4.lvl,dragon_werwewolf_v4_discovered_thumbnail.png,dragonThumbnail_werewolf_v4_discovered.png,
fallMythicDragon_23,23,food:280313,1,,3374177,17280,flamethrower:fallMythicDragon_flamethrower,frostbite:feralRage1|berserk:fullMoon1|intimidatingRoar:intimidatingRoar1|iceTurretResist01:iceTurretResist01,31366,food:1104,4.2,rage4,25,1487806,1,experience:0,2331200,29,7,6,drg_werewolf_v4.lvl,dragon_werwewolf_v4_discovered_thumbnail.png,dragonThumbnail_werewolf_v4_discovered.png,
fallMythicDragon_24,24,food:295731,1,,3633594,17280,flamethrower:fallMythicDragon_flamethrower,frostbite:feralRage1|berserk:fullMoon1|intimidatingRoar:intimidatingRoar1|iceTurretResist01:iceTurretResist01,33778,food:1158,4.2,rage4,26,1636587,1,experience:0,2703536,29,7,6,drg_werewolf_v4.lvl,dragon_werwewolf_v4_discovered_thumbnail.png,dragonThumbnail_werewolf_v4_discovered.png,
fallMythicDragon_25,25,food:311996,1,,3912929,17280,flamethrower:fallMythicDragon_flamethrower,frostbite:feralRage1|berserk:fullMoon1|intimidatingRoar:intimidatingRoar1|iceTurretResist01:iceTurretResist01,36376,food:1212,4.2,rage4,26,1800246,1,experience:0,3135142,29,7,6,drg_werewolf_v4.lvl,dragon_werwewolf_v4_discovered_thumbnail.png,dragonThumbnail_werewolf_v4_discovered.png,
fallMythicDragon_26,26,food:329156,1,have2LegendaryPlatinum,4213713,17280,flamethrower:fallMythicDragon_flamethrower,frostbite:feralRage1|berserk:fullMoon1|intimidatingRoar:intimidatingRoar1|iceTurretResist01:iceTurretResist01,38201,food:1266,4.2,rage4,26,1980271,1,experience:0,3545705,29,7,6,drg_werewolf_v4.lvl,dragon_werwewolf_v4_discovered_thumbnail.png,dragonThumbnail_werewolf_v4_discovered.png,
fallMythicDragon_27,27,food:347259,1,,4405845,17280,flamethrower:fallMythicDragon_flamethrower,frostbite:feralRage1|berserk:fullMoon1|intimidatingRoar:intimidatingRoar1|iceTurretResist01:iceTurretResist01,39943,food:1284,4.2,rage4,26,2178298,1,experience:0,3725194,29,7,6,drg_werewolf_v4.lvl,dragon_werwewolf_v4_discovered_thumbnail.png,dragonThumbnail_werewolf_v4_discovered.png,
fallMythicDragon_28,28,food:366358,1,,4539344,17280,flamethrower:fallMythicDragon_flamethrower,frostbite:feralRage1|berserk:fullMoon1|intimidatingRoar:intimidatingRoar1|iceTurretResist01:iceTurretResist01,41152,food:1284,4.2,rage4,26,2396128,1,experience:0,3913691,29,7,6,drg_werewolf_v4.lvl,dragon_werwewolf_v4_discovered_thumbnail.png,dragonThumbnail_werewolf_v4_discovered.png,
fallMythicDragon_29,29,fallMythicSapphireStone:1,1,haveLegendarySapphire,4651061,17280,flamethrower:fallMythicDragon_flamethrower,frostbite:feralRage1|berserk:fullMoon1|intimidatingRoar:intimidatingRoar1|iceTurretResist01:iceTurretResist01,42167,food:1338,4.2,rage4,27,2635741,1,experience:0,4319959,36,8,6,drg_werewolf_v5.lvl,dragon_werwewolf_v5_discovered_thumbnail.png,dragonThumbnail_werewolf_v5_discovered.png,
fallMythicDragon_30,30,food:407766,1,,4886488,17280,flamethrower:fallMythicDragon_flamethrower,frostbite:feralRage1|berserk:fullMoon1|intimidatingRoar:intimidatingRoar1|iceTurretResist01:iceTurretResist01,44302,food:1374,4.2,rage4,27,2899315,1,experience:0,4768380,36,8,6,drg_werewolf_v5.lvl,dragon_werwewolf_v5_discovered_thumbnail.png,dragonThumbnail_werewolf_v5_discovered.png,
