identifier,level,upgradeCost,upgradeTimeInSeconds,achievementRequirements,HP,fullHealDuration,attackType,abilities,attackPower,battleUseCost,forwardSpeed,spellRageIdentifier,requiredStableLevel,upgradeXP,xpRewardMultiplier,upgradeReward,powerLevel,nextEvolveLevel,tierNumber,rarity,h
String,Integer,String,Integer,Array<String>,Float,Integer,String,String,Float,Map<String:Integer>,Float,String,Integer,Integer,Float,String,Integer,Integer,Integer,Integer,String
fallWarriorDragon_1,1,food:34272,1,,215737,13562,flamethrower:fallWarriorDragon_flamethrower,seethingSpark:seethingSpark1|chargedShield:undeadBlast1,2654,food:140,4.2,rage3,7,56974,1,experience:0,14319,7,4,5,
fallWarriorDragon_2,2,food:39168,1,,277561,15840,flamethrower:fallWarriorDragon_flamethrower,seethingSpark:seethingSpark1|chargedShield:undeadBlast1,2933,food:160,4.2,rage3,8,95783,1,experience:0,20360,7,4,5,
fallWarriorDragon_3,3,food:58526,1,,296957,15840,flamethrower:fallWarriorDragon_flamethrower,seethingSpark:seethingSpark1|chargedShield:undeadBlast1,3168,food:180,4.2,rage3,9,120232,1,experience:0,23504,7,4,5,
fallWarriorDragon_4,4,food:79536,1,,321054,15840,flamethrower:fallWarriorDragon_flamethrower,seethingSpark:seethingSpark1|chargedShield:undeadBlast1,3466,food:200,4.2,rage3,9,184501,1,experience:0,27840,7,4,5,
fallWarriorDragon_5,5,food:106930,1,,365218,15840,flamethrower:fallWarriorDragon_flamethrower,seethingSpark:seethingSpark1|chargedShield:undeadBlast1,3892,food:230,4.2,rage3,10,215866,1,experience:0,35574,7,4,5,
fallWarriorDragon_6,6,food:112811,1,,415287,15840,flamethrower:fallWarriorDragon_flamethrower,seethingSpark:seethingSpark1|chargedShield:undeadBlast1,4439,food:260,4.2,rage3,11,252563,1,experience:0,46097,7,4,5,
fallWarriorDragon_7,7,fallWarriorGreenStone:1,1,have2GreenEpic,586772,17280,flamethrower:fallWarriorDragon_flamethrower,seethingSpark:seethingSpark1|chargedShield:undeadBlast1|freezeSpell:earthquake1,6252,food:384,4.2,rage3,13,271862,1,experience:0,77723,13,5,5,
fallWarriorDragon_8,8,food:125562,1,,666259,17280,flamethrower:fallWarriorDragon_flamethrower,seethingSpark:seethingSpark1|chargedShield:undeadBlast1|freezeSpell:earthquake1,6990,food:420,4.2,rage3,14,308628,1,experience:0,98631,13,5,5,
fallWarriorDragon_9,9,food:132468,1,,822792,17280,flamethrower:fallWarriorDragon_flamethrower,seethingSpark:seethingSpark1|chargedShield:undeadBlast1|freezeSpell:earthquake1,7638,food:456,4.2,rage3,15,465181,1,experience:0,133071,13,5,5,
fallWarriorDragon_10,10,food:139753,1,,885586,17280,flamethrower:fallWarriorDragon_flamethrower,seethingSpark:seethingSpark1|chargedShield:undeadBlast1|freezeSpell:earthquake1,8286,food:492,4.2,rage3,16,530981,1,experience:0,155439,13,5,5,
fallWarriorDragon_11,11,food:147440,1,,979236,17280,flamethrower:fallWarriorDragon_flamethrower,seethingSpark:seethingSpark1|chargedShield:undeadBlast1|freezeSpell:earthquake1,9196,food:528,4.2,rage3,17,589581,1,experience:0,190664,13,5,5,
fallWarriorDragon_12,12,food:155549,1,,1116872,17280,flamethrower:fallWarriorDragon_flamethrower,seethingSpark:seethingSpark1|chargedShield:undeadBlast1|freezeSpell:earthquake1,10391,food:564,4.2,rage3,18,648181,1,experience:0,245751,13,5,5,
fallWarriorDragon_13,13,fallWarriorGoldStone:1,1,haveGoldLegendary,1185463,17280,flamethrower:fallWarriorDragon_flamethrower,seethingSpark:seethingSpark1|chargedShield:undeadBlast1|freezeSpell:earthquake1|archerResist01:archerResist01,11081,food:582,4.2,rage3,18,706781,1,experience:0,278239,21,6,5,
fallWarriorDragon_14,14,food:173130,1,,1433826,17280,flamethrower:fallWarriorDragon_flamethrower,seethingSpark:seethingSpark1|chargedShield:undeadBlast1|freezeSpell:earthquake1|archerResist01:archerResist01,13402,food:636,4.2,rage3,18,765381,1,experience:0,407027,21,6,5,
fallWarriorDragon_15,15,food:182652,1,,1732820,17280,flamethrower:fallWarriorDragon_flamethrower,seethingSpark:seethingSpark1|chargedShield:undeadBlast1|freezeSpell:earthquake1|archerResist01:archerResist01,16130,food:690,4.2,rage3,18,823981,1,experience:0,592013,21,6,5,
fallWarriorDragon_16,16,food:192698,1,,2039350,17280,flamethrower:fallWarriorDragon_flamethrower,seethingSpark:seethingSpark1|chargedShield:undeadBlast1|freezeSpell:earthquake1|archerResist01:archerResist01,18765,food:744,4.2,rage3,19,882581,1,experience:0,810510,21,6,5,
fallWarriorDragon_17,17,food:203296,1,have2LegendaryGold,2217745,17280,flamethrower:fallWarriorDragon_flamethrower,seethingSpark:seethingSpark1|chargedShield:undeadBlast1|freezeSpell:earthquake1|archerResist01:archerResist01,20615,food:798,4.2,rage3,19,941181,1,experience:0,968297,21,6,5,
fallWarriorDragon_18,18,food:214477,1,,2388213,17280,flamethrower:fallWarriorDragon_flamethrower,seethingSpark:seethingSpark1|chargedShield:undeadBlast1|freezeSpell:earthquake1|archerResist01:archerResist01,22200,food:852,4.2,rage3,20,999781,1,experience:0,1122845,21,6,5,
