identifier,level,upgradeCost,upgradeTimeInSeconds,achievementRequirements,HP,fullHealDuration,attackType,abilities,attackPower,battleUseCost,forwardSpeed,spellRageIdentifier,requiredStableLevel,upgradeXP,xpRewardMultiplier,upgradeReward,powerLevel,h
String,Integer,String,Integer,Array<String>,Float,Integer,String,String,Float,Map<String:Integer>,Float,String,Integer,Integer,Float,String,Integer,String
julyBlueDragon_1,1,julyBlueDragon:3,1,,58411,2881,lockon:T3C3SUdragon_lockon,,4682,food:60,4.2,rage3,4,6589,1,experience:0,816,
julyBlueDragon_2,2,julyBlueDragon:6,1,,63124,3321,lockon:T3C3SUdragon_lockon,summonAIDragon:summonDragon1,4994,food:65,4.2,rage3,4,7524,1,experience:0,1406,
julyBlueDragon_3,3,julyBlueDragon:6,1,,79365,4425,lockon:T3C3SUdragon_lockon,summonAIDragon:summonDragon1,5292,food:70,4.2,rage3,4,9652,1,experience:0,1872,
julyBlueDragon_4,4,julyBlueDragon:6,1,,82346,4818,lockon:T3C3SUdragon_lockon,summonAIDragon:summonDragon1,5553,food:75,4.2,rage3,4,12654,1,experience:0,2045,
julyBlueDragon_5,5,julyBlueDragon:6,1,,86236,5255,lockon:T3C3SUdragon_lockon,summonAIDragon:summonDragon1|risingPhoenix:risingPhoenix1,5784,food:80,4.2,rage3,5,16048,1,experience:0,2968,
julyBlueDragon_6,6,julyBlueDragon:6,1,,89483,5712,lockon:T3C3SUdragon_lockon,summonAIDragon:summonDragon1|risingPhoenix:risingPhoenix1,6059,food:85,4.2,rage3,5,20007,1,experience:0,3219,
julyBlueDragon_7,7,julyBlueDragon:6,1,,92903,6115,lockon:T3C3SUdragon_lockon,summonAIDragon:summonDragon1|risingPhoenix:risingPhoenix1,6391,food:90,4.2,rage3,5,22557,1,experience:0,3510,
julyBlueDragon_8,8,julyBlueDragon:7,1,,99750,6730,lockon:T3C3SUdragon_lockon,summonAIDragon:summonDragon1|risingPhoenix:risingPhoenix1,6764,food:97,4.2,rage3,5,25425,1,experience:0,3999,
julyBlueDragon_9,9,julyBlueDragon:8,1,,107072,7442,lockon:T3C3SUdragon_lockon,summonAIDragon:summonDragon1|risingPhoenix:risingPhoenix1|stormResist01:stormResist01,7205,food:103,4.2,rage3,6,28408,1,experience:0,5949,
julyBlueDragon_10,10,julyBlueDragon:8,1,,113929,8210,lockon:T3C3SUdragon_lockon,summonAIDragon:summonDragon1|risingPhoenix:risingPhoenix1|stormResist01:stormResist01,7719,food:109,4.2,rage3,6,32005,1,experience:0,6778,
julyBlueDragon_11,11,julyBlueDragon:8,1,,122234,9101,lockon:T3C3SUdragon_lockon,summonAIDragon:summonDragon1|risingPhoenix:risingPhoenix1|stormResist01:stormResist01,8253,food:115,4.2,rage3,6,36048,1,experience:0,7779,
julyBlueDragon_12,12,julyBlueDragon:8,1,,131111,10086,lockon:T3C3SUdragon_lockon,summonAIDragon:summonDragon1|risingPhoenix:risingPhoenix1|stormResist01:stormResist01,8825,food:122,4.2,rage3,6,53478,1,experience:0,8918,
julyBlueDragon_13,13,julyBlueDragon:8,1,,139462,11120,lockon:T3C3SUdragon_lockon,summonAIDragon:summonDragon1|risingPhoenix:risingPhoenix1|stormResist01:stormResist01,9449,food:128,4.2,rage3,7,60211,1,experience:0,10156,
julyBlueDragon_14,14,julyBlueDragon:10,1,,149533,12315,lockon:T3C3SUdragon_lockon,summonAIDragon:summonDragon1|risingPhoenix:risingPhoenix1|stormResist01:stormResist01,10098,food:134,4.2,rage3,7,67772,1,experience:0,11640,
julyBlueDragon_15,15,julyBlueDragon:10,1,,160294,13562,lockon:T3C3SUdragon_lockon,summonAIDragon:summonDragon1|risingPhoenix:risingPhoenix1|stormResist01:stormResist01,10712,food:140,4.2,rage3,7,92555,1,experience:0,13239,
julyBlueDragon_16,16,julyBlueDragon:10,1,,170458,14786,lockon:T3C3SUdragon_lockon,summonAIDragon:summonDragon1|risingPhoenix:risingPhoenix1|stormResist01:stormResist01,11304,food:150,4.2,rage3,8,104142,1,experience:0,14855,
julyBlueDragon_17,17,julyBlueDragon:10,1,,206230,15840,lockon:T3C3SUdragon_lockon,summonAIDragon:summonDragon1|risingPhoenix:risingPhoenix1|stormResist01:stormResist01,11836,food:160,4.2,rage3,8,136957,1,experience:0,18824,
julyBlueDragon_18,18,julyBlueDragon:10,1,,214035,15840,lockon:T3C3SUdragon_lockon,summonAIDragon:summonDragon1|risingPhoenix:risingPhoenix1|stormResist01:stormResist01,12324,food:170,4.2,rage3,8,152878,1,experience:0,20361,
julyBlueDragon_19,19,julyBlueDragon:10,1,,220642,15840,lockon:T3C3SUdragon_lockon,summonAIDragon:summonDragon1|risingPhoenix:risingPhoenix1|stormResist01:stormResist01,12782,food:180,4.2,rage3,9,171916,1,experience:0,21731,
julyBlueDragon_20,20,julyBlueDragon:14,1,,229345,15840,lockon:T3C3SUdragon_lockon,summonAIDragon:summonDragon1|risingPhoenix:risingPhoenix1|stormResist01:stormResist01,13328,food:190,4.2,rage3,9,180512,1,experience:0,23590,
julyBlueDragon_21,21,julyBlueDragon:14,1,,240812,15840,lockon:T3C3SUdragon_lockon,summonAIDragon:summonDragon1|risingPhoenix:risingPhoenix1|stormResist01:stormResist01,13994,food:200,4.2,rage3,9,189538,1,experience:0,24770,
julyBlueDragon_22,22,julyBlueDragon:14,1,,252853,15840,lockon:T3C3SUdragon_lockon,summonAIDragon:summonDragon1|risingPhoenix:risingPhoenix1|stormResist01:stormResist01,14694,food:210,4.2,rage3,9,199015,1,experience:0,26009,
julyBlueDragon_23,23,julyBlueDragon:14,1,,265496,15840,lockon:T3C3SUdragon_lockon,summonAIDragon:summonDragon1|risingPhoenix:risingPhoenix1|stormResist01:stormResist01,15429,food:220,4.2,rage3,9,208966,1,experience:0,27309,
julyBlueDragon_24,24,julyBlueDragon:15,1,,278771,15840,lockon:T3C3SUdragon_lockon,summonAIDragon:summonDragon1|risingPhoenix:risingPhoenix1|stormResist01:stormResist01,16200,food:230,4.2,rage3,9,219414,1,experience:0,28674,
julyBlueDragon_25,25,julyBlueDragon:15,1,,292710,15840,lockon:T3C3SUdragon_lockon,summonAIDragon:summonDragon1|risingPhoenix:risingPhoenix1|stormResist01:stormResist01,17010,food:240,4.2,rage3,9,0,1.2,experience:0,30108,!@#ampnemllakegmoih
