identifier,level,upgradeCost,upgradeTimeInSeconds,achievementRequirements,HP,fullHealDuration,attackType,abilities,attackPower,battleUseCost,forwardSpeed,spellRageIdentifier,requiredStableLevel,upgradeXP,xpRewardMultiplier,upgradeReward,powerLevel,h
String,Integer,String,Integer,Array<String>,Float,Integer,String,String,Float,Map<String:Integer>,Float,String,Integer,Integer,Float,String,Integer,String
julyPlatinumDragon_1,1,food:0,1,,1476164,17280,fireball:T7C3HDdragon_fireball,,83202,food:762,4.2,rage1,18,544552,1,experience:0,309520,
julyPlatinumDragon_2,2,food:205920,1,,1513057,17280,fireball:T7C3HDdragon_fireball,stealEssence:stealEssence1,85788,food:780,4.2,rage1,19,558164,1,experience:0,490676,
julyPlatinumDragon_3,3,food:210672,1,,1550871,17280,fireball:T7C3HDdragon_fireball,stealEssence:stealEssence1,88096,food:798,4.2,rage1,19,649998,1,experience:0,516488,
julyPlatinumDragon_4,4,food:215424,1,,1589627,17280,fireball:T7C3HDdragon_fireball,stealEssence:stealEssence1,90298,food:816,4.2,rage1,19,766701,1,experience:0,542640,
julyPlatinumDragon_5,5,food:220176,1,,1629356,17280,fireball:T7C3HDdragon_fireball,stealEssence:stealEssence1|seethingSpark:seethingSpark1,92555,food:834,4.2,rage1,20,883335,1,experience:0,760144,
julyPlatinumDragon_6,6,food:224928,1,,1670079,17280,fireball:T7C3HDdragon_fireball,stealEssence:stealEssence1|seethingSpark:seethingSpark1,94869,food:852,4.2,rage1,20,1000866,1,experience:0,798564,
julyPlatinumDragon_7,7,food:229680,1,,1711822,17280,fireball:T7C3HDdragon_fireball,stealEssence:stealEssence1|seethingSpark:seethingSpark1,97240,food:870,4.2,rage1,20,1025887,1,experience:0,838980,
julyPlatinumDragon_8,8,food:234432,1,,1754606,17280,fireball:T7C3HDdragon_fireball,stealEssence:stealEssence1|seethingSpark:seethingSpark1,99671,food:888,4.2,rage1,21,1051532,1,experience:0,881520,
julyPlatinumDragon_9,9,food:239184,1,,1798461,17280,fireball:T7C3HDdragon_fireball,stealEssence:stealEssence1|seethingSpark:seethingSpark1|cloak:cloak1,102163,food:906,4.2,rage1,21,1077820,1,experience:0,1203895,
julyPlatinumDragon_10,10,food:243936,1,,1843414,17280,fireball:T7C3HDdragon_fireball,stealEssence:stealEssence1|seethingSpark:seethingSpark1|cloak:cloak1,104717,food:924,4.2,rage1,21,1104763,1,experience:0,1264916,
