identifier,level,upgradeCost,upgradeTimeInSeconds,achievementRequirements,HP,fullHealDuration,attackType,abilities,attackPower,battleUseCost,forwardSpeed,spellRageIdentifier,requiredStableLevel,upgradeXP,xpRewardMultiplier,upgradeReward,powerLevel,h
String,Integer,String,Integer,Array<String>,Float,Integer,String,String,Float,Map<String:Integer>,Float,String,Integer,Integer,Float,String,Integer,String
mayPlatinumDragon_1,1,food:0,1,,1184498,15840,lockon:T7C2SEdragon_lockon,,59896,food:575,4.2,rage3,16,401400,1,experience:0,210519,
mayPlatinumDragon_2,2,food:144432,1,,1256788,15840,lockon:T7C2SEdragon_lockon,risingPhoenix:risingPhoenix1,63408,food:590,4.2,rage3,17,413733,1,experience:0,354690,
mayPlatinumDragon_3,3,food:148104,1,,1331328,15840,lockon:T7C2SEdragon_lockon,risingPhoenix:risingPhoenix1,66705,food:605,4.2,rage3,17,481803,1,experience:0,395275,
mayPlatinumDragon_4,4,food:151776,1,,1394031,15840,lockon:T7C2SEdragon_lockon,risingPhoenix:risingPhoenix1,69677,food:620,4.2,rage3,17,568309,1,experience:0,432324,
mayPlatinumDragon_5,5,food:155448,1,,1442950,15840,lockon:T7C2SEdragon_lockon,risingPhoenix:risingPhoenix1|frozenTomb:frozenTomb1,72294,food:635,4.2,rage3,18,654761,1,experience:0,619040,
mayPlatinumDragon_6,6,food:159120,1,,1479013,15840,lockon:T7C2SEdragon_lockon,risingPhoenix:risingPhoenix1|frozenTomb:frozenTomb1,74540,food:650,4.2,rage3,18,741879,1,experience:0,654234,
mayPlatinumDragon_7,7,food:162792,1,,1515976,15840,lockon:T7C2SEdragon_lockon,risingPhoenix:risingPhoenix1|frozenTomb:frozenTomb1,76545,food:665,4.2,rage3,18,760424,1,experience:0,688650,
mayPlatinumDragon_8,8,food:166464,1,,1553861,15840,lockon:T7C2SEdragon_lockon,risingPhoenix:risingPhoenix1|frozenTomb:frozenTomb1,78459,food:680,4.2,rage3,19,779433,1,experience:0,723520,
mayPlatinumDragon_9,9,food:170136,1,,1592696,15840,lockon:T7C2SEdragon_lockon,risingPhoenix:risingPhoenix1|frozenTomb:frozenTomb1|invertSpell:invert1,80420,food:695,4.2,rage3,19,798918,1,experience:0,988187,
mayPlatinumDragon_10,10,food:173808,1,,1632502,15840,lockon:T7C2SEdragon_lockon,risingPhoenix:risingPhoenix1|frozenTomb:frozenTomb1|invertSpell:invert1,82430,food:710,4.2,rage3,19,818891,1,experience:0,1038133,
mayPlatinumDragon_11,11,food:177480,1,,1673306,15840,lockon:T7C2SEdragon_lockon,risingPhoenix:risingPhoenix1|frozenTomb:frozenTomb1|invertSpell:invert1,84491,food:725,4.2,rage3,20,839362,1,experience:0,1090674,
mayPlatinumDragon_12,12,food:181152,1,,1715127,15840,lockon:T7C2SEdragon_lockon,risingPhoenix:risingPhoenix1|frozenTomb:frozenTomb1|invertSpell:invert1,86603,food:740,4.2,rage3,20,1142711,1,experience:0,1145976,
mayPlatinumDragon_13,13,food:245484,1,,1757996,15840,lockon:T7C2SEdragon_lockon,risingPhoenix:risingPhoenix1|frozenTomb:frozenTomb1|invertSpell:invert1,88768,food:755,4.2,rage3,20,1171278,1,experience:0,1203895,
mayPlatinumDragon_14,14,food:250361,1,,1801937,15840,lockon:T7C2SEdragon_lockon,risingPhoenix:risingPhoenix1|frozenTomb:frozenTomb1|invertSpell:invert1|lightningResist01:lightningResist01,90987,food:770,4.2,rage3,21,1200557,1,experience:0,1264916,
mayPlatinumDragon_15,15,food:255238,1,,1846972,15840,lockon:T7C2SEdragon_lockon,risingPhoenix:risingPhoenix1|frozenTomb:frozenTomb1|invertSpell:invert1|lightningResist01:lightningResist01,93262,food:785,4.2,rage3,21,1505094,1,experience:0,1328896,
mayPlatinumDragon_16,16,food:318144,1,,1893132,15840,lockon:T7C2SEdragon_lockon,risingPhoenix:risingPhoenix1|frozenTomb:frozenTomb1|invertSpell:invert1|lightningResist01:lightningResist01,95593,food:800,4.2,rage3,21,1542721,1,experience:0,1396122,
mayPlatinumDragon_17,17,food:324109,1,,1940446,15840,lockon:T7C2SEdragon_lockon,risingPhoenix:risingPhoenix1|frozenTomb:frozenTomb1|invertSpell:invert1|lightningResist01:lightningResist01,97983,food:815,4.2,rage3,22,1848622,1,experience:0,1466888,
mayPlatinumDragon_18,18,food:385876,1,,1988941,15840,lockon:T7C2SEdragon_lockon,risingPhoenix:risingPhoenix1|frozenTomb:frozenTomb1|invertSpell:invert1|lightningResist01:lightningResist01,100432,food:830,4.2,rage3,22,1894837,1,experience:0,1541051,
mayPlatinumDragon_19,19,food:392850,1,,2038650,15840,lockon:T7C2SEdragon_lockon,risingPhoenix:risingPhoenix1|frozenTomb:frozenTomb1|invertSpell:invert1|lightningResist01:lightningResist01,102943,food:845,4.2,rage3,22,1942206,1,experience:0,1619027,
mayPlatinumDragon_20,20,food:399824,1,,2089601,15840,lockon:T7C2SEdragon_lockon,risingPhoenix:risingPhoenix1|frozenTomb:frozenTomb1|invertSpell:invert1|lightningResist01:lightningResist01,105517,food:860,4.2,rage3,22,0,1.2,experience:0,1701014,!@#iaaihjfnggpffcie
