identifier,level,upgradeCost,upgradeTimeInSeconds,achievementRequirements,HP,fullHealDuration,attackType,abilities,attackPower,battleUseCost,forwardSpeed,spellRageIdentifier,requiredStableLevel,upgradeXP,xpRewardMultiplier,upgradeReward,powerLevel,h
String,Integer,String,Integer,Array<String>,Float,Integer,String,String,Float,Map<String:Integer>,Float,String,Integer,Integer,Float,String,Integer,String
pbogDragon_1,1,redEggCurrency:1,1,,39724,966,flamethrower:T1C3WEdragon_flamethrower,,593,food:28,4.2,rage2,2,3191,1,experience:0,595,
pbogDragon_2,2,redEggCurrency:1,1,,42030,1076,flamethrower:T1C3WEdragon_flamethrower,curePoison:curePoison1,624,food:30,4.2,rage2,2,4806,1,experience:0,666,
pbogDragon_3,3,redEggCurrency:1,1,redMid1,43942,1193,flamethrower:T1C3WEdragon_flamethrower,curePoison:curePoison1,661,food:32,4.2,rage2,3,5956,1,experience:0,741,
pbogDragon_4,4,redEggCurrency:2,1,,46473,1351,flamethrower:T1C3WEdragon_flamethrower,curePoison:curePoison1,708,food:34,4.2,rage2,3,8493,1,experience:0,840,
pbogDragon_5,5,redEggCurrency:2,1,redEnd1,50533,1580,flamethrower:T1C3WEdragon_flamethrower,curePoison:curePoison1|cannonResist01:cannonResist01,762,food:36,4.2,rage2,3,9767,1,experience:0,987,
pbogDragon_6,6,redEggCurrency:2,1,,55458,1882,flamethrower:T1C3WEdragon_flamethrower,curePoison:curePoison1|cannonResist01:cannonResist01,826,food:40,4.2,rage2,3,10255,1,experience:0,1166,
pbogDragon_7,7,purpleEggCurrency:1,1,purpleMid1,158185,9101,flamethrower:T2C3WEdragon_flamethrower,curePoison:curePoison1|cannonResist01:cannonResist01,1967,food:115,4.2,rage2,6,52705,1,experience:0,7779,
pbogDragon_8,8,purpleEggCurrency:1,1,,169673,10086,flamethrower:T2C3WEdragon_flamethrower,curePoison:curePoison1|cannonResist01:cannonResist01,2103,food:122,4.2,rage2,6,58868,1,experience:0,8918,
pbogDragon_9,9,purpleEggCurrency:1,1,,180480,11120,flamethrower:T2C3WEdragon_flamethrower,curePoison:curePoison1|cannonResist01:cannonResist01,2251,food:128,4.2,rage2,7,77484,1,experience:0,10156,
pbogDragon_10,10,purpleEggCurrency:2,1,purpleEnd1,193514,12315,flamethrower:T2C3WEdragon_flamethrower,curePoison:curePoison1|cannonResist01:cannonResist01,2406,food:134,4.2,rage2,7,87214,1,experience:0,11640,
pbogDragon_11,11,purpleEggCurrency:2,1,,207439,13562,flamethrower:T2C3WEdragon_flamethrower,curePoison:curePoison1|cannonResist01:cannonResist01,2552,food:140,4.2,rage2,7,97382,1,experience:0,13239,
pbogDragon_12,12,purpleEggCurrency:2,1,,220593,14786,flamethrower:T2C3WEdragon_flamethrower,curePoison:curePoison1|cannonResist01:cannonResist01,2693,food:150,4.2,rage2,8,102251,1,experience:0,14855,
pbogDragon_13,13,blueEggCurrency:1,1,blueMid1,266886,15840,flamethrower:T3C2WFdragon_flamethrower,curePoison:curePoison1|archerResist01:archerResist01|cannonResist01:cannonResist01,2820,food:180,4.2,rage2,8,152878,1,experience:0,18824,
pbogDragon_14,14,blueEggCurrency:1,1,,276987,15840,flamethrower:T3C2WFdragon_flamethrower,curePoison:curePoison1|archerResist01:archerResist01|cannonResist01:cannonResist01,2936,food:190,4.2,rage2,8,171916,1,experience:0,20361,
pbogDragon_15,15,blueEggCurrency:1,1,,285536,15840,flamethrower:T3C2WFdragon_flamethrower,curePoison:curePoison1|archerResist01:archerResist01|cannonResist01:cannonResist01,3046,food:200,4.2,rage2,9,180511,1,experience:0,21731,
pbogDragon_16,16,blueEggCurrency:2,1,blueEnd1,296800,15840,flamethrower:T3C2WFdragon_flamethrower,curePoison:curePoison1|archerResist01:archerResist01|cannonResist01:cannonResist01,3175,food:210,4.2,rage2,9,189536,1,experience:0,23590,
pbogDragon_17,17,blueEggCurrency:2,1,,311640,15840,flamethrower:T3C2WFdragon_flamethrower,curePoison:curePoison1|archerResist01:archerResist01|cannonResist01:cannonResist01,3333,food:220,4.2,rage2,9,199012,1,experience:0,24769,
pbogDragon_18,18,blueEggCurrency:2,1,,327222,15840,flamethrower:T3C2WFdragon_flamethrower,curePoison:curePoison1|archerResist01:archerResist01|cannonResist01:cannonResist01,3499,food:230,4.2,rage2,9,208962,1,experience:0,26007,
pbogDragon_19,19,orangeEggCurrency:1,1,orangeMid1,817942,17280,flamethrower:T4C2WIdragon_flamethrower,curePoison:curePoison1|archerResist01:archerResist01|seethingSpark:seethingSpark1|cannonResist01:cannonResist01,7632,food:474,4.2,rage2,9,607915,1,experience:0,132194,
pbogDragon_20,20,orangeEggCurrency:1,1,,851525,17280,flamethrower:T4C2WIdragon_flamethrower,curePoison:curePoison1|archerResist01:archerResist01|seethingSpark:seethingSpark1|cannonResist01:cannonResist01,7967,food:492,4.2,rage2,16,759230,1,experience:0,143712,
pbogDragon_21,21,orangeEggCurrency:1,1,,886931,17280,flamethrower:T4C2WIdragon_flamethrower,curePoison:curePoison1|archerResist01:archerResist01|seethingSpark:seethingSpark1|cannonResist01:cannonResist01,8366,food:510,4.2,rage2,17,806021,1,experience:0,157158,
pbogDragon_22,22,orangeEggCurrency:2,1,orangeEnd1,941573,17280,flamethrower:T4C2WIdragon_flamethrower,curePoison:curePoison1|archerResist01:archerResist01|seethingSpark:seethingSpark1|cannonResist01:cannonResist01,8842,food:528,4.2,rage2,17,860880,1,experience:0,176280,
