identifier,level,upgradeCost,upgradeTimeInSeconds,achievementRequirements,HP,fullHealDuration,attackType,abilities,attackPower,battleUseCost,forwardSpeed,spellRageIdentifier,requiredStableLevel,upgradeXP,xpRewardMultiplier,upgradeReward,powerLevel,nextEvolveLevel,tierNumber,rarity,sceneFile,h
String,Integer,String,Integer,Array<String>,Float,Integer,String,String,Float,Map<String:Integer>,Float,String,Integer,Integer,Float,String,Integer,Integer,Integer,Integer,String,String
snowdropDragon_1,1,food:34272,1,,150865,13562,fireball:T8C3HIdragon_fireball,healingMark:healingMark1|crystallineShield:crystallineShield1,11342,food:140,4.2,rage1,7,56974,1,experience:0,13239,7,4,4,drg_glacialHunter.lvl,
snowdropDragon_2,2,food:39168,1,,194099,15840,fireball:T8C3HIdragon_fireball,healingMark:healingMark1|crystallineShield:crystallineShield1,12532,food:160,4.2,rage1,8,95783,1,experience:0,18824,7,4,4,drg_glacialHunter.lvl,
snowdropDragon_3,3,food:58526,1,,207663,15840,fireball:T8C3HIdragon_fireball,healingMark:healingMark1|crystallineShield:crystallineShield1,13534,food:180,4.2,rage1,9,120232,1,experience:0,21731,7,4,4,drg_glacialHunter.lvl,
snowdropDragon_4,4,food:79536,1,,224514,15840,fireball:T8C3HIdragon_fireball,healingMark:healingMark1|crystallineShield:crystallineShield1,14812,food:200,4.2,rage1,9,184501,1,experience:0,25740,7,4,4,drg_glacialHunter.lvl,
snowdropDragon_5,5,food:106930,1,,255397,15840,fireball:T8C3HIdragon_fireball,healingMark:healingMark1|crystallineShield:crystallineShield1,16631,food:230,4.2,rage1,10,215866,1,experience:0,32890,7,4,4,drg_glacialHunter.lvl,
snowdropDragon_6,6,food:112811,1,,290410,15840,fireball:T8C3HIdragon_fireball,healingMark:healingMark1|crystallineShield:crystallineShield1,18965,food:260,4.2,rage1,11,252563,1,experience:0,42619,7,4,4,drg_glacialHunter.lvl,
snowdropDragon_7,7,winterHunterGreenStone:1,1,have2GreenEpic,410330,17280,fireball:T8C3HIdragon_fireball,healingMark:healingMark1|crystallineShield:crystallineShield1,26720,food:384,4.2,rage1,13,271862,1,experience:0,71859,13,5,4,drg_glacialHunter_level2.lvl,
snowdropDragon_8,8,food:125562,1,,465916,17280,fireball:T8C3HIdragon_fireball,healingMark:healingMark1|crystallineShield:crystallineShield1,29869,food:420,4.2,rage1,14,308628,1,experience:0,91190,13,5,4,drg_glacialHunter_level2.lvl,
snowdropDragon_9,9,food:132468,1,,575379,17280,fireball:T8C3HIdragon_fireball,healingMark:healingMark1|crystallineShield:crystallineShield1,32638,food:456,4.2,rage1,15,465181,1,experience:0,123032,13,5,4,drg_glacialHunter_level2.lvl,
snowdropDragon_10,10,food:139753,1,,619291,17280,fireball:T8C3HIdragon_fireball,healingMark:healingMark1|crystallineShield:crystallineShield1|cloak:cloak1,35409,food:492,4.2,rage1,16,530981,1,experience:0,143712,13,5,4,drg_glacialHunter_level2.lvl,
snowdropDragon_11,11,food:147440,1,,684781,17280,fireball:T8C3HIdragon_fireball,healingMark:healingMark1|crystallineShield:crystallineShield1|cloak:cloak1,39295,food:528,4.2,rage1,17,736386,1,experience:0,176280,13,5,4,drg_glacialHunter_level2.lvl,
snowdropDragon_12,12,food:155549,1,,781029,17280,fireball:T8C3HIdragon_fireball,healingMark:healingMark1|crystallineShield:crystallineShield1|cloak:cloak1,44401,food:564,4.2,rage1,18,834699,1,experience:0,227211,13,5,4,drg_glacialHunter_level2.lvl,
snowdropDragon_13,13,winterHunterGoldStone:1,1,haveGoldLegendary,828995,17280,fireball:T8C3HIdragon_fireball,healingMark:healingMark1|crystallineShield:crystallineShield1|cloak:cloak1|iceTurretResist01:iceTurretResist01,47354,food:582,4.2,rage1,18,548589,1,experience:0,257248,21,6,4,drg_glacialHunter_level3.lvl,
snowdropDragon_14,14,food:173130,1,,1002676,17280,fireball:T8C3HIdragon_fireball,healingMark:healingMark1|crystallineShield:crystallineShield1|cloak:cloak1|iceTurretResist01:iceTurretResist01,57273,food:636,4.2,rage1,18,663337,1,experience:0,376319,21,6,4,drg_glacialHunter_level3.lvl,
snowdropDragon_15,15,food:182652,1,,1211762,17280,fireball:T8C3HIdragon_fireball,healingMark:healingMark1|crystallineShield:crystallineShield1|cloak:cloak1|iceTurretResist01:iceTurretResist01,68934,food:690,4.2,rage1,18,796983,1,experience:0,547349,21,6,4,drg_glacialHunter_level3.lvl,
snowdropDragon_16,16,food:192698,1,,1426119,17280,fireball:T8C3HIdragon_fireball,healingMark:healingMark1|crystallineShield:crystallineShield1|cloak:cloak1|iceTurretResist01:iceTurretResist01,80191,food:744,4.2,rage1,19,852772,1,experience:0,749362,21,6,5,drg_glacialHunter_level3.lvl,
snowdropDragon_17,17,food:203296,1,have2LegendaryGold,1550871,17280,fireball:T8C3HIdragon_fireball,healingMark:healingMark1|crystallineShield:crystallineShield1|cloak:cloak1|iceTurretResist01:iceTurretResist01,88096,food:798,4.2,rage1,19,912466,1,experience:0,895245,21,6,5,drg_glacialHunter_level3.lvl,
snowdropDragon_18,18,food:214477,1,,1670079,17280,fireball:T8C3HIdragon_fireball,healingMark:healingMark1|crystallineShield:crystallineShield1|cloak:cloak1|iceTurretResist01:iceTurretResist01,94869,food:852,4.2,rage1,20,976339,1,experience:0,1038133,21,6,5,drg_glacialHunter_level3.lvl,
