identifier,level,upgradeCost,upgradeTimeInSeconds,achievementRequirements,HP,fullHealDuration,attackType,abilities,attackPower,battleUseCost,forwardSpeed,spellRageIdentifier,requiredStableLevel,upgradeXP,xpRewardMultiplier,upgradeReward,powerLevel,nextEvolveLevel,tierNumber,rarity,h
String,Integer,String,Integer,Array<String>,Float,Integer,String,String,Float,Map<String:Integer>,Float,String,Integer,Integer,Float,String,Integer,Integer,Integer,Integer,String
springDemonDragon_1,1,food:34272,1,,207439,13562,flamethrower:Blackblood_flamethrower,maleficBreath:maleficBreath38|heatedPiercingBreath:superHeatedBreath1,2552,food:140,4.2,rage3,7,56974,1,experience:0,13239,7,4,5,
springDemonDragon_2,2,food:39168,1,,266886,15840,flamethrower:Blackblood_flamethrower,maleficBreath:maleficBreath40|heatedPiercingBreath:superHeatedBreath1,2820,food:160,4.2,rage3,8,95783,1,experience:0,18824,7,4,5,
springDemonDragon_3,3,food:58526,1,,285536,15840,flamethrower:Blackblood_flamethrower,maleficBreath:maleficBreath42|heatedPiercingBreath:superHeatedBreath1,3046,food:180,4.2,rage3,9,120232,1,experience:0,21731,7,4,5,
springDemonDragon_4,4,food:79536,1,,308706,15840,flamethrower:Blackblood_flamethrower,maleficBreath:maleficBreath44|heatedPiercingBreath:superHeatedBreath1,3333,food:200,4.2,rage3,9,184501,1,experience:0,25740,7,4,5,
springDemonDragon_5,5,food:106930,1,,351171,15840,flamethrower:Blackblood_flamethrower,maleficBreath:maleficBreath46|heatedPiercingBreath:superHeatedBreath1,3742,food:230,4.2,rage3,10,215866,1,experience:0,32890,7,4,5,
springDemonDragon_6,6,food:112811,1,,399314,15840,flamethrower:Blackblood_flamethrower,maleficBreath:maleficBreath48|heatedPiercingBreath:superHeatedBreath1,4268,food:260,4.2,rage3,11,252563,1,experience:0,42619,7,4,5,
springDemonDragon_7,7,springDemonGreenStone:1,1,have2GreenEpic,564204,17280,flamethrower:Blackblood_flamethrower,maleficBreath:maleficBreath52|heatedPiercingBreath:superHeatedBreath1|heatBlastShield:fireShield1,6012,food:384,4.2,rage3,13,271862,1,experience:0,71859,13,5,5,
springDemonDragon_8,8,food:125562,1,,640634,17280,flamethrower:Blackblood_flamethrower,maleficBreath:maleficBreath54|heatedPiercingBreath:superHeatedBreath1|heatBlastShield:fireShield1,6721,food:420,4.2,rage3,14,308628,1,experience:0,91190,13,5,5,
springDemonDragon_9,9,food:132468,1,,791146,17280,flamethrower:Blackblood_flamethrower,maleficBreath:maleficBreath56|heatedPiercingBreath:superHeatedBreath1|heatBlastShield:fireShield1,7344,food:456,4.2,rage3,15,465181,1,experience:0,123032,13,5,5,
springDemonDragon_10,10,food:139753,1,,851525,17280,flamethrower:Blackblood_flamethrower,maleficBreath:maleficBreath58|heatedPiercingBreath:superHeatedBreath1|heatBlastShield:fireShield1,7967,food:492,4.2,rage3,16,530981,1,experience:0,143712,13,5,5,
springDemonDragon_11,11,food:147440,1,,941573,17280,flamethrower:Blackblood_flamethrower,maleficBreath:maleficBreath60|heatedPiercingBreath:superHeatedBreath1|heatBlastShield:fireShield1,8842,food:528,4.2,rage3,17,589581,1,experience:0,176280,13,5,5,
springDemonDragon_12,12,food:155549,1,,1073915,17280,flamethrower:Blackblood_flamethrower,maleficBreath:maleficBreath62|heatedPiercingBreath:superHeatedBreath1|heatBlastShield:fireShield1,9991,food:564,4.2,rage3,18,648181,1,experience:0,227211,13,5,5,
springDemonDragon_13,13,springDemonGoldStone:1,1,haveGoldLegendary,1139868,17280,flamethrower:Blackblood_flamethrower,maleficBreath:maleficBreath63|heatedPiercingBreath:superHeatedBreath1|heatBlastShield:fireShield1|sacrifice:whiteSacrifice1,10655,food:582,4.2,rage3,18,706781,1,experience:0,257248,21,6,5,
springDemonDragon_14,14,food:173130,1,,1378679,17280,flamethrower:Blackblood_flamethrower,maleficBreath:maleficBreath66|heatedPiercingBreath:superHeatedBreath1|heatBlastShield:fireShield1|sacrifice:whiteSacrifice1,12887,food:636,4.2,rage3,18,765381,1,experience:0,376319,21,6,5,
springDemonDragon_15,15,food:182652,1,,1666173,17280,flamethrower:Blackblood_flamethrower,maleficBreath:maleficBreath69|heatedPiercingBreath:superHeatedBreath1|heatBlastShield:fireShield1|sacrifice:whiteSacrifice1,15510,food:690,4.2,rage3,18,823981,1,experience:0,547349,21,6,5,
springDemonDragon_16,16,food:192698,1,,1960913,17280,flamethrower:Blackblood_flamethrower,maleficBreath:maleficBreath72|heatedPiercingBreath:superHeatedBreath1|heatBlastShield:fireShield1|sacrifice:whiteSacrifice1,18043,food:744,4.2,rage3,19,882581,1,experience:0,749362,21,6,5,
springDemonDragon_17,17,food:203296,1,have2LegendaryGold,2132447,17280,flamethrower:Blackblood_flamethrower,maleficBreath:maleficBreath75|heatedPiercingBreath:superHeatedBreath1|heatBlastShield:fireShield1|sacrifice:whiteSacrifice1,19822,food:798,4.2,rage3,19,941181,1,experience:0,895245,21,6,5,
springDemonDragon_18,18,food:214477,1,,2296359,17280,flamethrower:Blackblood_flamethrower,maleficBreath:maleficBreath78|heatedPiercingBreath:superHeatedBreath1|heatBlastShield:fireShield1|sacrifice:whiteSacrifice1,21346,food:852,4.2,rage3,20,999781,1,experience:0,1038133,21,6,5,
springDemonDragon_19,19,food:226274,1,,2472884,17280,flamethrower:Blackblood_flamethrower,maleficBreath:maleficBreath81|heatedPiercingBreath:superHeatedBreath1|heatBlastShield:fireShield1|sacrifice:whiteSacrifice1,22987,food:906,4.2,rage3,21,1044683,1,experience:0,1203895,21,6,5,
springDemonDragon_20,20,food:238719,1,,2662973,17280,flamethrower:Blackblood_flamethrower,maleficBreath:maleficBreath84|heatedPiercingBreath:superHeatedBreath1|heatBlastShield:fireShield1|sacrifice:whiteSacrifice1,24754,food:960,4.2,rage3,22,1117811,1,experience:0,1396122,21,6,5,
springDemonDragon_21,21,springDemonPlatinumStone:1,1,havePlatinumLegendary,2797742,17280,flamethrower:Blackblood_flamethrower,maleficBreath:maleficBreath86|heatedPiercingBreath:superHeatedBreath1|heatBlastShield:fireShield1|sacrifice:whiteSacrifice1,26007,food:996,4.2,rage3,23,1229592,1,experience:0,1541051,29,7,5,
springDemonDragon_22,22,food:265700,1,,3012796,17280,flamethrower:Blackblood_flamethrower,maleficBreath:maleficBreath89|heatedPiercingBreath:superHeatedBreath1|heatBlastShield:fireShield1|sacrifice:whiteSacrifice1,28007,food:1050,4.2,rage3,24,1352551,1,experience:0,1787102,29,7,5,
springDemonDragon_23,23,food:280313,1,,3244401,17280,flamethrower:Blackblood_flamethrower,maleficBreath:maleficBreath92|heatedPiercingBreath:superHeatedBreath1|heatBlastShield:fireShield1|sacrifice:whiteSacrifice1,30160,food:1104,4.2,rage3,25,1487806,1,experience:0,2072429,29,7,5,
springDemonDragon_24,24,food:295731,1,,3493840,17280,flamethrower:Blackblood_flamethrower,maleficBreath:maleficBreath95|heatedPiercingBreath:superHeatedBreath1|heatBlastShield:fireShield1|sacrifice:whiteSacrifice1,32479,food:1158,4.2,rage3,26,1636587,1,experience:0,2403434,29,7,5,
springDemonDragon_25,25,food:311996,1,,3762432,17280,flamethrower:Blackblood_flamethrower,maleficBreath:maleficBreath98|heatedPiercingBreath:superHeatedBreath1|heatBlastShield:fireShield1|sacrifice:whiteSacrifice1,34977,food:1212,4.2,rage3,26,1800246,1,experience:0,2787130,29,7,5,
springDemonDragon_26,26,food:329156,1,have2LegendaryPlatinum,4051647,17280,flamethrower:Blackblood_flamethrower,maleficBreath:maleficBreath101|heatedPiercingBreath:superHeatedBreath1|heatBlastShield:fireShield1|sacrifice:whiteSacrifice1,36732,food:1266,4.2,rage3,26,1980271,1,experience:0,3152119,29,7,5,
springDemonDragon_27,27,food:347259,1,,4236389,17280,flamethrower:Blackblood_flamethrower,maleficBreath:maleficBreath103|heatedPiercingBreath:superHeatedBreath1|heatBlastShield:fireShield1|sacrifice:whiteSacrifice1,38407,food:1284,4.2,rage3,26,2178298,1,experience:0,3378249,29,7,5,
springDemonDragon_28,28,food:366358,1,,4364754,17280,flamethrower:Blackblood_flamethrower,maleficBreath:maleficBreath104|heatedPiercingBreath:superHeatedBreath1|heatBlastShield:fireShield1|sacrifice:whiteSacrifice1,39569,food:1284,4.2,rage3,26,2396128,1,experience:0,3480612,29,7,5,
springDemonDragon_29,29,springDemonSapphireStone:1,1,haveLegendarySapphire,4472174,17280,flamethrower:Blackblood_flamethrower,maleficBreath:maleficBreath105|heatedPiercingBreath:superHeatedBreath1|heatBlastShield:fireShield1|sacrifice:whiteSacrifice1,40545,food:1338,4.2,rage3,27,2635741,1,experience:0,3840428,36,8,5,
