identifier,level,upgradeCost,upgradeTimeInSeconds,achievementRequirements,HP,fullHealDuration,attackType,abilities,attackPower,battleUseCost,forwardSpeed,spellRageIdentifier,requiredStableLevel,upgradeXP,xpRewardMultiplier,upgradeReward,powerLevel,nextEvolveLevel,tierNumber,rarity,sceneFile,discoveredImage,iconFilename,h
String,Integer,String,Integer,Array<String>,Float,Integer,String,String,Float,Map<String:Integer>,Float,String,Integer,Integer,Float,String,Integer,Integer,Integer,Integer,String,String,String,String
springMythicDragon_1,1,food:34272,1,,150865,13562,fireball:T8C3HIdragon_fireball,frostbite:frostbite1|shattershard:shattershard1,11342,food:140,4.2,rage1,7,56974,1,experience:0,13768,7,4,6,drg_butterfly_v1.lvl,dragon_butterfly_v1_discovered_thumbnail.png,dragonThumbnail_butterfly_v1.png,
springMythicDragon_2,2,food:39168,1,,194099,15840,fireball:T8C3HIdragon_fireball,frostbite:frostbite1|shattershard:shattershard1,12532,food:160,4.2,rage1,8,95783,1,experience:0,19576,7,4,6,drg_butterfly_v1.lvl,dragon_butterfly_v1_discovered_thumbnail.png,dragonThumbnail_butterfly_v1.png,
springMythicDragon_3,3,food:58526,1,,207663,15840,fireball:T8C3HIdragon_fireball,frostbite:frostbite1|shattershard:shattershard1,13534,food:180,4.2,rage1,9,120232,1,experience:0,22600,7,4,6,drg_butterfly_v1.lvl,dragon_butterfly_v1_discovered_thumbnail.png,dragonThumbnail_butterfly_v1.png,
springMythicDragon_4,4,food:79536,1,,224514,15840,fireball:T8C3HIdragon_fireball,frostbite:frostbite1|shattershard:shattershard1,14812,food:200,4.2,rage1,9,184501,1,experience:0,26769,7,4,6,drg_butterfly_v1.lvl,dragon_butterfly_v1_discovered_thumbnail.png,dragonThumbnail_butterfly_v1.png,
springMythicDragon_5,5,food:106930,1,,255397,15840,fireball:T8C3HIdragon_fireball,frostbite:frostbite1|shattershard:shattershard1,16631,food:230,4.2,rage1,10,215866,1,experience:0,34205,7,4,6,drg_butterfly_v1.lvl,dragon_butterfly_v1_discovered_thumbnail.png,dragonThumbnail_butterfly_v1.png,
springMythicDragon_6,6,food:112811,1,,290410,15840,fireball:T8C3HIdragon_fireball,frostbite:frostbite1|shattershard:shattershard1,18965,food:260,4.2,rage1,11,252563,1,experience:0,44323,7,4,6,drg_butterfly_v1.lvl,dragon_butterfly_v1_discovered_thumbnail.png,dragonThumbnail_butterfly_v1.png,
springMythicDragon_7,7,springMythicGreenStone:1,1,have2GreenEpic,410330,17280,fireball:T8C3HIdragon_fireball,frostbite:frostbite1|shattershard:shattershard1|cloak:cloak1,26720,food:384,4.2,rage1,13,271862,1,experience:0,74733,13,5,6,drg_butterfly_v2.lvl,dragon_butterfly_v2_discovered_thumbnail.png,dragonThumbnail_butterfly_v2.png,
springMythicDragon_8,8,food:125562,1,,465916,17280,fireball:T8C3HIdragon_fireball,frostbite:frostbite1|shattershard:shattershard1|cloak:cloak1,29869,food:420,4.2,rage1,14,308628,1,experience:0,94837,13,5,6,drg_butterfly_v2.lvl,dragon_butterfly_v2_discovered_thumbnail.png,dragonThumbnail_butterfly_v2.png,
springMythicDragon_9,9,food:132468,1,,575379,17280,fireball:T8C3HIdragon_fireball,frostbite:frostbite1|shattershard:shattershard1|cloak:cloak1,32638,food:456,4.2,rage1,15,465181,1,experience:0,127953,13,5,6,drg_butterfly_v2.lvl,dragon_butterfly_v2_discovered_thumbnail.png,dragonThumbnail_butterfly_v2.png,
springMythicDragon_10,10,food:139753,1,,619291,17280,fireball:T8C3HIdragon_fireball,frostbite:frostbite1|shattershard:shattershard1|cloak:cloak1,35409,food:492,4.2,rage1,16,530981,1,experience:0,149460,13,5,6,drg_butterfly_v2.lvl,dragon_butterfly_v2_discovered_thumbnail.png,dragonThumbnail_butterfly_v2.png,
springMythicDragon_11,11,food:147440,1,,684781,17280,fireball:T8C3HIdragon_fireball,frostbite:frostbite1|shattershard:shattershard1|cloak:cloak1,39295,food:528,4.2,rage1,17,589581,1,experience:0,183331,13,5,6,drg_butterfly_v2.lvl,dragon_butterfly_v2_discovered_thumbnail.png,dragonThumbnail_butterfly_v2.png,
springMythicDragon_12,12,food:155549,1,,781029,17280,fireball:T8C3HIdragon_fireball,frostbite:frostbite1|shattershard:shattershard1|cloak:cloak1,44401,food:564,4.2,rage1,18,648181,1,experience:0,236299,13,5,6,drg_butterfly_v2.lvl,dragon_butterfly_v2_discovered_thumbnail.png,dragonThumbnail_butterfly_v2.png,
springMythicDragon_13,13,springMythicGoldStone:1,1,haveGoldLegendary,828995,17280,fireball:T8C3HIdragon_fireball,frostbite:frostbite1|shattershard:shattershard1|cloak:cloak1|crumbleToDust:enfeeble1,47354,food:582,4.2,rage1,18,706781,1,experience:0,267537,21,6,6,drg_butterfly_v3.lvl,dragon_butterfly_v3_discovered_thumbnail.png,dragonThumbnail_butterfly_v3.png,
springMythicDragon_14,14,food:173130,1,,1002676,17280,fireball:T8C3HIdragon_fireball,frostbite:frostbite1|shattershard:shattershard1|cloak:cloak1|crumbleToDust:enfeeble1,57273,food:636,4.2,rage1,18,765381,1,experience:0,391371,21,6,6,drg_butterfly_v3.lvl,dragon_butterfly_v3_discovered_thumbnail.png,dragonThumbnail_butterfly_v3.png,
springMythicDragon_15,15,food:182652,1,,1211762,17280,fireball:T8C3HIdragon_fireball,frostbite:frostbite1|shattershard:shattershard1|cloak:cloak1|crumbleToDust:enfeeble1,68934,food:690,4.2,rage1,18,823981,1,experience:0,569242,21,6,6,drg_butterfly_v3.lvl,dragon_butterfly_v3_discovered_thumbnail.png,dragonThumbnail_butterfly_v3.png,
springMythicDragon_16,16,food:192698,1,,1426119,17280,fireball:T8C3HIdragon_fireball,frostbite:frostbite1|shattershard:shattershard1|cloak:cloak1|crumbleToDust:enfeeble1,80191,food:744,4.2,rage1,19,882581,1,experience:0,779336,21,6,6,drg_butterfly_v3.lvl,dragon_butterfly_v3_discovered_thumbnail.png,dragonThumbnail_butterfly_v3.png,
springMythicDragon_17,17,food:203296,1,have2LegendaryGold,1550871,17280,fireball:T8C3HIdragon_fireball,frostbite:frostbite1|shattershard:shattershard1|cloak:cloak1|crumbleToDust:enfeeble1,88096,food:798,4.2,rage1,19,941181,1,experience:0,931054,21,6,6,drg_butterfly_v3.lvl,dragon_butterfly_v3_discovered_thumbnail.png,dragonThumbnail_butterfly_v3.png,
springMythicDragon_18,18,food:214477,1,,1670079,17280,fireball:T8C3HIdragon_fireball,frostbite:frostbite1|shattershard:shattershard1|cloak:cloak1|crumbleToDust:enfeeble1,94869,food:852,4.2,rage1,20,999781,1,experience:0,1079658,21,6,6,drg_butterfly_v3.lvl,dragon_butterfly_v3_discovered_thumbnail.png,dragonThumbnail_butterfly_v3.png,
springMythicDragon_19,19,food:226274,1,,1798461,17280,fireball:T8C3HIdragon_fireball,frostbite:frostbite1|shattershard:shattershard1|cloak:cloak1|crumbleToDust:enfeeble1,102163,food:906,4.2,rage1,21,1044683,1,experience:0,1252050,21,6,6,drg_butterfly_v3.lvl,dragon_butterfly_v3_discovered_thumbnail.png,dragonThumbnail_butterfly_v3.png,
springMythicDragon_20,20,food:238719,1,,1936708,17280,fireball:T8C3HIdragon_fireball,frostbite:frostbite1|shattershard:shattershard1|cloak:cloak1|crumbleToDust:enfeeble1,110018,food:960,4.2,rage1,22,1117811,1,experience:0,1451966,21,6,6,drg_butterfly_v3.lvl,dragon_butterfly_v3_discovered_thumbnail.png,dragonThumbnail_butterfly_v3.png,
