identifier,level,upgradeCost,upgradeTimeInSeconds,achievementRequirements,HP,fullHealDuration,attackType,abilities,attackPower,battleUseCost,forwardSpeed,spellRageIdentifier,requiredStableLevel,upgradeXP,xpRewardMultiplier,upgradeReward,powerLevel,nextEvolveLevel,tierNumber,rarity,h
String,Integer,String,Integer,Array<String>,Float,Integer,String,String,Float,Map<String:Integer>,Float,String,Integer,Integer,Float,String,Integer,Integer,Integer,Integer,String
springWarriorDragon_1,1,food:34272,1,,207439,13562,flamethrower:T9C3WDdragon_flamethrower,thunderstorm:lightningStorm1|chargedShield:whiteChargedShield1,2552,food:140,4.2,rage3,7,56974,1,experience:0,13239,7,4,5,
springWarriorDragon_2,2,food:39168,1,,266886,15840,flamethrower:T9C3WDdragon_flamethrower,thunderstorm:lightningStorm1|chargedShield:whiteChargedShield1,2820,food:160,4.2,rage3,8,95783,1,experience:0,18824,7,4,5,
springWarriorDragon_3,3,food:58526,1,,285536,15840,flamethrower:T9C3WDdragon_flamethrower,thunderstorm:lightningStorm1|chargedShield:whiteChargedShield1,3046,food:180,4.2,rage3,9,120232,1,experience:0,21731,7,4,5,
springWarriorDragon_4,4,food:79536,1,,308706,15840,flamethrower:T9C3WDdragon_flamethrower,thunderstorm:lightningStorm1|chargedShield:whiteChargedShield1,3333,food:200,4.2,rage3,9,184501,1,experience:0,25740,7,4,5,
springWarriorDragon_5,5,food:106930,1,,351171,15840,flamethrower:T9C3WDdragon_flamethrower,thunderstorm:lightningStorm1|chargedShield:whiteChargedShield1,3742,food:230,4.2,rage3,10,215866,1,experience:0,32890,7,4,5,
springWarriorDragon_6,6,food:112811,1,,399314,15840,flamethrower:T9C3WDdragon_flamethrower,thunderstorm:lightningStorm1|chargedShield:whiteChargedShield1,4268,food:260,4.2,rage3,11,252563,1,experience:0,42619,7,4,5,
springWarriorDragon_7,7,springWarriorGreenStone:1,1,have2GreenEpic,564204,17280,flamethrower:T9C3WDdragon_flamethrower,thunderstorm:lightningStorm1|chargedShield:whiteChargedShield1|healDragon:superRejuvenate1,6012,food:384,4.2,rage3,13,271862,1,experience:0,71859,13,5,5,
springWarriorDragon_8,8,food:125562,1,,640634,17280,flamethrower:T9C3WDdragon_flamethrower,thunderstorm:lightningStorm1|chargedShield:whiteChargedShield1|healDragon:superRejuvenate1,6721,food:420,4.2,rage3,14,308628,1,experience:0,91190,13,5,5,
springWarriorDragon_9,9,food:132468,1,,791146,17280,flamethrower:T9C3WDdragon_flamethrower,thunderstorm:lightningStorm1|chargedShield:whiteChargedShield1|healDragon:superRejuvenate1,7344,food:456,4.2,rage3,15,465181,1,experience:0,123032,13,5,5,
springWarriorDragon_10,10,food:139753,1,,851525,17280,flamethrower:T9C3WDdragon_flamethrower,thunderstorm:lightningStorm1|chargedShield:whiteChargedShield1|healDragon:superRejuvenate1,7967,food:492,4.2,rage3,16,530981,1,experience:0,143712,13,5,5,
springWarriorDragon_11,11,food:147440,1,,941573,17280,flamethrower:T9C3WDdragon_flamethrower,thunderstorm:lightningStorm1|chargedShield:whiteChargedShield1|healDragon:superRejuvenate1,8842,food:528,4.2,rage3,17,589581,1,experience:0,176280,13,5,5,
springWarriorDragon_12,12,food:155549,1,,1073915,17280,flamethrower:T9C3WDdragon_flamethrower,thunderstorm:lightningStorm1|chargedShield:whiteChargedShield1|healDragon:superRejuvenate1,9991,food:564,4.2,rage3,18,648181,1,experience:0,227211,13,5,5,
springWarriorDragon_13,13,springWarriorGoldStone:1,1,haveGoldLegendary,1139868,17280,flamethrower:T9C3WDdragon_flamethrower,thunderstorm:lightningStorm1|chargedShield:whiteChargedShield1|healDragon:superRejuvenate1|iceTurretResist01:iceTurretResist01,10655,food:582,4.2,rage3,18,706781,1,experience:0,257248,21,6,5,
springWarriorDragon_14,14,food:173130,1,,1378679,17280,flamethrower:T9C3WDdragon_flamethrower,thunderstorm:lightningStorm1|chargedShield:whiteChargedShield1|healDragon:superRejuvenate1|iceTurretResist01:iceTurretResist01,12887,food:636,4.2,rage3,18,765381,1,experience:0,376319,21,6,5,
