identifier,level,upgradeCost,upgradeTimeInSeconds,achievementRequirements,HP,fullHealDuration,attackType,abilities,attackPower,battleUseCost,forwardSpeed,spellRageIdentifier,requiredStableLevel,upgradeXP,xpRewardMultiplier,upgradeReward,powerLevel,nextEvolveLevel,tierNumber,rarity,sceneFile,discoveredImage,iconFilename,h
String,Integer,String,Integer,Array<String>,Float,Integer,String,String,Float,Map<String:Integer>,Float,String,Integer,Integer,Float,String,Integer,Integer,Integer,Integer,String,String,String,String
summerMythicDragon_1,1,food:34272,1,,166706,13562,lockon:T2C1SFdragon_lockon,instantKill:whiteInstantKill1|maleficBreath:ashenBreath38,15039,food:140,4.2,rage3,7,56974,1,experience:0,14891,7,4,6,drg_nightcrawlerSuper_v1.lvl,dragon_nightcrawlerSuper_v1updated_discovered_thumbnail.png,dragonThumbnail_nightcrawlerSuper_v1updated_discovered.png,
summerMythicDragon_2,2,food:39168,1,,214479,15840,lockon:T2C1SFdragon_lockon,instantKill:whiteInstantKill1|maleficBreath:ashenBreath40,16617,food:160,4.2,rage3,8,95783,1,experience:0,21174,7,4,6,drg_nightcrawlerSuper_v1.lvl,dragon_nightcrawlerSuper_v1updated_discovered_thumbnail.png,dragonThumbnail_nightcrawlerSuper_v1updated_discovered.png,
summerMythicDragon_3,3,food:58526,1,,229468,15840,lockon:T2C1SFdragon_lockon,instantKill:whiteInstantKill1|maleficBreath:ashenBreath42,17946,food:180,4.2,rage3,9,120232,1,experience:0,24444,7,4,6,drg_nightcrawlerSuper_v1.lvl,dragon_nightcrawlerSuper_v1updated_discovered_thumbnail.png,dragonThumbnail_nightcrawlerSuper_v1updated_discovered.png,
summerMythicDragon_4,4,food:79536,1,,248088,15840,lockon:T2C1SFdragon_lockon,instantKill:whiteInstantKill1|maleficBreath:ashenBreath44,19641,food:200,4.2,rage3,9,184501,1,experience:0,28953,7,4,6,drg_nightcrawlerSuper_v1.lvl,dragon_nightcrawlerSuper_v1updated_discovered_thumbnail.png,dragonThumbnail_nightcrawlerSuper_v1updated_discovered.png,
summerMythicDragon_5,5,food:106930,1,,282214,15840,lockon:T2C1SFdragon_lockon,instantKill:whiteInstantKill1|maleficBreath:ashenBreath46,22052,food:230,4.2,rage3,10,215866,1,experience:0,36996,7,4,6,drg_nightcrawlerSuper_v1.lvl,dragon_nightcrawlerSuper_v1updated_discovered_thumbnail.png,dragonThumbnail_nightcrawlerSuper_v1updated_discovered.png,
summerMythicDragon_6,6,food:112811,1,,320903,15840,lockon:T2C1SFdragon_lockon,instantKill:whiteInstantKill1|maleficBreath:ashenBreath48,25146,food:260,4.2,rage3,11,252563,1,experience:0,47940,7,4,6,drg_nightcrawlerSuper_v1.lvl,dragon_nightcrawlerSuper_v1updated_discovered_thumbnail.png,dragonThumbnail_nightcrawlerSuper_v1updated_discovered.png,
summerMythicDragon_7,7,summerMythicGreenStone:1,1,have2GreenEpic,453415,17280,lockon:T2C1SFdragon_lockon,instantKill:whiteInstantKill1|maleficBreath:ashenBreath52|invertSpell:reverse1,35431,food:384,4.2,rage3,13,271862,1,experience:0,80831,13,5,6,drg_nightcrawlerSuper_v2.lvl,dragon_nightcrawlerSuper_v2updated_discovered_thumbnail.png,dragonThumbnail_nightcrawlerSuper_v2_discovered.png,
summerMythicDragon_8,8,food:125562,1,,514836,17280,lockon:T2C1SFdragon_lockon,instantKill:whiteInstantKill1|maleficBreath:ashenBreath54|invertSpell:reverse1,39606,food:420,4.2,rage3,14,308628,1,experience:0,102576,13,5,6,drg_nightcrawlerSuper_v2.lvl,dragon_nightcrawlerSuper_v2updated_discovered_thumbnail.png,dragonThumbnail_nightcrawlerSuper_v2_discovered.png,
summerMythicDragon_9,9,food:132468,1,,635794,17280,lockon:T2C1SFdragon_lockon,instantKill:whiteInstantKill1|maleficBreath:ashenBreath56|invertSpell:reverse1,43278,food:456,4.2,rage3,15,465181,1,experience:0,138393,13,5,6,drg_nightcrawlerSuper_v2.lvl,dragon_nightcrawlerSuper_v2updated_discovered_thumbnail.png,dragonThumbnail_nightcrawlerSuper_v2_discovered.png,
