identifier,level,upgradeCost,upgradeTimeInSeconds,achievementRequirements,HP,fullHealDuration,attackType,abilities,attackPower,battleUseCost,forwardSpeed,spellRageIdentifier,requiredStableLevel,upgradeXP,xpRewardMultiplier,upgradeReward,powerLevel,nextEvolveLevel,tierNumber,rarity,h
String,Integer,String,Integer,Array<String>,Float,Integer,String,String,Float,Map<String:Integer>,Float,String,Integer,Integer,Float,String,Integer,Integer,Integer,Integer,String
summerSorcererDragon_1,1,food:34272,1,,166706,13562,lockon:T1C3SIdragon_lockon,shadowApophet:summonDodo1|freezeSpell:earthquake1,11140,food:140,4.2,rage3,7,56974,1,experience:0,14319,7,4,4,
summerSorcererDragon_2,2,food:39168,1,,214479,15840,lockon:T1C3SIdragon_lockon,shadowApophet:summonDodo1|freezeSpell:earthquake1,12309,food:160,4.2,rage3,8,95783,1,experience:0,20360,7,4,4,
summerSorcererDragon_3,3,food:58526,1,,229468,15840,lockon:T1C3SIdragon_lockon,shadowApophet:summonDodo1|freezeSpell:earthquake1,13293,food:180,4.2,rage3,9,120232,1,experience:0,23504,7,4,4,
summerSorcererDragon_4,4,food:79536,1,,248088,15840,lockon:T1C3SIdragon_lockon,shadowApophet:summonDodo1|freezeSpell:earthquake1,14549,food:200,4.2,rage3,9,184501,1,experience:0,27840,7,4,4,
summerSorcererDragon_5,5,food:106930,1,,282214,15840,lockon:T1C3SIdragon_lockon,shadowApophet:summonDodo1|freezeSpell:earthquake1,16335,food:230,4.2,rage3,10,215866,1,experience:0,35574,7,4,4,
summerSorcererDragon_6,6,food:112811,1,,320903,15840,lockon:T1C3SIdragon_lockon,shadowApophet:summonDodo1|freezeSpell:earthquake1,18627,food:260,4.2,rage3,11,252563,1,experience:0,46097,7,4,4,
summerSorcererDragon_7,7,summerSorcererGreenStone:1,1,have2GreenEpic,453415,17280,lockon:T1C3SIdragon_lockon,shadowApophet:summonDodo1|freezeSpell:earthquake1|invincibleSpell:invincible1,26245,food:384,4.2,rage3,13,271862,1,experience:0,77723,13,5,4,
summerSorcererDragon_8,8,food:125562,1,,514836,17280,lockon:T1C3SIdragon_lockon,shadowApophet:summonDodo1|freezeSpell:earthquake1|invincibleSpell:invincible1,29338,food:420,4.2,rage3,14,308628,1,experience:0,98631,13,5,4,
summerSorcererDragon_9,9,food:132468,1,,635794,17280,lockon:T1C3SIdragon_lockon,shadowApophet:summonDodo1|freezeSpell:earthquake1|invincibleSpell:invincible1,32058,food:456,4.2,rage3,15,465181,1,experience:0,133071,13,5,4,
summerSorcererDragon_10,10,food:139753,1,,684317,17280,lockon:T1C3SIdragon_lockon,shadowApophet:summonDodo1|freezeSpell:earthquake1|invincibleSpell:invincible1,34780,food:492,4.2,rage3,16,530981,1,experience:0,155439,13,5,4,
summerSorcererDragon_11,11,food:147440,1,,756683,17280,lockon:T1C3SIdragon_lockon,shadowApophet:summonDodo1|freezeSpell:earthquake1|invincibleSpell:invincible1,38596,food:528,4.2,rage3,17,589581,1,experience:0,190664,13,5,4,
summerSorcererDragon_12,12,food:155549,1,,863037,17280,lockon:T1C3SIdragon_lockon,shadowApophet:summonDodo1|freezeSpell:earthquake1|invincibleSpell:invincible1,43612,food:564,4.2,rage3,18,648181,1,experience:0,245751,13,5,4,
summerSorcererDragon_13,13,summerSorcererGoldStone:1,1,haveGoldLegendary,916039,17280,lockon:T1C3SIdragon_lockon,shadowApophet:summonDodo1|freezeSpell:earthquake1|invincibleSpell:invincible1|lightningResist01:lightningResist01,46513,food:582,4.2,rage3,18,706781,1,experience:0,278239,21,6,4,
summerSorcererDragon_14,14,food:173130,1,,1107957,17280,lockon:T1C3SIdragon_lockon,shadowApophet:summonDodo1|freezeSpell:earthquake1|invincibleSpell:invincible1|lightningResist01:lightningResist01,56255,food:636,4.2,rage3,18,765381,1,experience:0,407027,21,6,4,
summerSorcererDragon_15,15,food:182652,1,,1338997,17280,lockon:T1C3SIdragon_lockon,shadowApophet:summonDodo1|freezeSpell:earthquake1|invincibleSpell:invincible1|lightningResist01:lightningResist01,67708,food:690,4.2,rage3,18,823981,1,experience:0,592013,21,6,4,
summerSorcererDragon_16,16,food:192698,1,,1575861,17280,lockon:T1C3SIdragon_lockon,shadowApophet:summonDodo1|freezeSpell:earthquake1|invincibleSpell:invincible1|lightningResist01:lightningResist01,78765,food:744,4.2,rage3,19,882581,1,experience:0,810510,21,6,5,
summerSorcererDragon_17,17,food:203296,1,have2LegendaryGold,1713712,17280,lockon:T1C3SIdragon_lockon,shadowApophet:summonDodo1|freezeSpell:earthquake1|invincibleSpell:invincible1|lightningResist01:lightningResist01,86529,food:798,4.2,rage3,19,941181,1,experience:0,968297,21,6,5,
summerSorcererDragon_18,18,food:214477,1,,1845437,17280,lockon:T1C3SIdragon_lockon,shadowApophet:summonDodo1|freezeSpell:earthquake1|invincibleSpell:invincible1|lightningResist01:lightningResist01,93182,food:852,4.2,rage3,20,999781,1,experience:0,1122845,21,6,5,
summerSorcererDragon_19,19,food:226274,1,,1987300,17280,lockon:T1C3SIdragon_lockon,shadowApophet:summonDodo1|freezeSpell:earthquake1|invincibleSpell:invincible1|lightningResist01:lightningResist01,100346,food:906,4.2,rage3,21,1044683,1,experience:0,1302133,21,6,5,
summerSorcererDragon_20,20,food:238719,1,,2140062,17280,lockon:T1C3SIdragon_lockon,shadowApophet:summonDodo1|freezeSpell:earthquake1|invincibleSpell:invincible1|lightningResist01:lightningResist01,108062,food:960,4.2,rage3,22,1117811,1,experience:0,1510046,21,6,5,
summerSorcererDragon_21,21,summerSorcererPlatinumStone:1,1,havePlatinumLegendary,2248368,17280,lockon:T1C3SIdragon_lockon,shadowApophet:summonDodo1|freezeSpell:earthquake1|invincibleSpell:invincible1|lightningResist01:lightningResist01,113533,food:996,4.2,rage3,23,1229592,1,experience:0,1666801,29,7,5,
summerSorcererDragon_22,22,food:265700,1,,2421193,17280,lockon:T1C3SIdragon_lockon,shadowApophet:summonDodo1|freezeSpell:earthquake1|invincibleSpell:invincible1|lightningResist01:lightningResist01,122261,food:1050,4.2,rage3,24,1352551,1,experience:0,1932930,29,7,5,
summerSorcererDragon_23,23,food:280313,1,,2607318,17280,lockon:T1C3SIdragon_lockon,shadowApophet:summonDodo1|freezeSpell:earthquake1|invincibleSpell:invincible1|lightningResist01:lightningResist01,131662,food:1104,4.2,rage3,25,1487806,1,experience:0,2241539,29,7,5,
