identifier,level,upgradeCost,upgradeTimeInSeconds,achievementRequirements,HP,fullHealDuration,attackType,abilities,attackPower,battleUseCost,forwardSpeed,spellRageIdentifier,requiredStableLevel,upgradeXP,xpRewardMultiplier,upgradeReward,powerLevel,nextEvolveLevel,tierNumber,rarity,h
String,Integer,String,Integer,Array<String>,Float,Integer,String,String,Float,Map<String:Integer>,Float,String,Integer,Integer,Float,String,Integer,Integer,Integer,Integer,String
summerWarriorDragon_1,1,food:34272,1,,215737,13562,flamethrower:T4C2WIdragon_flamethrower,hurricane:mysticWind1|heatedPiercingBreath:superHeatedBreath1,2654,food:140,4.2,rage3,7,56974,1,experience:0,14319,7,4,4,
summerWarriorDragon_2,2,food:39168,1,,277561,15840,flamethrower:T4C2WIdragon_flamethrower,hurricane:mysticWind1|heatedPiercingBreath:superHeatedBreath1,2933,food:160,4.2,rage3,8,95783,1,experience:0,20360,7,4,4,
summerWarriorDragon_3,3,food:58526,1,,296957,15840,flamethrower:T4C2WIdragon_flamethrower,hurricane:mysticWind1|heatedPiercingBreath:superHeatedBreath1,3168,food:180,4.2,rage3,9,120232,1,experience:0,23504,7,4,4,
summerWarriorDragon_4,4,food:79536,1,,321054,15840,flamethrower:T4C2WIdragon_flamethrower,hurricane:mysticWind1|heatedPiercingBreath:superHeatedBreath1,3466,food:200,4.2,rage3,9,184501,1,experience:0,27840,7,4,4,
summerWarriorDragon_5,5,food:106930,1,,365218,15840,flamethrower:T4C2WIdragon_flamethrower,hurricane:mysticWind1|heatedPiercingBreath:superHeatedBreath1,3892,food:230,4.2,rage3,10,215866,1,experience:0,35574,7,4,4,
summerWarriorDragon_6,6,food:112811,1,,415287,15840,flamethrower:T4C2WIdragon_flamethrower,hurricane:mysticWind1|heatedPiercingBreath:superHeatedBreath1,4439,food:260,4.2,rage3,11,252563,1,experience:0,46097,7,4,4,
summerWarriorDragon_7,7,summerWarriorGreenStone:1,1,have2GreenEpic,586772,17280,flamethrower:T4C2WIdragon_flamethrower,hurricane:mysticWind1|heatedPiercingBreath:superHeatedBreath1|northernLights:northernLightsDark1,6252,food:384,4.2,rage3,13,271862,1,experience:0,77723,13,5,4,
summerWarriorDragon_8,8,food:125562,1,,666259,17280,flamethrower:T4C2WIdragon_flamethrower,hurricane:mysticWind1|heatedPiercingBreath:superHeatedBreath1|northernLights:northernLightsDark1,6990,food:420,4.2,rage3,14,308628,1,experience:0,98631,13,5,4,
summerWarriorDragon_9,9,food:132468,1,,822792,17280,flamethrower:T4C2WIdragon_flamethrower,hurricane:mysticWind1|heatedPiercingBreath:superHeatedBreath1|northernLights:northernLightsDark1,7638,food:456,4.2,rage3,15,465181,1,experience:0,133071,13,5,4,
summerWarriorDragon_10,10,food:139753,1,,885586,17280,flamethrower:T4C2WIdragon_flamethrower,hurricane:mysticWind1|heatedPiercingBreath:superHeatedBreath1|northernLights:northernLightsDark1,8286,food:492,4.2,rage3,16,530981,1,experience:0,155439,13,5,4,
summerWarriorDragon_11,11,food:147440,1,,979236,17280,flamethrower:T4C2WIdragon_flamethrower,hurricane:mysticWind1|heatedPiercingBreath:superHeatedBreath1|northernLights:northernLightsDark1,9196,food:528,4.2,rage3,17,589581,1,experience:0,190664,13,5,4,
summerWarriorDragon_12,12,food:155549,1,,1116872,17280,flamethrower:T4C2WIdragon_flamethrower,hurricane:mysticWind1|heatedPiercingBreath:superHeatedBreath1|northernLights:northernLightsDark1,10391,food:564,4.2,rage3,18,648181,1,experience:0,245751,13,5,4,
summerWarriorDragon_13,13,summerWarriorGoldStone:1,1,haveGoldLegendary,1185463,17280,flamethrower:T4C2WIdragon_flamethrower,hurricane:mysticWind1|heatedPiercingBreath:superHeatedBreath1|northernLights:northernLightsDark1|iceTurretResist01:iceTurretResist01,11081,food:582,4.2,rage3,18,706781,1,experience:0,278239,21,6,4,
