identifier,level,upgradeCost,upgradeTimeInSeconds,achievementRequirements,HP,fullHealDuration,attackType,abilities,attackPower,battleUseCost,forwardSpeed,spellRageIdentifier,requiredStableLevel,upgradeXP,xpRewardMultiplier,upgradeReward,powerLevel,nextEvolveLevel,tierNumber,rarity,h
String,Integer,String,Integer,Array<String>,Float,Integer,String,String,Float,Map<String:Integer>,Float,String,Integer,Integer,Float,String,Integer,Integer,Integer,Integer,String
twitchFanDragon_1,1,food:0,1,,25547,244,lockon:twitchFan_lockon,dreadfulRoar:dreadfulRoar38,2516,food:14,3.8,rage3,1,485,1,experience:0,188,5,1,4,
twitchFanDragon_2,2,food:300,1,,33784,873,lockon:twitchFan_lockon,dreadfulRoar:dreadfulRoar40,2698,food:26,3.8,rage3,2,1351,1,experience:0,408,5,1,4,
twitchFanDragon_3,3,food:1300,1,,44906,1351,lockon:twitchFan_lockon,dreadfulRoar:dreadfulRoar42,3675,food:34,3.8,rage3,3,5366,1,experience:0,987,5,1,4,
twitchFanDragon_4,4,food:3105,1,,49282,2220,lockon:twitchFan_lockon,dreadfulRoar:dreadfulRoar44,3987,food:44,3.8,rage3,3,8034,1,experience:0,1166,5,1,4,
twitchFanDragon_5,5,twitchFanPurpleStone:1,1,have1PurpleDragon,79365,2619,lockon:twitchFan_lockon,dreadfulRoar:dreadfulRoar46,5292,food:48,3.8,rage3,4,12085,1,experience:0,1872,10,2,4,
twitchFanDragon_6,6,food:5073,1,,58411,3019,lockon:twitchFan_lockon,dreadfulRoar:dreadfulRoar48,4682,food:52,3.8,rage3,4,13800,1,experience:0,2122,10,2,4,
twitchFanDragon_7,7,food:8000,1,,89483,5192,lockon:twitchFan_lockon,dreadfulRoar:dreadfulRoar52,6059,food:68,3.8,rage3,5,24000,1,experience:0,3219,10,2,4,
twitchFanDragon_8,8,food:12500,1,haveRarePurpleDragon,89483,6730,lockon:twitchFan_lockon,dreadfulRoar:dreadfulRoar54,6059,food:97,3.8,rage3,5,28000,1,experience:0,4185,10,2,4,
twitchFanDragon_9,9,food:19707,1,,131111,9101,lockon:twitchFan_lockon,dreadfulRoar:dreadfulRoar56,8825,food:115,3.8,rage3,6,36048,1,experience:0,8918,10,2,4,
twitchFanDragon_10,10,twitchFanBlueStone:1,1,have1BlueDragon,149533,12315,lockon:twitchFan_lockon,dreadfulRoar:dreadfulRoar58|nocturnalFissure:nocturnalFissure1,10098,food:134,3.8,rage3,7,67772,1,experience:0,11640,14,3,4,
twitchFanDragon_11,11,food:45521,1,,160294,13562,lockon:twitchFan_lockon,dreadfulRoar:dreadfulRoar60|nocturnalFissure:nocturnalFissure1,10712,food:140,3.8,rage3,7,92555,1,experience:0,13239,14,3,4,
twitchFanDragon_12,12,food:63629,1,haveBlueEpic,170458,15840,lockon:twitchFan_lockon,dreadfulRoar:dreadfulRoar62|nocturnalFissure:nocturnalFissure1,11304,food:160,3.8,rage3,8,104142,1,experience:0,14855,14,3,4,
twitchFanDragon_13,13,food:88334,1,,206230,15840,lockon:twitchFan_lockon,dreadfulRoar:dreadfulRoar63|nocturnalFissure:nocturnalFissure1,11836,food:190,3.8,rage3,9,136957,1,experience:0,18824,14,3,4,
